t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,14030,14030,13210,13450,352808,1,-0.1447,-0.1447
2024-07-10,13740,13980,13640,13840,183066,1,0.0665,-0.0782
2024-07-11,14220,14220,13450,13450,97775,1,-0.0149,-0.0931
2024-07-12,13450,13550,13260,13260,120617,1,-0.0583,-0.1514
2024-07-15,13260,13640,13110,13210,108819,1,-0.051,-0.2024
2024-07-16,13210,13550,13070,13160,91154,1,-0.0245,-0.2269
2024-07-17,13450,13450,12780,12780,129064,1,-0.0569,-0.2838
2024-07-18,12970,12970,12590,12920,65430,1,-0.041,-0.3248
2024-07-19,12920,12970,12590,12920,81724,1,-0.0085,-0.3333
2024-07-22,12920,12920,12490,12780,47035,1,-0.0146,-0.3479
2024-07-23,12970,13070,12490,12490,53505,1,-0.0309,-0.3788
2024-07-24,12490,12970,12490,12490,31304,1,-0.0001,-0.3789
2024-07-25,12540,12680,12490,12540,47731,1,-0.0345,-0.4134
2024-07-26,12590,12870,12540,12870,46307,1,-0.0033,-0.4167
2024-07-29,13020,13360,12830,13020,53376,1,-0.0271,-0.4438
2024-07-30,12920,13310,12830,13070,61965,1,-0.0193,-0.4631
2024-07-31,13110,13110,12630,12830,34611,1,-0.0043,-0.4674
2024-08-01,12830,12920,12390,12490,43131,1,-0.0222,-0.4896
2024-08-02,12490,12730,12300,12730,47344,1,0.0222,-0.4674
2024-08-05,12490,12630,12150,12200,80407,1,-0.0735,-0.5409
2024-08-06,12350,12490,12150,12150,40680,1,-0.011,-0.5519
2024-08-07,12200,12350,12200,12250,19855,1,0.0036,-0.5483
2024-08-08,12200,12490,12110,12300,40569,1,0.0023,-0.546
2024-08-09,12300,12440,12150,12300,40515,1,0.0172,-0.5288
2024-08-12,12490,12490,12350,12390,26679,1,-0.0061,-0.5349
