t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,61000,62800,61000,62000,2188791,1,-0.2069,-0.2069
2024-07-09,62000,62700,61800,62500,1429584,1,-0.5903,-0.7972
2024-07-10,62500,62900,61900,61900,1178813,1,-0.4153,-1.2125
2024-07-11,62000,62500,61600,61600,813685,1,-0.3715,-1.584
2024-07-12,61700,62000,61200,61200,932181,1,-0.2989,-1.8829
2024-07-15,61200,61600,60000,60000,1877930,1,-0.5658,-2.4487
2024-07-16,60000,60500,59800,60100,1371033,1,-0.1334,-2.5821
2024-07-17,60300,60600,58100,58500,2001381,1,-0.7964,-3.3785
2024-07-18,58400,60000,58200,60000,1222278,1,-0.3593,-3.7378
2024-07-19,60000,60000,58700,59500,747185,1,-0.2895,-4.0273
2024-07-22,59500,59500,58000,59400,1261014,1,0.0265,-4.0008
2024-07-23,59400,59400,57800,57800,1326442,1,-0.3714,-4.3722
2024-07-24,57800,58200,56300,58200,1755184,1,0.0381,-4.3341
2024-07-25,58200,58200,57000,57000,659728,1,-0.1437,-4.4778
2024-07-26,57100,58200,57100,57700,621600,1,-0.0342,-4.512
2024-07-29,58000,58800,57700,58500,439300,1,0.0894,-4.4226
2024-07-30,58500,59900,58200,58900,1200000,1,0.255,-4.1676
2024-07-31,58900,59300,57300,59000,1328800,1,-0.6987,-4.8663
2024-08-01,59000,59100,56800,57200,1244900,1,-0.6845,-5.5508
2024-08-02,57100,58500,56600,58400,1213900,1,-0.1954,-5.7462
2024-08-05,58000,58100,56000,56800,2032300,1,-0.4956,-6.2418
2024-08-06,56500,59000,56400,59000,1419200,1,0.6725,-5.5693
2024-08-07,58600,59100,57900,59000,1406400,1,-0.2144,-5.7837
2024-08-08,59000,59200,58300,59200,729800,1,-0.2411,-6.0248
2024-08-09,59200,59900,58700,59800,1257300,1,0.0343,-5.9905
2024-08-12,59800,60400,59200,60300,832600,1,-0.0435,-6.034
