t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,9460,9830,9460,9750,3479918,1,0.2453,0.2453
2024-02-16,9750,9790,9670,9710,1466594,1,-0.2598,-0.0145
2024-02-19,9710,9870,9710,9790,2121135,1,0.1105,0.096
2024-02-20,9830,9830,9670,9750,1796960,1,-0.2136,-0.1176
2024-02-21,9710,9750,9580,9620,1980897,1,-0.5873,-0.7049
2024-02-22,9670,9830,9580,9750,2072324,1,0.2544,-0.4505
2024-02-23,9870,10170,9790,9870,8227176,1,-0.617,-1.0675
2024-02-26,9960,10540,9870,10540,10593572,1,5.2242,4.1567
2024-02-27,10670,10750,10330,10500,3667128,1,-0.6385,3.5182
2024-02-28,10620,10620,10210,10420,4685216,1,-1.5555,1.9627
2024-02-29,10500,10710,10250,10420,5689651,1,-0.2787,1.684
2024-03-01,10540,10540,10330,10500,2917280,1,-0.7454,0.9386
2024-03-04,10620,10790,10540,10670,4851501,1,-0.2358,0.7028
2024-03-05,10710,10920,10540,10750,4502745,1,-0.0389,0.6639
2024-03-06,10670,10750,10420,10500,3835490,1,-1.5654,-0.9015
2024-03-07,10580,10670,10460,10580,2490999,1,-0.1636,-1.0651
2024-03-08,10670,10670,10330,10330,4125681,1,-1.4174,-2.4825
2024-03-11,10620,11040,10580,10830,8805634,1,0.4497,-2.0328
2024-03-12,10830,10870,10580,10710,3983229,1,-1.2528,-3.2856
2024-03-13,10710,11170,10710,11040,5323181,1,0.4193,-2.8663
2024-03-14,11080,11080,10710,10830,4490047,1,-0.6262,-3.4925
2024-03-15,10830,10870,10580,10710,4473626,1,-1.3478,-4.8403
2024-03-18,10670,10750,10000,10170,7501310,1,-2.5702,-7.4105
2024-03-19,10250,10290,10120,10210,1772975,1,-0.2022,-7.6127
2024-03-20,10210,10420,10080,10330,2539939,1,-0.0466,-7.6593
2024-03-21,10460,10790,10330,10620,4478640,1,0.6137,-7.0456
2024-03-22,10670,10670,10420,10500,3793671,1,-0.5404,-7.586
2024-03-25,10580,10710,10330,10370,3811184,1,-0.8247,-8.4107
2024-03-26,10290,10870,10290,10670,3841773,1,0.7152,-7.6955
2024-03-27,10750,10750,10540,10670,2406853,1,-0.2938,-7.9893
2024-03-28,10710,10960,10670,10710,4996022,1,1.0551,-6.9342
2024-03-29,10790,10790,10620,10620,2279329,1,-0.4565,-7.3907
2024-04-01,10790,10790,10580,10750,3151275,1,0.0879,-7.3028
2024-04-02,10790,10790,10540,10750,2442167,1,-0.3457,-7.6485
2024-04-03,10790,11080,10750,10830,8833988,1,-0.079,-7.7275
2024-04-04,10870,10870,10580,10620,2587160,1,-0.5775,-8.305
2024-04-05,10540,10830,10370,10580,3553611,1,0.0259,-8.2791
2024-04-08,10620,10620,10290,10290,3012182,1,-0.4167,-8.6958
2024-04-09,10290,10330,10040,10290,3225926,1,-1.0273,-9.7231
2024-04-10,10370,10370,10040,10040,2787900,1,-0.556,-10.2791
2024-04-11,9920,10120,9870,10000,1712193,1,-0.1939,-10.473
2024-04-12,10040,10210,10000,10120,1504663,1,-0.0019,-10.4749
2024-04-15,10080,10330,9420,9420,3801463,1,-1.2786,-11.7535
2024-04-16,9370,9420,8870,9210,3595328,1,-1.1329,-12.8864
2024-04-17,9370,9370,9170,9170,1473603,1,-0.1985,-13.0849
2024-04-19,9000,9120,8750,8870,2364502,1,-0.4186,-13.5035
2024-04-22,9000,9170,8920,9080,1042706,1,-0.0775,-13.581
2024-04-23,9080,9080,8830,8870,1184421,1,-0.5276,-14.1086
2024-04-25,9210,9250,9040,9080,576736,1,-0.0898,-14.1984
2024-04-26,9000,9210,8960,9040,949483,1,-0.2897,-14.4881
2024-05-02,9040,9120,8830,9120,913272,1,-0.2258,-14.7139
2024-05-03,9170,9210,9040,9120,734451,1,-0.1195,-14.8334
2024-05-06,9290,9330,9120,9290,1647313,1,0.5255,-14.3079
2024-05-07,9330,9370,9210,9330,995540,1,-0.3408,-14.6487
2024-05-08,9460,9750,9370,9580,2506475,1,0.0915,-14.5572
2024-05-09,9750,10080,9710,9750,3328106,1,-0.3194,-14.8766
2024-05-10,9750,9920,9540,9580,1336144,1,-0.4927,-15.3693
2024-05-13,9580,9710,9500,9540,1020384,1,-0.2814,-15.6507
2024-05-14,9540,9620,9460,9580,1054605,1,-0.2523,-15.903
2024-05-15,9710,9750,9540,9620,1076452,1,0.0689,-15.8341
2024-05-16,9750,9750,9620,9620,1314412,1,-0.4331,-16.2672
2024-05-17,9620,10000,9620,9830,2291010,1,0.6954,-15.5718
2024-05-20,9870,10080,9870,9920,3275614,1,0.8303,-14.7415
2024-05-21,9920,10080,9830,10080,2655906,1,0.0893,-14.6522
2024-05-22,10250,10370,9960,10000,3175194,1,-0.841,-15.4932
2024-05-23,9960,10170,9870,10170,1861229,1,0.0478,-15.4454
2024-05-24,10040,10170,9670,9830,2612661,1,-1.0909,-16.5363
2024-05-27,9870,10000,9790,10000,975829,1,-0.0745,-16.6108
2024-05-28,10080,10120,9920,10000,1288728,1,-0.2832,-16.894
2024-05-29,10000,10370,10000,10120,4951827,1,0.4101,-16.4839
2024-05-30,10080,10210,9960,10080,2187407,1,-0.6893,-17.1732
2024-05-31,10120,10420,10080,10170,3408387,1,1.0409,-16.1323
2024-06-03,10330,10330,10170,10210,2028553,1,0.0284,-16.1039
2024-06-04,10290,10330,10080,10080,1930750,1,-0.6163,-16.7202
2024-06-05,10120,10250,10080,10120,2109082,1,-0.6491,-17.3693
2024-06-06,10170,10210,9920,10000,2365128,1,-0.5046,-17.8739
2024-06-07,10120,10170,9960,10000,1322640,1,-0.5159,-18.3898
2024-06-10,10040,10670,10040,10540,7210145,1,1.6776,-16.7122
2024-06-11,10620,10620,10250,10330,2606301,1,-0.4568,-17.169
2024-06-12,10420,10670,10330,10460,3019063,1,0.1333,-17.0357
2024-06-13,10540,10580,10370,10460,2830910,1,-0.6138,-17.6495
2024-06-14,10460,10500,10120,10120,2680989,1,-1.1746,-18.8241
2024-06-17,10120,10170,9960,10080,2123015,1,-0.5598,-19.3839
2024-06-18,10170,10250,10080,10120,1121732,1,-0.0168,-19.4007
2024-06-19,10080,10500,10080,10210,2297171,1,0.0993,-19.3014
2024-06-20,10290,10290,10000,10040,1485877,1,-0.5224,-19.8238
2024-06-21,10080,10120,9960,10000,1672836,1,-0.5053,-20.3291
2024-06-24,10000,10000,9580,9580,3666921,1,-1.6743,-22.0034
2024-06-25,9620,9750,9330,9670,1099229,1,-0.4393,-22.4427
2024-06-26,9750,9830,9580,9620,1400941,1,-0.1806,-22.6233
