t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,13900,13990,13680,13680,1974182,1,-0.2089,-0.2089
2024-02-16,13680,13820,13640,13640,2143843,1,0.0149,-0.194
2024-02-19,13680,13730,13320,13500,3917013,1,-1.4705,-1.6645
2024-02-20,13500,13500,13320,13320,2790816,1,-0.6217,-2.2862
2024-02-21,13320,13770,13280,13770,4817155,1,1.228,-1.0582
2024-02-22,13820,13950,13590,13590,4338232,1,-1.2031,-2.2613
2024-02-23,13590,13680,13100,13100,7270463,1,-2.9631,-5.2244
2024-02-26,13800,13800,13350,13500,3107807,1,-0.0228,-5.2472
2024-02-27,13500,14400,13500,14400,5495890,1,1.3204,-3.9268
2024-02-28,14500,14750,14350,14700,4049250,1,-0.0926,-4.0194
2024-02-29,14600,14750,14350,14750,2975040,1,-0.315,-4.3344
2024-03-01,14850,15250,14500,15200,5449011,1,0.0414,-4.293
2024-03-04,15350,15400,14800,14900,3422966,1,-0.9833,-5.2763
2024-03-05,15000,15400,14750,15300,6013748,1,1.1271,-4.1492
2024-03-06,15300,15300,14750,15000,3052115,1,-1.3753,-5.5245
2024-03-07,14950,15100,14750,15000,3192346,1,-0.3172,-5.8417
2024-03-08,15100,15650,15050,15400,8164800,1,1.199,-4.6427
2024-03-11,15400,15600,14850,14950,3567890,1,-1.517,-6.1597
2024-03-12,14900,15100,14700,14900,3411797,1,-1.0054,-7.1651
2024-03-13,14900,15500,14800,15500,6348002,1,1.7818,-5.3833
2024-03-14,15650,16550,15500,16550,11650050,1,3.2505,-2.1328
2024-03-15,16500,16950,16000,16350,4813798,1,-0.7346,-2.8674
2024-03-18,16550,16550,15250,15700,10840641,1,-3.3294,-6.1968
2024-03-19,15750,15750,15250,15400,2582162,1,-0.5838,-6.7806
2024-03-20,15350,15700,15200,15600,5060801,1,0.4668,-6.3138
2024-03-21,15650,16100,15650,15800,4673063,1,-0.4594,-6.7732
2024-03-22,15900,15950,15550,15700,5521848,1,-0.6353,-7.4085
2024-03-25,15900,15900,15400,15550,6250057,1,-1.047,-8.4555
2024-03-26,15400,16000,15350,15850,3194378,1,0.8172,-7.6383
2024-03-27,15850,16000,15700,15800,1619660,1,-0.1909,-7.8292
2024-03-28,15900,16600,15800,16050,6392471,1,0.3094,-7.5198
2024-03-29,16050,16149,15750,15800,2892086,1,-0.5,-8.0198
2024-04-01,15800,16100,15700,16050,3584809,1,-0.4726,-8.4924
2024-04-02,16000,16000,15700,15950,2888744,1,-0.7378,-9.2302
2024-04-03,16000,16450,15850,15850,5477396,1,-0.7556,-9.9858
2024-04-04,15800,15850,15450,15500,2966068,1,-0.9709,-10.9567
2024-04-05,15300,15500,14900,14900,4520410,1,-1.6567,-12.6134
2024-04-08,15000,15050,14600,14600,2896006,1,-0.6809,-13.2943
2024-04-09,14600,14850,14600,14800,1600612,1,-0.0089,-13.3032
2024-04-10,14800,14900,14700,14800,1561220,1,-0.4048,-13.708
2024-04-11,14600,14650,14250,14600,2787850,1,-0.693,-14.401
2024-04-12,14750,14750,14500,14700,1493609,1,-0.4305,-14.8315
2024-04-15,14700,14900,13700,13700,4540997,1,-1.367,-16.1985
2024-04-16,13500,14050,13300,14000,4238792,1,0.1582,-16.0403
2024-04-17,14250,14250,13550,13550,1535926,1,-0.6044,-16.6447
2024-04-19,13400,14000,13200,13550,2963588,1,0.0635,-16.5812
2024-04-22,13850,13850,13550,13550,1276775,1,-0.004,-16.5852
2024-04-23,13750,13900,13550,13700,1315418,1,-0.0084,-16.5936
2024-04-25,14150,14150,13800,13900,871034,1,-0.2084,-16.802
2024-04-26,13850,13950,13700,13800,816293,1,-0.1384,-16.9404
2024-05-02,13850,13850,13550,13700,992700,1,-0.4894,-17.4298
2024-05-03,13600,13850,13450,13550,1994851,1,-1.2948,-18.7246
2024-05-06,13600,14050,13600,13950,1939318,1,0.5822,-18.1424
2024-05-07,14000,14050,13850,13950,982134,1,-0.0862,-18.2286
2024-05-08,13950,14500,13750,14250,2610503,1,0.0106,-18.218
2024-05-10,14050,14200,13950,14050,1382592,1,-0.1019,-18.3199
2024-05-14,13800,14100,13800,13850,981394,1,-0.1494,-18.4693
2024-05-15,13800,14050,13700,13950,4083417,1,-0.37,-18.8393
2024-05-16,14150,14450,14000,14200,4138961,1,0.3068,-18.5325
2024-05-17,14200,14550,14200,14500,4948096,1,1.036,-17.4965
2024-05-27,14500,14700,14350,14650,2864215,1,-0.4496,-17.9461
2024-05-28,14700,15100,14600,14950,4890409,1,0.584,-17.3621
2024-05-29,15000,15100,14650,14800,3467524,1,-0.4902,-17.8523
2024-05-30,14600,15000,14450,14750,3869044,1,-0.8392,-18.6915
