t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-21,9670,9670,9410,9520,10578,1,0.0047,0.3899
2024-02-28,9450,10000,9400,9890,35788,1,-0.0089,0.0133
2024-03-06,9700,9700,9630,9690,3323,1,-0.0026,0.0222
2024-03-13,9880,10200,9710,10200,71872,1,0.0053,0.4264
2024-03-21,10200,10500,10200,10300,46748,1,-0.0094,0.3852
2024-03-28,10000,10200,9860,10200,178566,1,-0.0321,-0.0188
2024-04-05,9860,10000,9860,9870,51436,1,-0.0291,0.4211
2024-04-10,9650,10100,9640,9900,70349,1,0.0064,-0.0098
2024-04-19,9900,9900,9810,9820,35807,1,-0.0318,0.3946
2024-04-22,9820,9980,9820,9980,21646,1,0.0016,0.0043
2024-05-10,10250,10400,10100,10400,56936,1,0.0346,0.0248
2024-05-22,11400,11500,11200,11400,72094,1,-0.0205,-0.0162
2024-06-11,16500,17650,16500,17550,918538,1,0.0027,0.0027
2024-06-18,17950,19150,17500,19150,1619541,1,0.469,0.4502
2024-07-04,18950,18950,18000,18350,403743,1,-0.2199,0.17
2024-07-09,18900,18900,18200,18400,295832,1,0.0267,0.1967
2024-07-10,18400,18500,17800,17800,333568,1,-0.0983,0.0984
2024-07-11,17800,18100,17500,17550,365480,1,0.0446,0.143
2024-07-12,17750,18000,17400,17550,200701,1,-0.077,0.066
2024-07-15,17150,17500,16350,16350,251008,1,-0.1148,-0.0488
2024-07-16,15600,17100,15500,16500,249558,1,-0.0893,-0.1381
2024-07-17,16400,16400,15350,15400,265087,1,-0.1566,-0.2947
2024-07-18,15400,16000,14700,15350,153546,1,-0.0795,-0.3742
2024-07-19,15800,15800,14400,14600,140212,1,-0.0498,-0.424
2024-07-22,14600,14600,13700,13950,189316,1,-0.0356,-0.4596
2024-07-23,13950,14900,13900,14900,306900,1,0.0955,-0.3641
2024-07-24,14900,15150,13900,14600,81953,1,-0.0563,-0.4204
2024-07-25,14850,14850,14000,14050,57386,1,-0.0107,-0.4311
2024-07-26,14150,14150,13800,13950,72000,1,-0.045,-0.4761
2024-07-29,14200,14550,14000,14350,30700,1,-0.0039,-0.48
2024-07-30,14350,14350,13600,14000,89300,1,-0.0522,-0.5322
2024-07-31,13600,14450,13300,13300,126800,1,-0.0068,-0.539
2024-08-01,13500,13600,12800,13300,204100,1,-0.0054,-0.5444
2024-08-02,13200,13700,12750,13500,138200,1,-0.037,-0.5814
2024-08-05,13450,13450,12600,12600,180500,1,-0.1207,-0.7021
2024-08-06,11850,13400,11850,13200,152100,1,0.0663,-0.6358
2024-08-07,13200,13200,12550,13000,93400,1,-0.0328,-0.6686
2024-08-08,12500,12950,12500,12650,59300,1,-0.038,-0.7066
2024-08-09,12650,12900,12650,12750,34200,1,-0.0086,-0.7152
2024-08-12,12750,12950,12550,12800,47500,1,0.0037,-0.7115
