t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,2800,2800,2700,2700,23300,1,-0.0053,-0.0053
2024-02-16,2800,2900,2700,2800,357600,1,0.0806,0.0753
2024-02-19,2900,3000,2800,2900,202042,1,0.082176,0.157476
2024-02-20,2800,3000,2800,3000,88202,1,-0.039002,0.118474
2024-02-21,2900,3000,2800,2900,92900,1,-0.0641,0.054374
2024-02-22,2900,3100,2800,3000,539201,1,0.072801,0.127175
2024-02-23,3000,3300,3000,3000,721500,1,-0.2269,-0.099725
2024-02-26,3000,3200,3000,3100,343746,1,-0.03694,-0.136665
2024-02-27,3200,3300,3100,3200,335300,1,0.0409,-0.095765
2024-02-28,3200,3300,3100,3200,362303,1,0.154297,0.058532
2024-02-29,3100,3300,3000,3200,251700,1,-0.0995,-0.040968
2024-03-01,3200,3200,3000,3200,185100,1,-0.0509,-0.091868
2024-03-04,3100,3500,3100,3500,1202650,1,0.636826,0.544958
2024-03-05,3500,3800,3500,3800,2254751,1,1.462751,2.007709
2024-03-06,3900,4000,3700,3800,1153976,1,0.067776,2.075485
2024-03-07,3800,3900,3500,3600,1062826,1,0.0214,2.096885
2024-03-08,3700,3700,3400,3500,708229,1,-0.237951,1.858934
2024-03-11,3500,3600,3400,3600,517110,1,0.117704,1.976638
2024-03-12,3600,3600,3300,3500,424108,1,-0.265492,1.711146
2024-03-13,3500,3600,3400,3500,439004,1,-0.089598,1.621548
2024-03-14,3500,3700,3500,3700,563774,1,0.310524,1.932072
2024-03-15,3700,3800,3500,3600,424846,1,-0.244422,1.68765
2024-03-18,3600,3700,3300,3300,673915,1,-0.133709,1.553941
2024-03-19,3300,3300,3100,3100,733812,1,-0.324412,1.229529
2024-03-20,3200,3400,3100,3400,595751,1,-0.060451,1.169078
2024-03-21,3400,3500,3200,3300,286010,1,-0.180592,0.988486
2024-03-22,3300,3400,3100,3200,552950,1,-0.222934,0.765552
2024-03-25,3200,3300,3100,3100,171535,1,-0.098735,0.666817
2024-03-26,3200,3300,3100,3200,165818,1,-0.032816,0.634001
2024-03-27,3200,3300,3100,3100,130921,1,-0.075711,0.55829
2024-03-28,3100,3300,3100,3200,144684,1,0.060116,0.618406
2024-03-29,3200,3200,3100,3100,333697,1,-0.282297,0.336109
2024-04-01,3100,3200,3100,3200,235937,1,-0.007669,0.32844
2024-04-02,3200,3300,3100,3200,135360,1,0.009022,0.337462
2024-04-03,3200,3200,3100,3200,126825,1,-0.032425,0.305037
2024-04-04,3200,3200,3000,3000,441078,1,-0.320738,-0.015701
2024-04-05,3100,3100,2900,3000,266522,1,-0.041682,-0.057383
2024-04-08,3000,3100,2900,3100,108268,1,0.043966,-0.013417
2024-04-09,3000,3200,3000,3200,241802,1,0.149998,0.136581
2024-04-10,3200,3300,3100,3200,243496,1,-0.046492,0.090089
2024-04-11,3100,3200,3000,3200,114501,1,-0.110501,-0.020412
2024-04-12,3100,3200,3000,3100,215900,1,-0.0399,-0.060312
2024-04-15,3100,3200,2900,3000,230551,1,0.049849,-0.010463
2024-04-16,3000,3000,2800,2900,181032,1,-0.06298,-0.073443
2024-04-17,2900,3000,2800,2900,129700,1,0.0285,-0.044943
2024-04-19,2900,2900,2700,2800,251544,1,-0.090472,-0.135415
2024-04-22,2900,3000,2800,3000,84305,1,-0.072139,-0.207554
2024-04-23,3000,3000,2800,2900,36100,1,-0.0087,-0.216254
2024-04-25,3000,3000,2800,2900,73903,1,-0.055097,-0.271351
2024-04-26,2900,3000,2800,2900,264167,1,0.177561,-0.09379
2024-05-02,2900,3100,2900,3000,118209,1,-0.047409,-0.141199
