t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,31500,31500,30900,31050,5966753,1,-1.8743,-1.8743
2024-02-16,31050,31950,31050,31450,7948085,1,-0.4882,-2.3625
2024-02-19,31450,32299,31250,31950,10860656,1,1.6993,-0.6632
2024-02-20,32100,32100,31550,31950,5410822,1,-1.0153,-1.6785
2024-02-21,31850,32400,31600,31750,6851448,1,-0.3445,-2.023
2024-02-22,31850,32049,31750,31750,5786376,1,-0.455,-2.478
2024-02-23,31750,31800,30600,30600,11073318,1,-4.4355,-6.9135
2024-02-26,30500,30750,30400,30600,5613759,1,0.0918,-6.8217
2024-02-27,30650,31250,30650,31050,4980824,1,0.6234,-6.1983
2024-02-28,31150,31450,31000,31200,5522904,1,-0.5295,-6.7278
2024-02-29,31200,31350,30800,31000,7928383,1,-1.4029,-8.1307
2024-03-01,31200,31250,30850,31200,5970385,1,-0.3114,-8.4421
2024-03-04,31500,33350,31400,33350,35652303,1,9.6361,1.194
2024-03-05,33400,33700,33150,33300,7779480,1,-0.732,0.462
2024-03-06,33300,33500,32549,32750,10555586,1,-1.8656,-1.4036
2024-03-07,32700,33400,32450,32950,15646392,1,1.916,0.5124
2024-03-08,33400,34350,32800,33100,19715588,1,0.4208,0.9332
2024-03-11,33100,33500,31850,32100,13360320,1,-3.541,-2.6078
2024-03-12,32000,32900,31550,32000,10769428,1,-1.6632,-4.271
2024-03-13,32500,32950,32200,32900,12355983,1,1.5519,-2.7191
2024-03-14,33200,35000,33200,33950,24495133,1,2.2215,-0.4976
2024-03-15,34200,34200,33050,33600,12533929,1,-2.4163,-2.9139
2024-03-18,33950,34050,31400,32100,19186317,1,-4.9279,-7.8418
2024-03-19,32400,32600,31950,32400,11612155,1,0.4042,-7.4376
2024-03-20,32450,32900,32049,32900,7101865,1,0.7524,-6.6852
2024-03-21,33500,34800,33050,34500,28705053,1,8.1251,1.4399
2024-03-22,34850,35900,34200,35700,21481059,1,3.6107,5.0506
2024-03-25,35700,35850,34500,35000,13780082,1,-3.5629,1.4877
2024-03-26,34850,36250,34500,36100,13770939,1,2.7538,4.2415
2024-03-27,36300,36300,35350,35550,7884254,1,-1.0261,3.2154
2024-03-28,35650,35950,35150,35550,9192202,1,-1.7718,1.4436
2024-03-29,35550,35750,34750,34950,9740138,1,-2.4672,-1.0236
2024-04-01,34850,34850,34100,34400,13565837,1,-2.9181,-3.9417
2024-04-02,34200,35500,33950,35500,10009928,1,0.331,-3.6107
2024-04-03,35300,35350,34200,34350,12415675,1,-3.7998,-7.4105
2024-04-04,34350,34450,33500,33700,11679375,1,-3.2023,-10.6128
2024-04-05,33100,33650,33000,33000,10027814,1,-1.0127,-11.6255
2024-04-08,33000,33450,32650,33000,6558182,1,-1.4182,-13.0437
2024-04-09,33000,33700,32800,33700,5657771,1,-0.0729,-13.1166
2024-04-10,33800,33800,33000,33000,4329255,1,-1.403,-14.5196
2024-04-11,32549,33400,32549,33200,6424925,1,1.1941,-13.3255
2024-04-12,33300,33450,33100,33400,4528105,1,-0.9304,-14.2559
2024-04-15,33200,33450,31100,31100,12472168,1,-5.5497,-19.8056
2024-04-16,31000,31000,29600,30600,10990415,1,-3.7166,-23.5222
2024-04-17,30950,30950,29500,29500,5384115,1,-1.7461,-25.2683
2024-04-19,28800,29500,27950,28000,8951347,1,-0.5437,-25.812
2024-04-22,28500,29350,28200,29150,4450697,1,1.0715,-24.7405
2024-04-23,29200,29300,28100,28250,3960109,1,-1.088,-25.8285
2024-04-25,29450,29500,28950,29500,3028290,1,-0.226,-26.0545
2024-04-26,29050,29450,28900,29000,4113716,1,-0.8779,-26.9324
2024-05-02,28650,29200,28300,29000,4819674,1,-0.1436,-27.076
2024-05-03,29250,29900,29050,29500,5086953,1,-0.1518,-27.2278
2024-05-06,29950,30300,29600,30250,4160411,1,1.1818,-26.046
2024-05-07,30300,30600,30100,30200,3888076,1,-0.1341,-26.1801
2024-05-08,30000,30200,29600,30050,4424614,1,-0.8607,-27.0408
2024-05-09,30050,30400,29900,30000,3927573,1,-1.3476,-28.3884
2024-05-10,30000,30200,29550,29900,3767432,1,-0.9235,-29.3119
2024-05-13,29900,30250,29650,30000,4149657,1,-0.7779,-30.0898
2024-05-14,29950,30800,29950,30150,6265202,1,-0.4414,-30.5312
2024-05-15,30400,30500,30100,30250,4396085,1,-0.808,-31.3392
2024-05-16,30600,30750,30350,30500,5995734,1,-0.8154,-32.1546
2024-05-17,30450,30950,30400,30800,5515612,1,-0.4886,-32.6432
2024-05-20,31050,31450,31000,31000,5799524,1,-0.6085,-33.2517
2024-05-21,31200,31850,30800,31400,13520050,1,-0.6747,-33.9264
2024-05-22,31700,31700,30900,31000,6260086,1,-1.5804,-35.5068
2024-05-23,30950,31600,30800,31600,6414756,1,1.0883,-34.4185
2024-05-24,31300,32150,30450,30850,10984039,1,-1.8236,-36.2421
2024-05-27,31000,31250,30800,31200,3776969,1,0.0249,-36.2172
2024-05-28,31450,32150,31250,32100,9226561,1,1.8443,-34.3729
2024-05-29,32200,32200,31500,31850,6169283,1,-1.855,-36.2279
2024-05-30,31350,31650,30700,31500,7600793,1,-1.9482,-38.1761
2024-05-31,31550,31600,31150,31400,3559981,1,-0.5819,-38.758
2024-06-03,31750,32299,31550,32299,7860265,1,0.0341,-38.7239
2024-06-04,32500,32500,31850,31900,4700475,1,-0.5856,-39.3095
2024-06-05,31900,32500,31600,31600,7648085,1,-1.2737,-40.5832
2024-06-06,31900,31900,31200,31600,4465028,1,-1.5756,-42.1588
2024-06-07,31700,31800,31350,31600,2993886,1,-0.8878,-43.0466
2024-06-10,31750,32200,31600,31700,4844878,1,-0.7796,-43.8262
2024-06-11,31850,31900,31200,31400,5832309,1,-1.2052,-45.0314
2024-06-12,31450,31600,30950,31600,6931639,1,-0.7362,-45.7676
2024-06-13,31750,31750,31250,31350,5606976,1,-1.2105,-46.9781
2024-06-14,31400,31700,30300,30300,7260818,1,-2.2511,-49.2292
2024-06-17,30500,30500,30200,30200,4316543,1,-1.0243,-50.2535
2024-06-18,30350,30800,30350,30400,2737922,1,-0.4216,-50.6751
2024-06-19,30400,30400,29800,29900,7065093,1,-2.1817,-52.8568
2024-06-20,30050,30250,29550,29800,3517911,1,-0.9458,-53.8026
2024-06-21,29650,30100,29300,29350,3521330,1,-1.2041,-55.0067
2024-06-24,29450,30300,29400,29750,8977356,1,0.3612,-54.6455
2024-06-25,29750,29950,29600,29800,1864683,1,-0.6415,-55.287
2024-06-26,29850,29950,29300,29500,2932287,1,-0.5421,-55.8291
2024-06-27,29500,29900,29150,29250,2793097,1,-0.8882,-56.7173
2024-06-28,29350,29550,28300,29000,3950645,1,-1.6238,-58.3411
2024-07-01,29000,29250,28650,28950,1783811,1,-0.4821,-58.8232
2024-07-02,29100,29400,29050,29300,2439321,1,0.0569,-58.7663
2024-07-03,29450,29450,29150,29450,1777108,1,-0.5013,-59.2676
2024-07-04,29450,29600,29100,29300,2477226,1,-0.7613,-60.0289
2024-07-05,29300,29400,28850,29000,2493608,1,-0.5263,-60.5552
2024-07-08,29050,29200,28500,28550,5376247,1,-2.496,-68.122
2024-07-09,28650,29100,28600,28950,3212841,1,0.1273,-67.9947
2024-07-10,29100,29300,28800,28800,3574002,1,-0.5313,-68.526
2024-07-11,29000,29350,28850,28900,2975072,1,-1.0072,-69.5332
2024-07-12,28900,29050,28500,28600,2944469,1,-1.147,-70.6802
2024-07-15,28900,28900,28250,28250,3624377,1,-3.6182,-72.4893
2024-07-16,28300,28800,28250,28300,3480291,1,-1.1333,-73.6226
2024-07-17,28600,28600,27000,27000,5994787,1,-2.3898,-76.0124
2024-07-18,27300,27500,27100,27450,3238019,1,0.44,-75.7924
2024-07-19,27800,27800,27050,27200,2192672,1,-0.8687,-76.6611
2024-07-22,27250,27500,26700,26900,3702942,1,-1.2593,-77.9204
2024-07-23,26850,27150,26500,26500,2262748,1,-0.8353,-78.7557
2024-07-24,26500,27800,26300,27500,4543326,1,0.8528,-77.9029
2024-07-25,27450,27750,27050,27750,1847601,1,-0.2887,-78.1916
2024-07-26,27750,28000,27450,28000,1524100,1,-0.7498,-78.5665
2024-07-29,28100,28250,27550,27900,2287200,1,-1.1633,-79.7298
2024-07-30,27700,27850,27250,27300,2067400,1,-0.4774,-80.2072
2024-07-31,27050,27600,26900,27300,3743500,1,-1.2327,-81.4399
2024-08-01,27200,27200,25900,26000,4615400,1,-2.1805,-83.6204
2024-08-02,26000,26300,25500,25950,2871600,1,-0.5314,-84.1518
2024-08-05,25500,25850,24200,24350,4849500,1,-4.6988,-86.5012
2024-08-06,25000,25000,24350,24600,2171800,1,-0.234,-86.7352
2024-08-07,24800,25000,24600,24750,1195800,1,-0.1837,-86.9189
2024-08-08,24650,24850,24250,24350,3165000,1,-1.5148,-87.6763
2024-08-09,24600,25200,24600,25200,3197300,1,0.2022,-87.4741
2024-08-12,25100,25500,25000,25400,1776600,1,0.073,-87.4011
