t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,31300,31550,31200,31450,1539586,1,0.1718,0.1718
2024-02-16,31450,31750,31350,31400,1201809,1,-0.4025,-0.2307
2024-02-19,31400,31500,30950,31300,1587496,1,-0.3821,-0.6128
2024-02-20,31400,31800,31250,31700,2357126,1,0.4928,-0.12
2024-02-21,31800,33500,31700,32800,6970782,1,1.3557,1.2357
2024-02-22,32500,32800,32400,32400,1660163,1,-0.16,1.0757
2024-02-23,32600,32600,31650,31750,3855068,1,-1.3611,-0.2854
2024-02-26,31750,31900,31350,31750,2269304,1,-0.5094,-0.7948
2024-02-27,31950,32800,31700,32600,3757804,1,0.4543,-0.3405
2024-02-28,32850,32850,32200,32400,1789878,1,-0.4395,-0.78
2024-02-29,32549,34650,32350,34650,13933477,1,3.7327,2.9527
2024-03-01,34900,35200,34500,34950,4665119,1,-0.3538,2.5989
2024-03-04,35200,36700,35100,35950,8782309,1,-0.736,1.8629
2024-03-05,35950,36250,35600,36000,4623533,1,-0.7875,1.0754
2024-03-06,35950,36250,35200,35950,4640156,1,0.0061,1.0815
2024-03-07,35900,36750,35700,36500,4750022,1,0.4574,1.5389
2024-03-08,36500,36600,35700,36450,5974765,1,-0.5227,1.0162
2024-03-11,36450,37000,36250,36450,5156423,1,0.2053,1.2215
2024-03-12,36400,37000,36350,36600,3833407,1,-0.2714,0.9501
2024-03-13,36700,37800,36650,37600,6840154,1,0.9112,1.8613
2024-03-14,37600,37950,37300,37500,4582502,1,-0.7953,1.066
2024-03-15,37400,38350,37050,37200,4147295,1,-0.656,0.41
2024-03-18,37300,37950,34600,37200,9115126,1,0.2609,0.6709
2024-03-19,37450,37500,36450,36600,2640909,1,-0.9101,-0.2392
2024-03-20,36500,36900,36200,36550,3464232,1,-0.6205,-0.8597
2024-03-21,36800,37400,36550,37200,4355768,1,0.6141,-0.2456
2024-03-22,37500,37600,36850,37100,3415326,1,-0.7851,-1.0307
2024-03-25,37100,38100,36700,36900,3513976,1,-0.3391,-1.3698
2024-03-26,36900,38950,36500,38600,5456240,1,1.6016,0.2318
2024-03-27,38600,38750,38050,38400,2236645,1,-0.3194,-0.0876
2024-03-28,38450,38600,37900,37900,2094446,1,-0.6958,-0.7834
2024-03-29,37900,38150,37500,37800,2927191,1,0.2542,-0.5292
2024-04-01,37800,38200,37550,38000,4735050,1,-0.4175,-0.9467
2024-04-02,37900,38050,37400,38050,4228873,1,-0.7515,-1.6982
2024-04-03,38050,38700,37700,37750,6063099,1,-1.404,-3.1022
2024-04-04,37250,37900,37050,37350,3138196,1,-0.0597,-3.1619
2024-04-05,37000,37400,36450,36500,4086284,1,0.1339,-3.028
2024-04-08,36400,36500,35600,35850,3133402,1,-0.1741,-3.2021
2024-04-09,35850,36100,35350,36000,3431849,1,-0.1526,-3.3547
2024-04-10,36150,36800,36000,36000,3063376,1,-0.2709,-3.6256
2024-04-11,35400,36500,35400,36250,2746777,1,0.5436,-3.082
2024-04-12,36350,36550,36150,36450,2248318,1,-0.5603,-3.6423
2024-04-15,36300,36600,33900,33900,4064065,1,-1.5608,-5.2031
2024-04-16,33900,34300,33000,34250,4883974,1,-0.4493,-5.6524
2024-04-17,34400,34400,34000,34000,1880528,1,-0.3912,-6.0436
2024-04-19,33900,33900,32000,33000,4255069,1,-0.3414,-6.385
2024-04-22,33400,33450,32500,33450,3409053,1,0.5168,-5.8682
2024-04-23,33500,33700,33000,33450,2792516,1,-0.1767,-6.0449
2024-04-25,34300,34600,33750,34600,2053089,1,-0.0152,-6.0601
2024-04-26,34000,35450,33950,35000,3718333,1,1.4946,-4.5655
2024-05-02,35000,35000,34000,35000,1506739,1,-0.116,-4.6815
2024-05-03,35400,35900,34650,35900,3635099,1,0.4971,-4.1844
2024-05-06,35900,36000,35500,35700,2486953,1,-0.0649,-4.2493
2024-05-07,35850,36200,35650,36100,2991079,1,0.3127,-3.9366
2024-05-08,35650,36050,35350,36000,2292977,1,0.0948,-3.8418
2024-05-09,36000,36350,35550,36000,3070664,1,0.0786,-3.7632
2024-05-10,35950,36150,35500,36000,2145900,1,-0.0138,-3.777
2024-05-13,36150,36750,36100,36300,4320617,1,-0.4631,-4.2401
2024-05-14,36400,36400,35850,35900,970532,1,-0.2217,-4.4618
2024-05-15,36000,36750,35850,36400,4473805,1,0.7662,-3.6956
2024-05-16,36700,37000,36400,36800,3641849,1,0.2103,-3.4853
2024-05-17,36800,36900,36550,36900,3146903,1,-0.4411,-3.9264
2024-05-20,37200,37250,36650,36900,3007236,1,-0.587,-4.5134
2024-05-21,36700,36850,36250,36500,2996718,1,-0.8522,-5.3656
2024-05-22,36550,37100,36400,36600,4343372,1,0.3384,-5.0272
2024-05-23,36500,36950,36350,36950,2720136,1,-0.3084,-5.3356
2024-05-24,36800,37100,35000,35600,6016711,1,-2.086,-7.4216
2024-05-27,35750,35800,35000,35800,2315454,1,0.0779,-7.3437
2024-05-28,35950,36250,35700,36250,2763973,1,-0.0092,-7.3529
2024-05-29,36150,36200,35700,35700,3037855,1,-0.6501,-8.003
2024-05-30,35400,36050,35050,36050,3371060,1,0.1871,-7.8159
2024-05-31,36000,36200,35750,36200,2718552,1,0.7966,-7.0193
2024-06-03,36350,38500,36250,38000,8210059,1,2.6014,-4.4179
2024-06-04,37950,37950,37450,37500,2697127,1,-0.3795,-4.7974
2024-06-05,37850,37850,37050,37050,4623982,1,-1.452,-6.2494
2024-06-06,37300,37300,36350,36500,4548876,1,-2.0681,-8.3175
2024-06-07,36700,37500,36450,37300,3087828,1,0.6448,-7.6727
2024-06-10,37350,37800,37000,37300,2515050,1,0.0527,-7.62
