t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,24960,25560,24750,25390,4730253,1,0.6237,0.6237
2024-02-16,25430,25510,25050,25130,4784490,1,-1.0158,-0.3921
2024-02-19,26500,26500,25850,26000,2267414,1,-0.4054,-0.7975
2024-02-20,26000,26000,25600,25800,1531105,1,-0.5912,-1.3887
2024-02-21,25700,26150,25600,25950,1430985,1,0.0232,-1.3655
2024-02-22,25850,26250,25700,25800,1129701,1,-0.3243,-1.6898
2024-02-23,25800,25900,25050,25350,1517031,1,-0.7683,-2.4581
2024-02-26,25350,25700,25000,25700,1283961,1,-0.1613,-2.6194
2024-02-27,25850,26400,25800,26100,1721619,1,0.0471,-2.5723
2024-02-28,26200,26200,25750,25900,1313451,1,-0.4877,-3.06
2024-02-29,25900,26000,25450,25700,1951062,1,-1.0962,-4.1562
2024-03-01,25800,26950,25500,26800,4198152,1,0.8718,-3.2844
2024-03-04,27000,27000,26650,26700,1275189,1,-0.2742,-3.5586
2024-03-05,26300,26700,26150,26400,2211077,1,-0.5139,-4.0725
2024-03-06,26400,26500,25700,25850,1866855,1,-0.8078,-4.8803
2024-03-07,25850,26150,25750,26150,1710531,1,0.1902,-4.6901
2024-03-08,26000,26300,25550,25550,2377178,1,-0.8343,-5.5244
2024-03-11,25550,25600,25000,25000,1407606,1,-0.4355,-5.9599
2024-03-12,25000,25550,24850,25300,1489358,1,-0.1177,-6.0776
2024-03-13,25700,25700,25300,25650,1708898,1,0.0691,-6.0085
2024-03-14,25800,26200,25550,26200,3783544,1,0.4312,-5.5773
2024-03-15,26200,27050,26000,26450,4961800,1,0.354,-5.2233
2024-03-18,26450,26800,25000,25450,3347953,1,-0.6236,-5.8469
2024-03-19,25650,26000,25450,25450,1799515,1,-0.7115,-6.5584
2024-03-20,25500,25650,25250,25650,1937820,1,-0.492,-7.0504
2024-03-21,26000,26500,25650,26500,3286505,1,0.8561,-6.1943
2024-03-22,27150,27200,26500,26650,4311798,1,-1.2706,-7.4649
2024-03-25,26800,27350,26200,26400,3241391,1,-0.4923,-7.9572
2024-03-26,26400,26950,26100,26950,1681663,1,0.174,-7.7832
2024-03-27,27100,27300,26400,26950,2269515,1,-0.4506,-8.2338
2024-03-28,27050,27050,26500,26600,1456568,1,-0.4476,-8.6814
2024-03-29,26900,26900,26150,26200,1404398,1,-0.4603,-9.1417
2024-04-01,26200,26750,25900,26200,2230163,1,-0.5956,-9.7373
2024-04-02,26000,26400,25750,26300,1848784,1,-0.2888,-10.0261
2024-04-03,26300,26750,26000,26100,2272581,1,-0.4028,-10.4289
2024-04-04,26050,26350,25600,25600,1447721,1,-0.181,-10.6099
2024-04-05,25400,25600,25300,25300,1602003,1,-0.3335,-10.9434
2024-04-08,25250,25400,25000,25000,1141414,1,-0.2121,-11.1555
2024-04-09,25000,25200,24800,25200,1002909,1,-0.1648,-11.3203
2024-04-10,25300,25400,24800,24800,815989,1,-0.3414,-11.6617
2024-04-11,24400,24750,24200,24500,1157863,1,-0.221,-11.8827
2024-04-12,24550,24800,24550,24650,738457,1,-0.0316,-11.9143
2024-04-15,24600,24750,22950,22950,2114466,1,-1.1363,-13.0506
2024-04-16,22900,22900,21350,21950,2345699,1,-0.6424,-13.693
2024-04-17,22150,22200,21350,21400,959369,1,-0.4856,-14.1786
2024-04-19,20500,21300,20100,20150,2004963,1,-0.1602,-14.3388
2024-04-22,20800,20800,20150,20500,1119293,1,-0.1641,-14.5029
2024-04-23,20700,20900,19200,19500,1205378,1,-0.4815,-14.9844
2024-04-25,21000,22000,21000,21500,1976686,1,0.3169,-14.6675
2024-04-26,21100,21500,21000,21450,1052538,1,-0.072,-14.7395
2024-05-02,21600,21650,21050,21250,1022404,1,-0.1964,-14.9359
2024-05-03,21650,21650,21000,21100,931254,1,-0.1627,-15.0986
2024-05-06,21400,21750,21150,21700,1251434,1,0.2297,-14.8689
2024-05-07,21700,22300,21700,21800,1398501,1,0.162,-14.7069
2024-05-08,21450,22900,21100,22600,4451550,1,0.2744,-14.4325
2024-05-09,22800,22850,22050,22300,1725373,1,-0.3548,-14.7873
2024-05-10,22500,22500,21850,21950,2323063,1,-0.4507,-15.238
2024-05-13,22000,22200,21600,21850,1476090,1,-0.504,-15.742
2024-05-14,21900,22200,21750,21800,1314157,1,-0.2737,-16.0157
2024-05-15,21800,22400,21800,22300,2317000,1,0.3969,-15.6188
2024-05-16,22500,22650,22250,22250,1701953,1,-0.271,-15.8898
2024-05-17,22200,22400,21900,22150,2693247,1,-0.5931,-16.4829
2024-05-20,22500,22950,22350,22850,3443812,1,0.0053,-16.4776
2024-05-21,22850,22900,22350,22600,1991888,1,-0.4568,-16.9344
2024-05-22,22800,22850,22200,22250,2562677,1,-0.6913,-17.6257
2024-05-23,22250,22550,22150,22400,2047356,1,-0.0447,-17.6704
2024-05-24,22300,22850,21700,21850,3477947,1,-0.7761,-18.4465
2024-05-27,22000,22350,21850,22100,1364849,1,-0.2111,-18.6576
2024-05-28,22100,22650,22100,22650,2177510,1,0.0687,-18.5889
2024-05-29,22650,23500,22550,22950,4405535,1,0.0745,-18.5144
2024-05-30,22450,23400,22450,22800,2838059,1,-0.2321,-18.7465
