t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,40900,42080,40900,41690,252634,1,0.001466,0.001466
2024-02-16,41880,42570,41880,41980,238827,1,-0.023875,-0.022409
2024-02-19,42080,42280,41290,41790,188309,1,0.012325,-0.010084
2024-02-20,41980,42870,41490,42180,254985,1,0.095811,0.085727
2024-02-21,42180,42380,41690,41880,173134,1,0.003266,0.088993
2024-02-22,41880,42480,41690,41880,178305,1,-0.030471,0.058522
2024-02-23,41880,41980,40800,40900,240831,1,-0.121591,-0.063069
2024-02-26,40800,40900,40410,40700,177817,1,-0.001179,-0.064248
2024-02-27,41000,41880,40800,41590,218148,1,0.002378,-0.06187
2024-02-28,41690,41980,41000,41100,130385,1,-0.026499,-0.088369
2024-02-29,41100,41390,40800,41190,200585,1,0.006503,-0.081866
2024-03-01,41190,41690,41190,41490,182357,1,-0.022223,-0.104089
2024-03-04,41980,42870,41880,42870,461344,1,0.097692,-0.006397
2024-03-05,42870,43360,42380,42570,319535,1,-0.049933,-0.05633
2024-03-06,42570,42570,41390,42080,306811,1,-0.123809,-0.180139
2024-03-07,42380,42670,41490,42180,209607,1,0.002789,-0.17735
2024-03-08,42180,42280,41390,41390,240725,1,-0.051297,-0.228647
2024-03-11,41390,41590,40410,40600,218303,1,-0.144603,-0.37325
2024-03-12,40600,41190,40310,40800,279160,1,-0.043742,-0.416992
2024-03-13,40800,41190,40410,41100,140953,1,0.016447,-0.400545
2024-03-14,41190,41690,41000,41190,253899,1,-0.071741,-0.472286
2024-03-15,41100,42770,41100,41880,437550,1,0.08928,-0.383006
2024-03-18,42080,44250,41690,43260,870095,1,0.347693,-0.035313
2024-03-19,43850,44150,41880,42180,259783,1,-0.047257,-0.08257
2024-03-20,42570,42570,41290,42080,443008,1,0.057964,-0.024606
2024-03-21,42280,43560,41790,43070,573153,1,-0.065455,-0.090061
2024-03-22,43360,46810,43360,45530,1249198,1,0.10249,0.012429
2024-03-25,45530,46420,45040,45630,736653,1,0.034837,0.047266
2024-03-26,45530,46710,44540,45430,507664,1,0.025662,0.072928
2024-03-27,46020,46020,44940,45330,382955,1,0.009861,0.082789
2024-03-28,45430,45630,44540,44640,378944,1,-0.13732,-0.054531
2024-03-29,44640,44640,43850,43950,274492,1,-0.033062,-0.087593
2024-04-01,43850,45230,43760,44640,376631,1,0.055559,-0.032034
2024-04-02,44640,44640,43660,44540,351818,1,-0.076088,-0.108122
2024-04-03,44640,44940,43360,43660,339727,1,-0.100755,-0.208877
2024-04-04,43660,43950,42870,43260,301538,1,-0.053578,-0.262455
2024-04-05,42870,43160,42280,42380,340356,1,-0.066678,-0.329133
2024-04-08,42380,42480,41690,41690,280967,1,0.008075,-0.321058
2024-04-09,41690,42080,41490,42080,168325,1,0.015327,-0.305731
