t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,17300,17800,17000,17800,1153633,1,0.177629,0.177629
2024-02-16,17800,17900,17500,17800,817929,1,0.018899,0.196528
2024-02-19,17800,19000,17800,18600,2687096,1,0.24077,0.437298
2024-02-20,18600,18900,18500,18800,744117,1,-0.057573,0.379725
2024-02-21,18800,19200,18500,19000,1111656,1,0.188154,0.567879
2024-02-22,19000,19000,18400,18600,1251541,1,-0.309723,0.258156
2024-02-23,18400,18700,18000,18400,1527236,1,-0.333158,-0.075002
2024-02-26,18400,19000,18300,18700,997370,1,0.174256,0.099254
2024-02-27,18700,20000,18700,19700,1683022,1,0.459696,0.55895
2024-02-28,19700,20200,19700,19800,792204,1,0.082392,0.641342
2024-02-29,19800,20000,19500,19700,581069,1,-0.226497,0.414845
2024-03-01,19700,19900,19500,19700,750732,1,0.000462,0.415307
2024-03-04,19800,20100,19600,19900,662025,1,-0.128859,0.286448
2024-03-05,19900,20500,19900,20500,1179766,1,0.177272,0.46372
2024-03-06,20500,20800,20000,20400,1075897,1,-0.396833,0.066887
2024-03-07,20400,20900,20000,20300,559769,1,-0.052363,0.014524
2024-03-08,20300,20600,20000,20600,754837,1,-0.206417,-0.191893
2024-03-11,20600,20900,20200,20300,822400,1,-0.10046,-0.292353
2024-03-12,20400,20900,20300,20800,693482,1,0.1558,-0.136553
2024-03-13,20800,21900,20800,21800,1132654,1,0.311166,0.174613
2024-03-14,21800,22000,21300,21500,675622,1,-0.147964,0.026649
2024-03-15,21500,21700,21200,21400,734305,1,-0.156471,-0.129822
2024-03-18,21400,21400,19300,19400,3405880,1,-0.861462,-0.991284
2024-03-19,19400,19700,19200,19200,955932,1,-0.050894,-1.042178
2024-03-20,19200,19900,18800,19800,904620,1,0.191138,-0.85104
2024-03-21,19800,20300,19600,20000,864853,1,-0.033111,-0.884151
2024-03-22,20000,20200,19700,19800,711829,1,-0.149869,-1.03402
2024-03-25,19800,20800,19800,20300,1457593,1,0.326353,-0.707667
2024-03-26,20300,20700,20300,20600,705562,1,-0.044056,-0.751723
2024-03-27,20500,20900,20300,20500,570518,1,-0.088314,-0.840037
2024-03-28,20500,20700,20300,20600,587979,1,0.017039,-0.822998
2024-03-29,20600,21300,20500,20800,957426,1,0.26496,-0.558038
2024-04-01,20800,20900,20300,20600,409622,1,-0.027898,-0.585936
2024-04-02,20600,20700,20200,20700,515966,1,0.02645,-0.559486
2024-04-03,20800,22700,20800,22600,4263670,1,0.5534,-0.006086
2024-04-04,22600,23200,22000,22300,1338075,1,0.218957,0.212871
2024-04-05,22500,22700,21900,21900,1184113,1,-0.059269,0.153602
2024-04-08,21900,22200,20300,20300,1732986,1,-0.583078,-0.429476
2024-04-09,20300,21400,20200,21400,843138,1,0.201442,-0.228034
2024-04-10,21500,21600,20900,21000,401633,1,-0.140869,-0.368903
2024-04-11,21000,21900,20600,21600,971911,1,-0.074005,-0.442908
2024-04-12,21600,22600,21600,22500,965446,1,0.504826,0.061918
2024-04-15,22500,23600,21700,21700,2122546,1,0.099346,0.161264
2024-04-16,21700,22100,21200,22000,1273679,1,0.251143,0.412407
2024-04-17,22200,22300,21400,21700,893902,1,-0.055716,0.356691
2024-04-19,21500,21500,19600,19600,3757870,1,1.105434,1.462125
2024-04-22,19600,19600,18400,18500,2271212,1,-0.055586,1.406539
2024-04-23,18500,18900,18400,18700,1015502,1,-0.118214,1.288325
2024-04-25,19300,19600,17800,19000,2861803,1,0.541837,1.830162
2024-04-26,18800,19200,18600,18700,474400,1,0.019322,1.849484
2024-05-02,18900,19300,18500,19200,1082881,1,0.155299,2.004783
2024-05-03,19200,19400,18900,19200,640371,1,0.025685,2.030468
2024-05-06,19400,20200,19200,20200,1309714,1,0.404538,2.435006
2024-05-07,20300,20600,20100,20500,1202279,1,-0.070725,2.364281
2024-05-08,20600,21700,20000,21300,1828338,1,0.159588,2.523869
2024-05-09,21500,22000,21100,21200,1295682,1,-0.272316,2.251553
2024-05-10,21200,21200,20400,20800,1188696,1,-0.484704,1.766849
2024-05-13,21000,21500,20600,21500,1324203,1,-0.019573,1.747276
2024-05-14,21600,21800,21200,21400,767055,1,-0.143177,1.604099
2024-05-15,21500,22300,21400,22100,1975398,1,0.135674,1.739773
2024-05-16,23500,23500,21800,22000,930707,1,-0.102155,1.637618
2024-05-17,23200,23200,21600,21700,1190903,1,-0.141455,1.496163
2024-05-20,21700,22500,21700,22000,931567,1,-0.085951,1.410212
2024-05-21,22200,22600,21700,22500,2047901,1,0.258167,1.668379
