t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,12640,12930,12500,12640,7156579,1,-0.0934,-0.0934
2024-02-16,12640,12830,12590,12590,4932650,1,-1.2861,-1.3795
2024-02-19,12640,12690,12400,12500,5532162,1,-1.732,-3.1115
2024-02-20,12590,12830,12550,12640,5881718,1,-0.6159,-3.7274
2024-02-21,12740,12740,12500,12590,4880454,1,-0.0451,-3.7725
2024-02-22,12640,13170,12590,12880,12311835,1,2.5101,-1.2624
2024-02-23,12930,13070,12210,12260,9778908,1,-3.6912,-4.9536
2024-02-26,12310,12450,12160,12310,6192779,1,-0.0166,-4.9702
2024-02-27,12450,12640,12310,12590,7156986,1,0.3452,-4.625
2024-02-28,12690,12740,12450,12500,5173851,1,-1.0136,-5.6386
2024-02-29,12550,12640,12310,12400,6561794,1,-1.7192,-7.3578
2024-03-01,12500,13260,12360,13260,21751433,1,8.9903,1.6325
2024-03-04,13450,13500,13120,13210,6846933,1,-0.7495,0.883
2024-03-05,13170,13500,13120,13210,7515356,1,-1.0226,-0.1396
2024-03-06,13020,13170,12740,12880,12481786,1,-5.1354,-5.275
2024-03-07,12880,12980,12740,12930,6289940,1,-1.101,-6.376
2024-03-08,13020,13020,12500,12590,12824807,1,-3.6721,-10.0481
2024-03-11,12590,12930,12500,12590,5647895,1,0.1928,-9.8553
2024-03-12,12550,12740,12500,12550,4216657,1,-0.7156,-10.5709
2024-03-13,12590,13020,12590,12980,9494779,1,1.7101,-8.8608
2024-03-14,12880,13210,12880,13020,8503436,1,-0.202,-9.0628
2024-03-15,13070,13550,13070,13170,12455817,1,2.0296,-7.0332
2024-03-18,13170,13410,12450,12690,13366562,1,-4.3195,-11.3527
2024-03-19,12830,12980,12690,12740,5402759,1,-0.5888,-11.9415
2024-03-20,12740,12930,12550,12780,4955125,1,0.6918,-11.2497
2024-03-21,12980,13210,12880,13210,9027801,1,1.8376,-9.4121
2024-03-22,13410,13450,13070,13120,8374508,1,-1.2347,-10.6468
2024-03-25,13170,13830,13170,13410,14916914,1,1.1484,-9.4984
2024-03-26,13410,13500,13170,13450,4807684,1,-0.4494,-9.9478
