t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,2780,2810,2780,2790,1240813,1,0.0886,0.0886
2024-07-09,2800,2820,2750,2760,1191896,1,-0.5852,-0.4966
2024-07-10,2760,2790,2720,2740,1814381,1,-1.1779,-1.6745
2024-07-11,2770,2790,2750,2760,964382,1,0.1427,-1.5318
2024-07-12,2750,2780,2750,2780,1172616,1,-0.3358,-1.8676
2024-07-15,2800,2800,2750,2760,795458,1,-0.2044,-2.072
2024-07-16,2780,2780,2730,2740,769825,1,-0.3379,-2.4099
2024-07-17,2750,2750,2660,2670,2511619,1,-1.3421,-3.752
2024-07-18,2700,2700,2660,2680,865779,1,-0.1254,-3.8774
2024-07-19,2690,2690,2640,2640,712231,1,-0.358,-4.2354
2024-07-22,2640,2660,2560,2600,1539805,1,-0.7449,-4.9803
2024-07-23,2610,2650,2580,2590,498635,1,-0.2345,-5.2148
2024-07-24,2570,2600,2540,2590,760664,1,0.0996,-5.1152
2024-07-25,2590,2590,2410,2410,3774403,1,0.3091,-4.8061
2024-07-26,2250,2250,2250,2250,611100,1,0.3703,-4.4358
2024-07-29,2100,2100,2100,2100,3030000,1,2.8778,-1.558
2024-07-30,1960,2100,1960,1980,25003500,1,-0.6411,-2.1991
2024-07-31,1940,2110,1890,2100,6198300,1,1.2105,-0.9886
2024-08-01,2009,2100,1960,1960,2717800,1,-0.5923,-1.5809
2024-08-02,1830,1900,1830,1830,9049600,1,-1.0085,-2.5894
2024-08-05,1740,1870,1710,1710,4614600,1,-0.4517,-3.0411
2024-08-06,1710,1820,1600,1820,6978000,1,-0.7003,-3.7414
2024-08-07,1870,1940,1860,1940,7884100,1,3.5121,-0.2293
2024-08-08,1900,1950,1870,1940,1741000,1,-0.5631,-0.7924
2024-08-09,2000,2029,1910,1950,3071600,1,0.0214,-0.771
2024-08-12,1950,1960,1830,1880,2169100,1,-1.0207,-1.7917
