t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,33390,33440,32670,33150,248571,1,-0.0717,-0.0717
2024-02-16,32910,34870,32910,33290,189206,1,-0.0006,-0.0723
2024-02-19,33340,33340,32720,33050,136077,1,-0.0741,-0.1464
2024-02-20,33150,33240,32670,32960,200499,1,-0.0605,-0.2069
2024-02-21,32860,33720,32479,33720,342652,1,0.0864,-0.1205
2024-02-22,34150,34150,33530,33770,250011,1,-0.0549,-0.1754
2024-02-23,33670,33820,32150,32340,335304,1,-0.0934,-0.2688
2024-02-26,32619,32770,32000,32670,201104,1,0.0244,-0.2444
2024-02-27,33200,33580,32670,33440,272234,1,0.019,-0.2254
2024-02-28,33820,33820,33010,33530,251574,1,-0.0657,-0.2911
2024-02-29,33720,33960,33010,33530,226537,1,-0.0084,-0.2995
2024-03-01,33530,33630,33100,33440,168439,1,-0.044,-0.3435
2024-03-04,33480,34870,33480,34200,436571,1,0.0089,-0.3346
2024-03-05,34200,34580,34060,34150,131513,1,-0.012,-0.3466
2024-03-06,34060,34060,33150,33290,246710,1,-0.1548,-0.5014
2024-03-07,33290,33290,32810,33010,281303,1,-0.0214,-0.5228
2024-03-08,32960,33770,32860,33050,230207,1,-0.0086,-0.5314
2024-03-11,33050,33440,32770,32810,179636,1,-0.0715,-0.6029
2024-03-12,32770,34100,32770,34100,493333,1,0.1065,-0.4964
2024-03-13,35060,35820,34440,35490,542957,1,0.1477,-0.3487
2024-03-14,35490,36440,34390,35060,304827,1,-0.1231,-0.4718
2024-03-15,34580,35350,34300,35350,193114,1,-0.0564,-0.5282
2024-03-18,34730,35300,32910,33440,529142,1,-0.1094,-0.6376
2024-03-19,33910,35060,33910,34580,359779,1,0.0037,-0.6339
2024-03-20,34630,34870,34200,34490,148529,1,-0.0028,-0.6367
2024-03-21,34580,35250,34580,34920,256575,1,0.057,-0.5797
2024-03-22,34960,35300,34250,34440,401447,1,-0.0412,-0.6209
2024-03-25,34440,34680,33440,34150,271553,1,-0.1449,-0.7658
2024-03-26,34150,34730,33870,34630,202587,1,0.0102,-0.7556
2024-03-27,35010,35010,34100,34630,190345,1,-0.0963,-0.8519
2024-03-28,34630,35160,34340,34960,378232,1,-0.0481,-0.9
2024-03-29,35060,35580,34390,34390,453050,1,-0.0633,-0.9633
2024-04-01,34390,34770,34300,34490,228449,1,-0.1274,-1.0907
2024-04-02,34490,34770,34200,34580,280413,1,-0.0513,-1.142
2024-04-03,34820,35630,34580,35540,752438,1,0.1157,-1.0263
2024-04-04,35350,35490,34920,35350,346700,1,-0.0625,-1.0888
2024-04-05,34630,35300,34580,34730,338628,1,-0.0846,-1.1734
2024-04-08,34630,34630,33340,33390,422568,1,-0.1989,-1.3723
2024-04-09,33440,34200,33100,34200,152097,1,-0.004,-1.3763
