t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,32400,32800,31800,32250,6037319,1,-0.3607,-0.3607
2024-07-09,32200,32500,31650,31950,5548958,1,0.1192,-0.2415
2024-07-10,31950,31950,31200,31200,3948294,1,-1.1063,-1.3478
2024-07-11,31200,31800,30700,31250,3435379,1,0.0055,-1.3423
2024-07-12,31400,31700,30900,31250,4556704,1,-0.7046,-2.0469
2024-07-15,31600,31750,31000,31400,1693665,1,-0.444,-2.4909
2024-07-16,31700,31950,31200,31600,2869905,1,0.0449,-2.446
2024-07-17,31600,32000,30700,32000,7467723,1,-0.4781,-2.9241
2024-07-18,32000,32000,31300,31900,1623877,1,-0.0186,-2.9427
2024-07-19,32000,33000,31950,32200,4691088,1,-0.2452,-3.1879
2024-07-22,31800,32400,30650,31750,9171486,1,-2.6264,-5.8143
2024-07-23,31800,32299,31150,31750,6706753,1,-2.4928,-8.3071
2024-07-24,31500,31750,31000,31200,4344764,1,-0.9084,-9.2155
2024-07-25,31100,31250,30400,30400,3164679,1,-0.8116,-10.0271
2024-07-26,30300,30300,28950,29400,14354300,1,-4.9275,-14.9546
2024-07-29,29200,30000,29200,29800,1260100,1,0.2494,-14.7052
2024-07-30,29900,29950,29150,29500,1526500,1,-0.686,-15.3912
2024-07-31,29500,29500,29100,29150,2690200,1,-0.7105,-16.1017
2024-08-01,29300,29700,28400,29000,3876100,1,-1.1265,-17.2282
2024-08-02,28600,29000,28150,28500,3044400,1,-0.1808,-17.409
2024-08-05,28950,28950,26550,27100,5591000,1,-1.6294,-19.0384
2024-08-06,27300,28150,27200,27850,3565000,1,0.3846,-18.6538
2024-08-07,28050,28650,28050,28250,1909500,1,-0.3893,-19.0431
2024-08-08,28150,28400,28100,28350,2606500,1,-0.7865,-19.8296
2024-08-09,28800,28800,28250,28400,3075400,1,-1.1742,-21.0038
2024-08-12,28600,28800,28300,28600,1726500,1,-0.6313,-21.6351
