t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,10880,10880,10740,10740,261987,1,-0.113,-0.113
2024-02-16,10740,10740,10600,10650,624421,1,-0.3434,-0.4564
2024-02-19,10700,10840,10600,10740,607334,1,-0.027,-0.4834
2024-02-20,10840,10840,10650,10700,559707,1,-0.2368,-0.7202
2024-02-21,10700,10740,10600,10740,390629,1,-0.0629,-0.7831
2024-02-22,10790,11490,10740,11490,4306929,1,1.3288,0.5457
2024-02-23,11630,11670,11070,11160,1453341,1,-0.5707,-0.025
2024-02-26,11120,11260,10880,10980,1713268,1,-0.2061,-0.2311
2024-02-27,11120,11440,10980,11440,1644526,1,0.1245,-0.1066
2024-02-28,11490,11630,11260,11490,868469,1,-0.2953,-0.4019
2024-02-29,11630,11630,11070,11300,1004354,1,-0.3197,-0.7216
2024-03-01,11390,11530,11210,11300,1014743,1,-0.0755,-0.7971
2024-03-04,11300,11490,11260,11390,824761,1,-0.1251,-0.9222
2024-03-05,11390,11490,11350,11440,743964,1,-0.116,-1.0382
2024-03-06,11440,11580,11070,11260,797541,1,-0.1221,-1.1603
2024-03-07,11160,11300,11120,11300,602487,1,-0.1451,-1.3054
2024-03-08,11260,11300,10930,10930,1174303,1,-0.3268,-1.6322
2024-03-11,11020,11020,10650,10700,1039817,1,-0.5517,-2.1839
2024-03-12,10700,10790,10600,10700,576671,1,-0.0508,-2.2347
2024-03-13,10790,10980,10700,10880,490113,1,-0.1293,-2.364
2024-03-14,10930,11020,10740,10930,652818,1,-0.0809,-2.4449
2024-03-15,10930,11350,10840,10980,848258,1,0.0401,-2.4048
2024-03-18,10930,11210,10510,10880,777329,1,-0.2244,-2.6292
2024-03-19,10880,10930,10790,10880,294475,1,-0.0734,-2.7026
2024-03-20,10980,10980,10790,10980,334650,1,-0.0287,-2.7313
2024-03-21,10980,11070,10840,10980,651404,1,-0.0828,-2.8141
2024-03-22,11020,11070,10840,10880,529099,1,-0.1688,-2.9829
2024-03-25,10880,10980,10790,10790,582593,1,-0.3004,-3.2833
2024-03-26,10790,10840,10700,10790,387947,1,-0.0157,-3.299
2024-03-27,10880,11300,10880,11120,1822767,1,0.8388,-2.4602
2024-03-28,11350,11350,11120,11210,822839,1,0.0465,-2.4137
2024-03-29,11260,11260,10930,10980,806346,1,-0.2895,-2.7032
2024-04-01,10980,10980,10790,10840,836597,1,-0.1704,-2.8736
2024-04-02,10880,11210,10840,11070,595480,1,-0.0546,-2.9282
2024-04-03,11070,11120,10840,10980,715822,1,-0.0072,-2.9354
2024-04-04,10980,10980,10790,10840,508937,1,-0.2038,-3.1392
2024-04-05,10790,11070,10700,10840,615294,1,-0.0239,-3.1631
2024-04-08,10840,10930,10790,10790,285781,1,0.0025,-3.1606
2024-04-09,10790,10880,10740,10840,270127,1,-0.0203,-3.1809
2024-04-10,10840,10980,10840,10880,453591,1,-0.1239,-3.3048
2024-04-11,10840,10930,10790,10840,297613,1,-0.0237,-3.3285
2024-04-12,10840,11350,10840,11020,1001070,1,0.1456,-3.1829
2024-04-15,10930,11260,10280,10420,1488720,1,-0.341,-3.5239
2024-04-16,10400,10600,9900,10450,861498,1,-0.2373,-3.7612
2024-04-17,10500,10500,10000,10200,371701,1,-0.1392,-3.9004
2024-04-19,9500,9980,9500,9930,869229,1,-0.0553,-3.9557
2024-04-22,9930,10000,9870,9960,291795,1,0.0068,-3.9489
2024-04-23,9960,10400,9660,9660,225545,1,-0.1067,-4.0556
2024-04-25,9930,9930,9800,9840,295185,1,-0.152,-4.2076
2024-04-26,9800,10200,9800,10200,832734,1,0.4476,-3.76
2024-05-02,10500,10550,10300,10550,387458,1,0.0509,-3.7091
2024-05-03,10600,10600,10350,10500,398119,1,-0.0128,-3.7219
2024-05-06,10700,10750,10650,10750,424836,1,0.0388,-3.6831
2024-05-07,10800,11100,10800,10900,972265,1,-0.0679,-3.751
2024-05-08,10900,10950,10700,10900,360552,1,-0.11,-3.861
2024-05-09,10900,11050,10750,10850,527829,1,-0.1574,-4.0184
2024-05-10,10900,10900,10650,10850,388130,1,-0.0632,-4.0816
2024-05-13,10850,10900,10750,10800,241022,1,-0.0243,-4.1059
2024-05-14,10850,11000,10750,10850,360240,1,-0.0012,-4.1071
2024-05-15,10850,10950,10550,10850,680440,1,-0.0594,-4.1665
2024-05-16,10850,10950,10750,10850,330513,1,-0.0833,-4.2498
2024-05-17,10850,10900,10700,10700,459810,1,-0.0842,-4.334
2024-05-20,10800,10950,10750,10900,439403,1,-0.047,-4.381
2024-05-21,11200,11650,11200,11650,2648689,1,-0.6991,-5.0801
2024-05-22,11900,12450,11850,12450,4033819,1,1.3857,-3.6944
2024-05-23,12450,12700,12050,12700,2386297,1,0.4052,-3.2892
2024-05-24,12700,13550,12400,12550,2887222,1,0.0235,-3.2657
2024-05-27,12800,12900,12550,12800,1161872,1,-0.3827,-3.6484
2024-05-28,12950,13000,12550,13000,1369922,1,-0.278,-3.9264
2024-05-29,13200,13200,12550,12600,1609718,1,-0.7101,-4.6365
2024-05-30,12400,12550,12050,12500,1476252,1,-0.2959,-4.9324
2024-05-31,12600,12700,12300,12400,965079,1,-0.5352,-5.4676
2024-06-03,12600,13000,12350,12700,920012,1,-0.0328,-5.5004
2024-06-04,12850,12900,12500,12600,820939,1,0.0192,-5.4812
2024-06-05,12850,13450,12650,13450,2252658,1,0.9263,-4.5549
2024-06-06,13600,14000,13000,13300,1563973,1,-0.3411,-4.896
2024-06-07,13400,13450,13100,13200,933668,1,-0.4523,-5.3483
2024-06-10,13200,13650,13050,13100,1523962,1,-0.1775,-5.5258
2024-06-11,13200,13300,12600,13000,1108077,1,-0.4368,-5.9626
2024-06-12,13000,13450,12800,13400,831884,1,0.0499,-5.9127
2024-06-13,13550,13550,13200,13200,452933,1,-0.0816,-5.9943
2024-06-14,13200,13450,12700,12700,1117527,1,-0.379,-6.3733
2024-06-17,12800,12950,12700,12800,616670,1,-0.1879,-6.5612
2024-06-18,12900,13200,12800,13050,749831,1,-0.1119,-6.6731
2024-06-19,12950,13150,12900,13100,707663,1,-0.0946,-6.7677
2024-06-20,13100,13850,13100,13550,2328994,1,-0.2949,-7.0626
2024-06-21,13600,13700,13300,13300,921770,1,-0.2056,-7.2682
2024-06-24,13300,13500,12400,12400,1756745,1,-0.9257,-8.1939
2024-06-25,12700,12700,12000,12300,928822,1,-0.1234,-8.3173
2024-06-26,12500,12650,12050,12150,883182,1,0.0308,-8.2865
2024-06-27,12300,12350,12150,12200,369163,1,-0.1076,-8.3941
2024-06-28,12500,13050,12400,12500,1491400,1,0.3498,-8.0443
2024-07-01,12700,12700,12450,12700,381083,1,-0.0117,-8.056
2024-07-02,12700,12750,12500,12650,483999,1,-0.0773,-8.1333
2024-07-03,12700,12950,12700,12800,586051,1,0.0448,-8.0885
2024-07-04,12900,13300,12800,13150,760155,1,0.21,-7.8785
2024-07-05,13050,13400,12800,13300,537958,1,-0.0668,-7.9453
2024-07-09,13350,13900,13200,13650,1589228,1,0.1708,-7.7745
2024-07-10,13900,14400,13800,14100,2212366,1,0.6086,-7.1659
2024-07-11,14200,14200,13350,13600,1124604,1,-0.5315,-7.6974
2024-07-12,13600,13600,13200,13200,960136,1,-0.4074,-8.1048
2024-07-15,13250,13900,13250,13650,631562,1,0.1592,-7.9456
2024-07-16,14000,14250,13550,13900,989674,1,-0.0276,-7.9732
2024-07-17,13850,13900,12950,13000,1240002,1,-0.4753,-8.4485
2024-07-18,13100,13500,12800,13500,958899,1,-0.452,-8.9005
2024-07-19,13300,13500,12950,13200,634339,1,-0.1917,-9.0922
2024-07-22,13300,13300,12600,12600,807346,1,-0.1759,-9.2681
2024-07-23,12600,12800,11800,11800,884879,1,-0.3311,-9.5992
2024-07-24,11550,12350,11550,12300,561903,1,-0.0496,-9.6488
2024-07-25,12000,12300,12000,12300,297186,1,0.0795,-9.5693
2024-07-26,12300,12500,12150,12450,378700,1,0.1472,-9.4221
2024-07-29,12600,12800,12550,12750,491800,1,0.0863,-9.3358
2024-07-30,13000,13050,12700,12800,629800,1,-0.143,-9.4788
2024-07-31,12750,12950,12600,12750,542300,1,-0.1559,-9.6347
2024-08-01,12600,12750,11900,11900,1461800,1,-0.6054,-10.2401
2024-08-02,11850,12000,11200,12000,821400,1,-0.2153,-10.4554
2024-08-05,11800,11900,11200,11200,995300,1,-0.4933,-10.9487
2024-08-06,11250,11650,11200,11500,552800,1,0.1285,-10.8202
2024-08-07,11650,11650,11300,11600,212600,1,0.055,-10.7652
