t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-04,22900,23000,22600,22800,5719469,1,-1.9175,-1.9175
2024-07-05,22800,22850,22600,22800,6236345,1,-0.863,-2.7805
2024-07-08,22800,22950,22600,22700,7049893,1,-2.7298,-5.5103
2024-07-09,22800,23150,22650,23150,13438223,1,2.8684,-2.6419
2024-07-10,23150,23600,23150,23300,19203550,1,3.3615,0.7196
2024-07-11,23450,23500,23100,23100,7704598,1,-2.0727,-1.3531
2024-07-12,22950,23200,22900,23000,7374903,1,-1.3862,-2.7393
2024-07-15,23050,23200,22950,23050,4415665,1,-0.8743,-3.6136
2024-07-16,23100,23950,23050,23550,24783499,1,3.6202,0.0066
2024-07-17,23800,25150,23550,24500,72405922,1,22.7037,22.7103
2024-07-18,24600,25000,24100,24900,30097105,1,-0.0222,22.6881
2024-07-19,24900,25650,24800,25400,45611683,1,-1.0055,21.6826
2024-07-22,25300,25750,24650,25200,33834188,1,-1.5288,20.1538
2024-07-23,25350,25350,23800,23900,47919083,1,-15.7534,4.4004
2024-07-24,23800,24250,23650,23950,25855244,1,-0.1308,4.2696
2024-07-25,23850,24100,23500,23950,20398415,1,-3.2644,1.0052
2024-07-26,23900,24350,23850,24300,12160400,1,2.5132,3.5184
2024-07-29,24450,24450,24100,24100,9503000,1,-3.0836,0.4348
2024-07-30,24100,24500,23850,24500,19571700,1,-1.4485,-1.0137
2024-07-31,24500,24900,24200,24400,20396300,1,-2.8399,-3.8536
2024-08-01,24400,24550,23250,23400,32341200,1,-9.9232,-13.7768
2024-08-02,23000,23800,23000,23800,23767000,1,-2.0736,-15.8504
2024-08-05,23050,23550,22800,22950,31221800,1,-11.9671,-27.8175
2024-08-06,23200,23500,23000,23400,16963800,1,0.4294,-27.3881
2024-08-07,23400,23500,23200,23350,10207600,1,-1.3337,-28.7218
2024-08-08,23300,23500,23000,23050,10204400,1,-3.3992,-32.121
2024-08-09,23200,23500,23200,23450,8470400,1,0.1588,-31.9622
2024-08-12,23500,23700,23350,23700,10231700,1,0.7135,-31.2487
