t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,27360,28360,27360,28280,3733053,1,0.1014,0.1014
2024-07-09,28450,28780,28030,28360,3499514,1,0.5055,0.6069
2024-07-10,28360,28530,28030,28030,2773637,1,-1.2902,-0.6833
2024-07-11,28030,29280,28030,29110,6175248,1,1.6723,0.989
2024-07-12,29110,29610,29030,29280,4308483,1,-0.5881,0.4009
2024-07-15,29360,29950,29110,29360,2849407,1,-0.4575,-0.0566
2024-07-16,29360,29780,28610,28780,3607324,1,-0.5382,-0.5948
2024-07-17,28860,29780,27780,28610,7243994,1,0.2328,-0.362
2024-07-18,28610,29200,28610,29200,2802516,1,0.1294,-0.2326
2024-07-19,29450,29860,29110,29530,5038827,1,-0.77,-1.0026
2024-07-22,29530,29610,27280,27530,7082134,1,-1.8047,-2.8073
2024-07-23,27530,28030,25860,26030,6149569,1,-1.5701,-4.3774
2024-07-24,26460,27070,25160,26550,4550010,1,-0.1675,-4.5449
2024-07-25,26550,26550,25940,26460,1886247,1,-0.3157,-4.8606
2024-07-26,26460,26900,26200,26900,1868981,1,0.0847,-4.7759
2024-07-29,26900,27330,26810,26980,2245307,1,-0.0363,-4.8122
2024-07-30,26980,27070,26030,26380,3049763,1,-0.557,-5.3692
2024-07-31,26460,26810,26110,26380,2891069,1,-0.312,-5.6812
2024-08-01,26460,26640,24030,24210,7243217,1,-1.5001,-7.1813
2024-08-02,21860,25940,21860,25680,3976824,1,0.552,-6.6293
2024-08-05,25680,25680,23690,24380,3988096,1,-0.5077,-7.137
2024-08-06,24380,25850,24380,25510,3851464,1,0.299,-6.838
2024-08-07,25510,25680,24900,25250,1767266,1,-0.5536,-7.3916
2024-08-08,25330,25510,24120,24470,2984385,1,-0.6007,-7.9923
2024-08-09,24900,25770,24640,25510,4566874,1,0.4284,-7.5639
2024-08-12,25590,25680,25160,25680,4306783,1,-0.8157,-8.3796
