t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,22900,24050,22600,23600,2052289,1,0.7975,0.7975
2024-07-10,23750,23750,21950,22750,1073610,1,-0.495,0.3025
2024-07-11,22750,23050,21900,22100,1041759,1,-0.3578,-0.0553
2024-07-12,22100,22600,22000,22200,481329,1,-0.1312,-0.1865
2024-07-15,22300,23300,22300,22650,801157,1,0.1026,-0.0839
2024-07-16,22650,22950,22500,22500,390783,1,-0.0292,-0.1131
2024-07-17,22550,22550,20950,20950,1495617,1,-0.5102,-0.6233
2024-07-18,21050,21500,20500,21500,545236,1,-0.1975,-0.8208
2024-07-19,21500,21800,20850,20950,522024,1,-0.2127,-1.0335
2024-07-22,20750,20950,19500,19500,1241142,1,-0.444,-1.4775
2024-07-23,19800,19900,18650,18650,546909,1,-0.0948,-1.5723
2024-07-24,18400,19950,18400,19950,860243,1,0.0269,-1.5454
2024-07-25,19650,19900,19150,19750,363182,1,-0.0288,-1.5742
2024-07-26,19550,19750,19400,19700,342700,1,-0.0885,-1.6627
2024-07-29,19700,20300,19600,20100,431700,1,-0.0731,-1.7358
2024-07-30,20000,20300,19350,19800,372300,1,-0.1479,-1.8837
2024-07-31,19800,19800,19400,19450,384900,1,-0.0879,-1.9716
2024-08-01,19350,19500,18300,18300,603400,1,-0.1564,-2.128
2024-08-02,18300,18400,17800,18350,347500,1,-0.0871,-2.2151
2024-08-05,18350,18350,17250,17250,609700,1,-0.3296,-2.5447
2024-08-06,17400,18100,17250,18050,374400,1,-0.0232,-2.5679
2024-08-07,18050,18100,17600,17900,202600,1,-0.0339,-2.6018
2024-08-08,17900,18050,17500,17750,144400,1,-0.0295,-2.6313
2024-08-09,17850,18450,17750,18300,398300,1,0.0177,-2.6136
2024-08-12,18250,18400,18100,18400,209700,1,-0.08,-2.6936
