t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,14200,15050,14200,15050,35358218,1,4.713,4.713
2024-02-16,15250,15350,15000,15200,10825247,1,-0.0737,4.6393
2024-02-19,15250,15900,15150,15600,23250452,1,2.1691,6.8084
2024-02-20,15600,15650,15300,15600,10472901,1,0.0273,6.8357
2024-02-21,15550,16149,15400,15850,22899485,1,5.1655,12.0012
2024-02-22,15850,15850,15450,15700,14008711,1,-1.6178,10.3834
2024-02-23,15700,16100,15300,15400,24980522,1,-0.0869,10.2965
2024-02-26,15300,15550,15300,15550,10720398,1,-0.5845,9.712
2024-02-27,15600,15650,15400,15500,10238523,1,-2.3528,7.3592
2024-02-28,15600,15800,15300,15800,17551612,1,0.1966,7.5558
2024-02-29,16050,16450,15850,15900,19151240,1,0.6564,8.2122
2024-03-01,15900,16000,15600,15750,10554454,1,-0.9322,7.28
2024-03-04,15750,15750,15450,15550,12987729,1,-2.9436,4.3364
2024-03-05,15550,15700,15500,15700,7320875,1,-0.0056,4.3308
2024-03-06,15700,15900,15400,15500,8758504,1,-2.0215,2.3093
2024-03-07,15550,15600,15300,15350,10282051,1,-3.9186,-1.6093
2024-03-08,15350,15450,14850,14850,22200353,1,-10.8958,-12.5051
2024-03-11,14850,14900,14600,14700,9215295,1,-2.1754,-14.6805
2024-03-12,14700,14800,14600,14700,8455633,1,-1.3682,-16.0487
2024-03-13,14750,15000,14650,14950,6679393,1,0.3125,-15.7362
2024-03-14,15050,15050,14700,14700,8054872,1,-2.5,-18.2362
2024-03-15,14700,14800,14450,14700,10184767,1,-1.4775,-19.7137
2024-03-18,14750,14850,13850,14200,17250402,1,-6.1751,-25.8888
2024-03-19,14250,14350,14050,14350,6363283,1,-2.2449,-28.1337
2024-03-20,14350,14800,14300,14800,10668030,1,0.9401,-27.1936
2024-03-21,14900,14950,14650,14900,8619988,1,0.0029,-27.1907
2024-03-22,15000,15400,14900,15050,14607241,1,1.1808,-26.0099
2024-03-25,15000,15050,14700,14750,9033023,1,-3.6207,-29.6306
2024-03-26,14650,14850,14650,14800,5485759,1,-0.8752,-30.5058
2024-03-27,14900,14900,14750,14750,5058607,1,-1.6538,-32.1596
2024-03-28,14850,15050,14750,14900,5539561,1,-0.7283,-32.8879
2024-03-29,14800,14800,14550,14550,8243143,1,-2.8757,-35.7636
2024-04-01,14550,14600,14350,14400,6230182,1,-2.1621,-37.9257
2024-04-02,14350,14650,14200,14600,6665260,1,-1.0647,-38.9904
2024-04-03,14650,14950,14550,14550,12354513,1,-0.5429,-39.5333
