t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,65000,65700,64900,64900,2031033,1,-0.8461,-0.8461
2024-02-16,65099,66400,65099,66200,2715348,1,0.2033,-0.6428
2024-02-19,66500,69400,66500,68900,7836163,1,2.6508,2.008
2024-02-20,69700,69700,68200,68800,3378102,1,-0.3933,1.6147
2024-02-21,68800,68900,67700,68000,3338632,1,-1.0383,0.5764
2024-02-22,68100,69300,67800,68100,4151646,1,-0.3541,0.2223
2024-02-23,68300,68900,66600,66700,4795406,1,-0.8994,-0.6771
2024-02-26,66700,67400,66100,66700,2923408,1,-0.0055,-0.6826
2024-02-27,66700,68200,66700,67600,3039105,1,0.0684,-0.6142
2024-02-28,68000,68400,67700,68300,3482566,1,-0.1893,-0.8035
2024-02-29,69400,71500,69100,70400,8301828,1,2.0571,1.2536
2024-03-01,70400,71200,70000,70500,3760207,1,-0.0605,1.1931
2024-03-04,70700,71100,69900,70800,5318001,1,-1.1621,0.031
2024-03-05,71200,75700,70900,75700,13005855,1,5.4294,5.4604
2024-03-06,76800,77800,75700,76900,6848742,1,0.3467,5.8071
2024-03-07,77000,80800,76400,80800,8726149,1,1.9585,7.7656
2024-03-08,81000,81000,78000,78500,7458784,1,-0.471,7.2946
2024-03-11,78500,81100,76600,77500,7107799,1,-0.4359,6.8587
2024-03-12,77500,79400,77200,78700,5978311,1,0.3369,7.1956
2024-03-13,79000,81000,78900,80900,7039670,1,1.2882,8.4838
2024-03-14,81500,81600,78700,78900,6419793,1,-1.7526,6.7312
2024-03-15,78300,79200,76800,78500,6911725,1,-1.3859,5.3453
2024-03-18,77800,78900,73900,77900,7520756,1,-1.9261,3.4192
2024-03-19,77900,79400,77200,77400,3131085,1,0.0987,3.5179
2024-03-20,77400,77800,76500,77300,4239846,1,-0.5981,2.9198
2024-03-21,78500,78800,77600,78000,4985248,1,-0.029,2.8908
2024-03-22,79300,80900,78300,78500,6022106,1,-0.158,2.7328
2024-03-25,78000,78500,75400,75500,8728488,1,-4.1977,-1.4649
2024-03-26,75900,76200,74000,74000,6371960,1,-0.8171,-2.282
2024-03-27,75000,76100,74100,75400,6075670,1,0.181,-2.101
2024-03-28,76900,77700,75700,76000,6239789,1,-0.1087,-2.2097
2024-03-29,76500,76500,74200,74200,8326573,1,-2.7645,-4.9742
2024-04-01,74400,74900,72600,73400,7705143,1,-1.6368,-6.611
2024-04-02,73400,75000,73300,74500,3740054,1,0.2652,-6.3458
2024-04-03,74500,75400,73200,73400,4989510,1,-1.6194,-7.9652
2024-04-04,73100,74500,73000,73400,3740968,1,0.0318,-7.9334
2024-04-05,72800,73200,71900,71900,5611365,1,-0.5944,-8.5278
2024-04-08,72100,72800,71700,71900,2805911,1,-0.0473,-8.5751
2024-04-09,72400,73500,72200,73500,4125038,1,0.2627,-8.3124
2024-04-10,73500,73900,72500,72500,3032545,1,-1.376,-9.6884
2024-04-11,71900,72200,71500,71800,3578818,1,-1.0004,-10.6888
2024-04-12,71800,72600,71700,71900,3574105,1,-0.1338,-10.8226
2024-04-15,71900,71900,66900,66900,10952904,1,-4.5125,-15.3351
2024-04-16,66900,67400,64599,66100,8055376,1,-1.8236,-17.1587
2024-04-17,66400,68900,65500,66800,7220123,1,0.9555,-16.2032
2024-04-19,66000,67900,65900,66500,4770273,1,0.3681,-15.8351
2024-04-22,67300,67500,66700,66900,2933819,1,0.1011,-15.734
2024-04-23,67700,67700,64500,64700,5050108,1,-1.1358,-16.8698
2024-04-25,67200,68500,66200,68100,6077618,1,0.1771,-16.6927
2024-04-26,67500,68300,67100,67200,3594523,1,0.097,-16.5957
2024-05-02,67800,68000,67100,68000,2281123,1,-0.0701,-16.6658
2024-05-03,68600,70900,68100,69800,7052700,1,1.6472,-15.0186
2024-05-06,70700,71300,70100,71100,5108379,1,0.6968,-14.3218
2024-05-07,71400,71500,70500,71200,3246739,1,-0.1983,-14.5201
2024-05-08,70900,73200,70200,72300,6126435,1,0.6075,-13.9126
2024-05-09,72100,73800,70600,71400,7169523,1,-1.3788,-15.2914
2024-05-10,71400,71900,70600,70800,3716654,1,-1.2174,-16.5088
2024-05-13,70900,71700,70300,70800,2573753,1,-0.6934,-17.2022
2024-05-14,71000,71400,70100,70600,3694014,1,-1.2496,-18.4518
2024-05-15,72000,73300,71900,72200,6891202,1,0.4128,-18.039
2024-05-16,72900,73000,72000,72400,4047789,1,0.0429,-17.9961
2024-05-17,72600,76000,72400,75500,12306604,1,3.3786,-14.6175
