t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,15000,15000,14700,15000,258093,1,-0.0367,-0.0367
2024-07-10,15100,15200,14800,15100,387191,1,-0.0694,-0.1061
2024-07-11,15000,15100,14800,14900,257721,1,-0.0378,-0.1439
2024-07-12,14900,14900,14600,14800,328307,1,0.0346,-0.1093
2024-07-15,14800,14800,14500,14600,178846,1,-0.1113,-0.2206
2024-07-16,14600,14800,14400,14600,402052,1,-0.0701,-0.2907
2024-07-17,14600,14600,13700,14200,720178,1,-0.3675,-0.6582
2024-07-18,14200,14200,13700,13900,443060,1,-0.1538,-0.812
2024-07-19,13900,14100,13700,13700,278671,1,-0.1114,-0.9234
2024-07-22,13900,14100,13300,13600,440304,1,-0.1564,-1.0798
2024-07-23,13500,13800,13100,13100,294383,1,-0.1044,-1.1842
2024-07-24,13100,13400,12700,13300,421902,1,-0.1865,-1.3707
2024-07-25,13200,13800,13100,13600,387296,1,0.0694,-1.3013
2024-07-26,13700,13800,13600,13800,190900,1,0.0371,-1.2642
2024-07-29,13600,13900,13600,13800,165400,1,-0.0086,-1.2728
2024-07-30,13800,13900,13500,13700,268500,1,-0.148,-1.4208
2024-07-31,13700,13800,13500,13600,144000,1,-0.0458,-1.4666
2024-08-01,13700,13700,12800,12800,436200,1,-0.0343,-1.5009
2024-08-02,12800,13000,12500,12900,258300,1,-0.0295,-1.5304
2024-08-05,12800,12800,11900,12000,550300,1,-0.2572,-1.7876
2024-08-06,11900,12300,11900,12200,490500,1,-0.0396,-1.8272
2024-08-07,12300,12500,12100,12200,269800,1,0.0649,-1.7623
2024-08-08,12200,12400,12000,12200,151800,1,-0.0222,-1.7845
2024-08-09,12200,12400,12100,12300,166800,1,-0.0092,-1.7937
2024-08-12,12200,12400,12100,12400,156200,1,0.0324,-1.7613
