t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,46580,46630,45490,45490,9344418,1,-1.6891,-1.6891
2024-02-16,46030,46230,45440,45930,5004113,1,-0.0825,-1.7716
2024-02-19,46130,46830,45790,46430,7508409,1,0.1201,-1.6515
2024-02-20,46580,46580,45640,46430,7874063,1,-1.512,-3.1635
2024-02-21,46330,46330,45640,45740,6482170,1,-1.9611,-5.1246
2024-02-22,45930,45930,44840,44940,11207252,1,-3.0253,-8.1499
2024-02-23,44940,45190,43600,43650,17645284,1,-8.2736,-16.4235
2024-02-26,43650,44150,42710,44000,13536146,1,-1.5129,-17.9364
2024-02-27,44350,44840,44050,44400,9639563,1,-0.4276,-18.364
2024-02-28,44640,45490,44400,44940,13794972,1,-0.419,-18.783
2024-02-29,46030,46630,45640,45840,13896914,1,0.5539,-18.2291
2024-03-01,46180,46930,45740,46230,15367910,1,1.131,-17.0981
2024-03-04,46230,47570,46230,47030,16601088,1,1.6646,-15.4335
2024-03-05,47220,49600,47120,49600,22389795,1,5.8753,-9.5582
2024-03-06,49600,49900,47920,48320,15090680,1,-3.6422,-13.2004
2024-03-07,48320,48860,47720,48610,9444782,1,-0.6367,-13.8371
2024-03-08,48860,48860,46630,47370,20605075,1,-5.3609,-19.198
2024-03-11,47120,47920,45880,46030,13810505,1,-3.6622,-22.8602
2024-03-12,45790,47520,45690,46380,16655934,1,-2.0746,-24.9348
2024-03-13,46430,48320,46430,48170,8938689,1,1.9497,-22.9851
2024-03-14,48410,48610,46730,46880,13310287,1,-4.3186,-27.3037
2024-03-15,46880,47320,46180,46980,8872873,1,-1.3346,-28.6383
2024-03-18,46830,47570,45290,45540,12159957,1,-1.6759,-30.3142
2024-03-19,45640,46030,44990,45140,8067807,1,-4.2246,-34.5388
2024-03-20,45240,48270,45240,47620,20647586,1,7.2415,-27.2973
2024-03-21,48120,48560,47620,48120,9100016,1,0.5261,-26.7712
2024-03-22,48320,49010,47620,48710,12088266,1,1.1196,-25.6516
2024-03-25,48610,49900,47920,47920,10372726,1,-1.0378,-26.6894
2024-03-26,47920,48510,47420,48270,7526287,1,0.1362,-26.5532
2024-03-27,48410,50990,48170,50300,12745979,1,5.1933,-21.3599
2024-03-28,50400,51790,50000,50600,11657703,1,2.6797,-18.6802
2024-03-29,50600,51590,50400,50700,11817070,1,2.4282,-16.252
2024-04-01,50400,52180,50300,50990,13705151,1,0.4993,-15.7527
2024-04-02,50600,51190,49560,51190,12316214,1,-0.1721,-15.9248
2024-04-03,50600,50800,49510,49800,14389427,1,-3.8679,-19.7927
2024-04-04,49600,50300,48610,50300,13053485,1,-0.7729,-20.5656
2024-04-05,49600,51090,49060,50600,8147867,1,2.0017,-18.5639
2024-04-08,50600,50600,49410,49600,6087872,1,-0.9857,-19.5496
2024-04-09,49600,52680,49410,52380,19495883,1,7.6963,-11.8533
2024-04-10,52480,52780,51290,51590,10164178,1,-1.7205,-13.5738
2024-04-11,50800,52380,50800,51890,6972154,1,0.8654,-12.7084
2024-04-12,51890,52180,51190,51590,6668264,1,-0.5799,-13.2883
2024-04-15,51290,51590,49110,49510,16511173,1,-5.2954,-18.5837
2024-04-16,49110,49600,48320,49510,11621543,1,0.0279,-18.5558
2024-04-17,50000,50000,48560,49010,6953731,1,-0.4881,-19.0439
2024-04-19,48860,48910,47670,47820,9476611,1,-0.4807,-19.5246
2024-04-22,48810,49010,47770,48220,12295137,1,-0.4538,-19.9784
2024-04-23,48710,49900,48270,49410,18045910,1,-0.7011,-20.6795
2024-04-25,51690,53370,50990,53370,19326311,1,2.5905,-18.089
2024-04-26,53080,54570,52580,54470,11871272,1,3.3088,-14.7802
2024-05-02,55560,56350,54270,55160,21962618,1,-5.212,-19.9922
2024-05-03,55260,56750,54570,55260,29623206,1,1.8855,-18.1067
2024-05-06,55660,58340,55360,57840,11265169,1,3.4061,-14.7006
2024-05-07,58340,59030,57050,58830,9467128,1,1.2537,-13.4469
2024-05-08,58140,58830,57740,58630,8131162,1,0.3455,-13.1014
2024-05-09,58530,58730,57940,58430,10479475,1,1.0468,-12.0546
2024-05-10,58340,58530,56950,58430,9755665,1,-0.46,-12.5146
2024-05-13,58430,58430,57540,57840,7244896,1,0.8454,-11.6692
2024-05-14,58040,60520,57540,59630,16227401,1,5.0696,-6.5996
2024-05-15,60120,61610,59530,60320,13076073,1,3.102,-3.4976
2024-05-16,60420,60620,59230,59430,12949145,1,-1.8387,-5.3363
2024-05-17,59330,59820,58530,59130,8968094,1,-1.3872,-6.7235
2024-05-20,59530,61110,59030,59530,9205739,1,-0.1622,-6.8857
2024-05-21,60120,60820,59530,60020,4734596,1,-0.0083,-6.894
2024-05-22,60120,61110,59130,60520,8949719,1,-1.0322,-7.9262
2024-05-23,60220,61510,59530,61510,8863412,1,0.558,-7.3682
2024-05-24,60720,61210,58430,60020,13652574,1,-2.9023,-10.2705
2024-05-27,59630,60020,58730,59530,6370667,1,-0.582,-10.8525
2024-05-28,59920,62300,59630,61010,9936155,1,0.9689,-9.8836
2024-05-29,61110,61510,60020,60020,6886334,1,-1.356,-11.2396
2024-05-30,59430,62300,58730,62300,14766103,1,-0.569,-11.8086
2024-05-31,62300,63890,61910,63100,10266854,1,1.5486,-10.26
2024-06-03,63400,63590,62700,63490,8262258,1,1.6488,-8.6112
2024-06-04,63490,63690,62600,63300,6573371,1,-1.4939,-10.1051
2024-06-05,62500,62800,61110,61510,13787924,1,-4.5101,-14.6152
2024-06-06,61510,62010,61110,61410,7075634,1,-0.4741,-15.0893
2024-06-07,61810,62300,61310,61610,4301690,1,0.4117,-14.6776
2024-06-10,61710,62800,61510,62500,4853340,1,0.5776,-14.1
2024-06-11,62800,62900,61310,61810,6442107,1,-1.4807,-15.5807
2024-06-12,62110,63400,61510,62900,5027446,1,1.3576,-14.2231
2024-06-13,63200,63890,62600,63490,7867076,1,2.1883,-12.0348
2024-06-14,63490,63690,62500,62500,8122406,1,-2.2316,-14.2664
2024-06-17,62300,62300,60520,61510,9508710,1,-2.6159,-16.8823
2024-06-18,61610,62010,60620,61710,7177615,1,-1.5406,-18.4229
2024-06-19,61410,63200,61110,62800,7690035,1,2.1328,-16.2901
2024-06-20,62700,63000,62010,63000,5640281,1,-0.3458,-16.6359
2024-06-21,62500,64190,61910,63000,7139460,1,0.2827,-16.3532
2024-06-24,63000,63000,61010,61510,11383093,1,-3.6767,-20.0299
2024-06-25,61510,62200,61110,61510,6383936,1,-1.6588,-21.6887
2024-06-26,62010,62700,60820,62110,8188670,1,-1.178,-22.8667
2024-06-27,61510,63100,61510,62900,8299953,1,2.6883,-20.1784
2024-06-28,63100,63100,61600,62400,6190923,1,-1.1937,-21.3721
2024-07-01,62600,65800,62000,65800,21794068,1,6.5282,-14.8439
2024-07-02,65800,66000,64700,66000,9250617,1,-1.0938,-15.9377
2024-07-03,65900,66400,65099,65500,7440330,1,-1.3222,-17.2599
2024-07-04,65700,66300,64900,65099,5864615,1,-2.229,-19.4889
2024-07-05,65200,65800,65000,65600,7943334,1,0.3075,-19.1814
2024-07-08,65600,67400,65600,67000,10455136,1,1.5103,-17.6711
2024-07-09,67200,67200,66300,66800,7983193,1,-2.4358,-20.1069
2024-07-10,66700,66800,65200,65200,10913791,1,-4.4856,-24.5925
2024-07-11,65400,65700,64599,64800,8305703,1,-1.3809,-25.9734
2024-07-12,64800,65400,64099,64800,8740735,1,-1.9839,-27.9573
