t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,10500,10800,10500,10700,245145,1,0.064245,0.064245
2024-02-16,10700,10900,10700,10800,242502,1,-0.098428,-0.034183
2024-02-19,10800,11000,10700,10900,381000,1,-0.1358,-0.169983
2024-02-20,10900,11500,10800,11400,939184,1,0.030376,-0.139607
2024-02-21,11400,11600,11300,11500,512018,1,0.226428,0.086821
2024-02-22,11500,11600,11300,11500,424319,1,0.100111,0.186932
2024-02-23,11500,11500,11100,11100,582811,1,-0.102771,0.084161
2024-02-26,11100,11300,11000,11200,446149,1,-0.116731,-0.03257
2024-02-27,11300,11500,11200,11500,454289,1,0.150111,0.117541
2024-02-28,11600,12000,11500,11700,790195,1,0.095857,0.213398
2024-02-29,11700,11800,11500,11600,529427,1,0.022093,0.235491
2024-03-01,11700,11800,11600,11700,287671,1,-0.062031,0.17346
2024-03-04,11800,12000,11700,11900,389696,1,0.030576,0.204036
2024-03-05,12000,12000,11700,11700,294113,1,0.016615,0.220651
2024-03-06,11700,11800,11500,11600,517971,1,-0.184681,0.03597
2024-03-07,11600,11900,11500,11800,487076,1,0.152206,0.188176
2024-03-08,11900,12000,11600,11700,494118,1,0.114382,0.302558
2024-03-11,11700,11900,11400,11500,432275,1,-0.115941,0.186617
2024-03-12,11600,11600,11400,11500,333291,1,0.025891,0.212508
2024-03-13,11500,11900,11500,11900,656028,1,0.121338,0.333846
2024-03-14,11900,12200,11900,12200,1048671,1,0.283671,0.617517
2024-03-15,12200,12400,12100,12100,447728,1,-0.037994,0.579523
2024-03-18,12100,12300,11400,11600,967747,1,-0.181461,0.398062
2024-03-19,11700,11700,11500,11700,236558,1,-0.094558,0.303504
2024-03-20,11900,11900,11600,11800,187262,1,-0.007006,0.296498
2024-03-21,11900,12100,11700,12000,463878,1,0.076548,0.373046
2024-03-22,12000,12100,11800,11900,341213,1,-0.050789,0.322257
2024-03-25,11900,12000,11500,11600,364160,1,-0.08516,0.237097
2024-03-26,11600,11800,11600,11800,260505,1,-0.029179,0.207918
2024-03-27,11800,11900,11700,11800,186487,1,-0.010027,0.197891
2024-03-28,11900,11900,11800,11800,149105,1,-0.061201,0.13669
2024-03-29,11800,12000,11700,11900,292895,1,0.100245,0.236935
2024-04-01,11900,12700,11800,12700,918753,1,0.413119,0.650054
2024-04-02,12500,12500,12100,12300,1099622,1,0.103678,0.753732
2024-04-03,12100,12200,11900,11900,656811,1,-0.175299,0.578433
2024-04-04,12000,12000,11500,11700,736310,1,-0.341934,0.236499
2024-04-05,11600,11700,11400,11600,385715,1,-0.041315,0.195184
2024-04-08,11600,11700,11100,11100,327744,1,0.053224,0.248408
2024-04-09,11100,11400,11100,11300,267470,1,-0.02845,0.219958
2024-04-10,11400,11400,11000,11000,249006,1,0.045396,0.265354
2024-04-11,11100,11200,10800,11200,263053,1,-0.008453,0.256901
2024-04-12,11200,11400,11200,11300,202622,1,0.066978,0.323879
2024-04-15,11300,11300,10200,10200,418007,1,-0.016703,0.307176
2024-04-16,10000,10400,9800,10100,393102,1,-0.040534,0.266642
2024-04-17,10200,10400,10100,10100,123461,1,-0.031221,0.235421
2024-04-19,10200,10200,9800,10000,221441,1,-0.017153,0.218268
2024-04-22,10100,10200,9800,10100,138172,1,0.035066,0.253334
2024-04-23,10000,10100,9100,9600,106477,1,-0.056467,0.196867
2024-04-25,10200,10200,10000,10100,46948,1,0.014472,0.211339
2024-04-26,9900,10100,9900,10100,57510,1,0.032692,0.244031
2024-05-02,10100,10200,9900,10100,84707,1,0.006207,0.250238
2024-05-03,10100,10200,10000,10100,91311,1,-0.053011,0.197227
2024-05-06,10100,10200,9900,10200,268342,1,0.00388,0.201107
2024-05-07,10300,10300,10100,10100,80650,1,-0.03808,0.163027
2024-05-08,10200,10200,10000,10200,180362,1,-0.063244,0.099783
2024-05-09,9600,10300,9600,10200,102951,1,-0.036251,0.063532
2024-05-10,10200,10200,9900,10100,216801,1,0.021199,0.084731
2024-05-13,10100,10100,10000,10000,86577,1,0.003157,0.087888
2024-05-14,10000,10200,10000,10200,136050,1,-0.00895,0.078938
2024-05-15,10200,10300,10100,10200,189167,1,-0.014499,0.064439
2024-05-16,10300,10400,10200,10400,167030,1,-0.01957,0.044869
2024-05-17,10400,10900,10300,10900,474279,1,0.122919,0.167788
2024-05-20,10800,11100,10700,10700,176063,1,-0.026337,0.141451
2024-05-21,10800,10800,10400,10700,314166,1,-0.110416,0.031035
2024-05-22,10500,10900,10500,10700,344020,1,0.12742,0.158455
2024-05-23,10800,10900,10600,10700,255987,1,-0.037773,0.120682
2024-05-24,10700,10700,10200,10400,427700,1,-0.0623,0.058382
2024-05-27,10400,10600,10300,10500,161200,1,0.0068,0.065182
2024-05-28,10600,10700,10500,10700,245420,1,0.01858,0.083762
