t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,17500,17500,17000,17100,179392,1,0.0111,0.0111
2024-02-16,16800,17400,16800,17150,135621,1,0.0262,0.0373
2024-02-19,17150,17300,17000,17100,158849,1,-0.0423,-0.005
2024-02-20,17150,18050,17150,17750,500163,1,0.0205,0.0155
2024-02-21,17850,17850,16900,17450,148997,1,-0.0558,-0.0403
2024-02-22,17450,17700,17100,17500,563903,1,-0.3033,-0.3436
2024-02-23,17650,17650,17000,17000,381305,1,-0.2253,-0.5689
2024-02-26,17000,17150,16850,17000,150893,1,0.0063,-0.5626
2024-02-27,17250,17300,16950,17300,194367,1,0.0299,-0.5327
2024-02-28,17500,17500,17000,17200,270611,1,-0.0885,-0.6212
2024-02-29,17350,17400,16850,17100,379950,1,-0.0383,-0.6595
2024-03-01,17350,17350,17000,17200,203827,1,0.0082,-0.6513
2024-03-04,17600,17700,17450,17600,577547,1,0.1315,-0.5198
2024-03-05,17550,17800,17500,17700,387390,1,-0.0401,-0.5599
2024-03-06,17600,18300,17600,18050,748489,1,0.1254,-0.4345
2024-03-07,18150,18200,17850,17900,428549,1,-0.0138,-0.4483
2024-03-08,18000,18700,17850,18150,830053,1,0.1161,-0.3322
2024-03-11,18300,18700,17800,18000,511381,1,-0.1881,-0.5203
2024-03-12,18200,18350,17400,17800,485603,1,-0.0498,-0.5701
2024-03-13,17800,18900,17750,18900,887424,1,0.2927,-0.2774
2024-03-14,19250,19800,19150,19550,928710,1,0.1346,-0.1428
2024-03-15,19800,20900,19600,20500,1564141,1,0.3986,0.2558
2024-03-18,21400,21400,19100,20500,1035370,1,-0.057,0.1988
2024-03-19,20800,20800,19600,19600,508996,1,-0.1925,0.0063
2024-03-20,19800,20450,19400,20200,701369,1,0.1145,0.1208
2024-03-21,20700,20950,20200,20900,847162,1,0.1111,0.2319
2024-03-22,21300,21300,20500,20650,649452,1,-0.119,0.1129
2024-03-25,20950,21000,20150,20250,589127,1,-0.0464,0.0665
2024-03-26,20000,21650,20000,21650,806076,1,0.1688,0.2353
2024-03-27,22900,22900,22000,22300,602195,1,-0.0385,0.1968
2024-03-28,22550,22700,22000,22500,415552,1,-0.0422,0.1546
2024-03-29,22500,22600,21700,22000,604646,1,-0.0578,0.0968
2024-04-01,22000,23000,22000,22750,778347,1,0.1165,0.2133
2024-04-02,22800,22800,21800,22600,713322,1,-0.0655,0.1478
2024-04-03,22600,22700,22000,22100,507546,1,-0.1766,-0.0288
2024-04-04,22000,22550,21200,22000,826066,1,-0.0564,-0.0852
2024-04-05,21300,22500,21200,21700,902607,1,0.0983,0.0131
2024-04-08,21550,23200,21500,23100,1474822,1,0.4117,0.4248
2024-04-09,23150,23200,22400,22750,401538,1,-0.0187,0.4061
2024-04-10,23000,24000,22700,23000,1039001,1,0.2154,0.6215
2024-04-11,22500,23350,22300,23000,536248,1,0.0127,0.6342
2024-04-12,23450,23500,22900,23100,439403,1,-0.1214,0.5128
2024-04-15,22700,23100,21500,21500,1118390,1,-0.47,0.0428
2024-04-16,20850,21200,20000,20200,1337029,1,-0.4741,-0.4313
2024-04-17,20350,20950,19800,19800,823047,1,-0.2496,-0.6809
2024-04-19,19800,19800,18450,18500,976342,1,-0.2655,-0.9464
2024-04-22,19600,19600,18450,19100,518209,1,0.0383,-0.9081
2024-04-23,19000,19050,18000,18500,402715,1,-0.1558,-1.0639
