t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,24700,25100,24500,24750,8191622,1,0.0873,0.0873
2024-02-16,24750,24900,24550,24600,5651064,1,-1.4628,-1.3755
2024-02-19,24700,25000,24150,24450,11087788,1,-1.7674,-3.1429
2024-02-20,24550,24550,24250,24300,6171216,1,-2.3835,-5.5264
2024-02-21,24450,24450,24000,24050,8482957,1,-1.7159,-7.2423
2024-02-22,24050,24200,23800,23800,7751525,1,-2.3461,-9.5884
2024-02-23,23850,24100,23350,23350,10103830,1,-2.6065,-12.1949
2024-02-26,23350,23850,23250,23700,7557606,1,-0.3263,-12.5212
2024-02-27,23850,24550,23800,24100,11221564,1,2.5158,-10.0054
2024-02-28,24100,24300,23900,24150,6537275,1,-0.3685,-10.3739
2024-02-29,24250,24250,23800,23950,8668906,1,-2.8246,-13.1985
2024-03-01,24000,24200,23800,24150,5940036,1,0.2748,-12.9237
2024-03-04,24400,24950,24300,24450,16305689,1,3.4409,-9.4828
2024-03-05,24500,24900,24300,24650,11435523,1,0.654,-8.8288
2024-03-06,24650,24750,24200,24600,8106858,1,-1.5187,-10.3475
2024-03-07,24600,24750,24300,24550,7819988,1,-1.152,-11.4995
2024-03-08,24700,24700,23950,23950,13919952,1,-5.9347,-17.4342
2024-03-11,23950,23950,23450,23600,6991645,1,-3.1076,-20.5418
2024-03-12,23600,23750,23500,23500,6015813,1,-1.8002,-22.342
2024-03-13,23500,24400,23450,24200,10828913,1,0.368,-21.974
2024-03-14,24300,24350,23900,24050,6976092,1,-1.6457,-23.6197
2024-03-15,24000,24700,23750,24450,10666917,1,0.5138,-23.1059
2024-03-18,24650,24700,22900,23700,10743712,1,-2.7909,-25.8968
2024-03-19,23950,25350,23650,25200,29224858,1,2.3267,-23.5701
2024-03-20,25200,25200,24800,25150,7796806,1,-0.1117,-23.6818
2024-03-21,25350,26150,25100,25350,16721173,1,1.0699,-22.6119
2024-03-22,25600,25900,24850,25500,17507970,1,-2.8854,-25.4973
2024-03-25,25600,26300,25100,25300,11826392,1,-2.4676,-27.9649
2024-03-26,25300,26000,25000,26000,7788601,1,-0.1439,-28.1088
2024-03-27,26450,26750,25900,26000,11729135,1,-1.1689,-29.2777
2024-03-28,26100,26200,25750,26100,6877964,1,-1.8137,-31.0914
2024-03-29,26050,26100,25600,25650,6195973,1,-2.1511,-33.2425
2024-04-01,25550,25750,25300,25750,7179492,1,-1.8174,-35.0599
2024-04-02,25500,26200,25200,26150,10511377,1,0.2224,-34.8375
2024-04-03,26250,26250,25500,25500,8562525,1,-3.5553,-38.3928
2024-04-04,25350,25600,25150,25150,6781913,1,-2.02,-40.4128
2024-04-05,24800,25150,24450,24450,10303410,1,-1.8909,-42.3037
2024-04-08,24500,25000,24350,24600,4891421,1,-0.063,-42.3667
2024-04-09,24600,25100,24600,25100,3881869,1,-0.1368,-42.5035
2024-04-10,25200,25200,24800,24800,3048395,1,-0.7552,-43.2587
2024-04-11,24400,25950,24400,25750,9936531,1,2.6062,-40.6525
2024-04-12,25900,25950,25600,25850,6563591,1,0.1145,-40.538
