t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,39350,39450,38810,38910,2564842,1,-0.7446,-0.7446
2024-02-16,38910,39750,38860,38860,3022240,1,-0.5056,-1.2502
2024-02-19,39050,39050,38260,38310,4675852,1,-1.5656,-2.8158
2024-02-20,38460,38860,38310,38510,1907908,1,0.1606,-2.6552
2024-02-21,38360,39250,38260,38560,2313764,1,-0.3472,-3.0024
2024-02-22,38460,38810,38460,38560,1394200,1,-0.4614,-3.4638
2024-02-23,38660,38660,37080,37270,4644245,1,-1.9588,-5.4226
2024-02-26,37220,37320,36680,36980,2492285,1,-0.4132,-5.8358
2024-02-27,37080,38260,37080,38060,2350941,1,0.2411,-5.5947
2024-02-28,38260,38310,37570,37770,1743399,1,-0.7096,-6.3043
2024-02-29,38060,39250,37720,39150,8046380,1,2.1627,-4.1416
2024-03-01,39350,39500,38860,39450,3457391,1,-0.0569,-4.1985
2024-03-04,40340,42170,40290,42170,13282134,1,3.8493,-0.3492
2024-03-05,42270,42960,41820,41970,5506700,1,-1.0682,-1.4174
2024-03-06,41920,43400,41230,42510,5956642,1,-0.0282,-1.4456
2024-03-07,42170,42960,41920,42420,5087652,1,-0.6988,-2.1444
2024-03-08,42810,42810,41330,41430,6651107,1,-1.7723,-3.9167
2024-03-11,41430,42610,40930,41430,4202094,1,-0.4729,-4.3896
2024-03-12,41430,42370,41130,42020,5983673,1,0.3847,-4.0049
2024-03-13,42420,44240,42120,44000,6059792,1,1.3708,-2.6341
2024-03-14,44100,44150,43010,44100,4186307,1,-0.716,-3.3501
2024-03-15,44000,44390,41080,43350,5215003,1,-0.4038,-3.7539
2024-03-18,43900,44640,40340,42320,9003327,1,-2.2609,-6.0148
2024-03-19,42420,42710,41530,41530,3575172,1,-1.0138,-7.0286
2024-03-20,41920,42320,41180,42320,3241269,1,0.0395,-6.9891
2024-03-21,42810,43500,42120,42810,3429999,1,0.0178,-6.9713
2024-03-22,42910,43450,42420,42960,4163175,1,-0.9773,-7.9486
2024-03-25,42960,43950,42760,43160,4384012,1,-0.8147,-8.7633
2024-03-26,43010,44240,42510,43800,3713527,1,-0.0005,-8.7638
2024-03-27,44190,44190,43210,43700,2986574,1,0.087,-8.6768
2024-03-28,44190,44190,42960,43310,2823688,1,-1.2597,-9.9365
2024-03-29,43310,43450,42810,42860,2305087,1,-0.4598,-10.3963
