t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,14800,14870,14590,14660,863858,1,-0.1486,-0.1486
2024-02-16,14870,14990,14780,14940,1164087,1,-0.0575,-0.2061
2024-02-19,14990,15230,14920,15080,1768139,1,0.0105,-0.1956
2024-02-20,15180,15180,14940,14990,615368,1,-0.1715,-0.3671
2024-02-21,15040,15040,14750,14870,867017,1,-0.1836,-0.5507
2024-02-22,14850,15510,14750,15230,1524281,1,0.197,-0.3537
2024-02-23,15230,15230,14820,14850,1236326,1,-0.2437,-0.5974
2024-02-26,14890,15180,14750,15180,754950,1,-0.0325,-0.6299
2024-02-27,15230,16079,15130,16079,2595351,1,0.9175,0.2876
2024-02-28,16079,16079,15720,15840,1067275,1,-0.1159,0.1717
2024-02-29,15910,16500,15700,15940,1545790,1,0.0881,0.2598
2024-03-01,16079,16079,15750,15790,1021412,1,-0.2962,-0.0364
2024-03-04,15980,16480,15840,15980,2395174,1,-0.0273,-0.0637
2024-03-05,15980,16050,15770,15890,1348312,1,-0.2995,-0.3632
2024-03-06,15860,16030,15560,15560,1200062,1,-0.4817,-0.8449
2024-03-07,15560,15860,15510,15840,880823,1,0.0947,-0.7502
2024-03-08,15960,15960,15600,15840,956370,1,-0.1302,-0.8804
2024-03-11,15820,15980,15560,15750,895754,1,-0.1508,-1.0312
2024-03-12,15650,16219,15560,16079,1370843,1,0.3499,-0.6813
2024-03-13,16270,16930,16270,16620,1419694,1,0.2102,-0.4711
2024-03-14,16640,16980,16460,16830,790912,1,-0.001,-0.4721
2024-03-15,16830,17730,16830,17280,1366953,1,0.2374,-0.2347
2024-03-18,17260,17730,16079,16950,1966193,1,-0.2382,-0.4729
2024-03-19,17210,17610,17000,17610,1190764,1,0.2554,-0.2175
2024-03-20,17610,17710,17350,17680,906719,1,0.0118,-0.2057
2024-03-21,17970,17970,17680,17760,775283,1,0.0327,-0.173
2024-03-22,17730,17870,17500,17640,786777,1,-0.4005,-0.5735
2024-03-25,17710,17730,17210,17280,870074,1,-0.2869,-0.8604
2024-03-26,17310,17920,17310,17780,769893,1,0.4241,-0.4363
2024-03-27,17800,17970,17780,17940,591942,1,0.1342,-0.3021
2024-03-28,17970,18440,17970,18200,773634,1,0.0955,-0.2066
2024-03-29,18160,18580,18160,18580,480743,1,0.0472,-0.1594
2024-04-01,18580,19390,18250,19100,988515,1,0.1,-0.0594
2024-04-02,19600,20050,19480,19690,1159181,1,0.0249,-0.0345
2024-04-03,19690,19740,19100,19100,1246416,1,-0.3649,-0.3994
2024-04-04,19150,20290,19100,19860,1556249,1,0.4455,0.0461
2024-04-05,19860,20570,19510,20210,1503848,1,0.4132,0.4593
2024-04-08,20330,21040,20210,20850,1345680,1,0.4425,0.9018
2024-04-09,20810,20810,19690,20330,1881812,1,-0.3043,0.5975
2024-04-10,20330,20950,20120,20470,996479,1,0.2818,0.8793
2024-04-11,20290,20520,20100,20240,600490,1,-0.097,0.7823
2024-04-12,20330,20330,20070,20240,647695,1,-0.1569,0.6254
2024-04-15,20140,20240,18840,18840,1866741,1,-0.7467,-0.1213
2024-04-16,18390,19390,17970,19390,1599413,1,0.1234,0.0021
2024-04-17,19320,19390,18230,18230,876690,1,-0.1601,-0.158
2024-04-19,17870,18680,17640,17940,1095515,1,0.0967,-0.0613
2024-04-22,18420,18510,18090,18420,443370,1,-0.0833,-0.1446
2024-04-23,18490,19150,18250,18870,1285468,1,-0.0815,-0.2261
2024-04-25,19130,19290,18870,18910,675130,1,-0.1703,-0.3964
2024-04-26,18820,19620,18820,19290,694011,1,0.0397,-0.3567
2024-05-02,19270,19580,19150,19220,633174,1,-0.2023,-0.559
2024-05-03,19390,19480,19150,19270,765685,1,-0.1219,-0.6809
2024-05-06,19460,20620,19270,20620,1660932,1,0.6198,-0.0611
2024-05-07,20850,20850,20400,20730,1067315,1,-0.2659,-0.327
2024-05-08,20570,21680,20450,21420,1783836,1,0.5361,0.2091
2024-05-09,21510,21800,20950,21210,1105526,1,-0.3399,-0.1308
2024-05-10,21210,21440,20950,21160,1275403,1,0.0225,-0.1083
2024-05-13,21180,21990,21180,21750,1342521,1,0.1327,0.0244
2024-05-14,22000,22080,21250,21250,871037,1,-0.2471,-0.2227
2024-05-15,21250,21600,21100,21500,1000831,1,-0.1203,-0.343
2024-05-16,21520,21720,21280,21500,834920,1,-0.2676,-0.6106
2024-05-17,21500,21950,21420,21950,1258285,1,0.2166,-0.394
2024-05-20,21950,22550,21750,21980,1039568,1,-0.0802,-0.4742
2024-05-21,21800,22120,21500,21880,825955,1,-0.3372,-0.8114
2024-05-22,21880,22050,21480,21820,1201781,1,-0.3542,-1.1656
2024-05-23,21800,21800,21400,21780,738659,1,-0.2837,-1.4493
2024-05-24,21450,21750,20300,20500,2081269,1,-0.673,-2.1223
2024-05-27,20500,21300,20450,21300,816514,1,0.1458,-1.9765
2024-05-28,21300,21950,21300,21900,1243170,1,0.1961,-1.7804
2024-05-29,22000,22420,21780,22000,1137310,1,0.1232,-1.6572
2024-05-30,21700,22000,21280,22000,1135762,1,-0.0351,-1.6923
2024-05-31,22000,23050,21800,22880,1541426,1,0.3888,-1.3035
2024-06-03,23020,23400,22650,22650,958525,1,-0.007,-1.3105
2024-06-04,22900,22900,22600,22700,581038,1,-0.1302,-1.4407
2024-06-05,22750,23100,22600,22900,856945,1,-0.0249,-1.4656
2024-06-06,22780,22980,22100,22500,783243,1,-0.2304,-1.696
2024-06-07,22880,22880,22450,22580,759630,1,-0.2826,-1.9786
2024-06-10,22750,23750,22600,23400,1215602,1,0.3457,-1.6329
2024-06-11,23400,23500,23000,23100,520688,1,-0.0898,-1.7227
2024-06-12,23150,23300,22950,23080,442964,1,-0.08,-1.8027
2024-06-13,23120,23650,23120,23250,510768,1,-0.0057,-1.8084
2024-06-14,23250,23400,22920,22920,695178,1,-0.2373,-2.0457
2024-06-17,22980,22980,22480,22950,782856,1,-0.3085,-2.3542
2024-06-18,23250,24550,23250,24550,3086696,1,0.5303,-1.8239
2024-06-19,24600,24950,23980,24300,871140,1,-0.1985,-2.0224
2024-06-20,24450,24750,24050,24720,1020918,1,0.0093,-2.0131
2024-06-21,25050,25050,24200,24220,1299274,1,-0.4308,-2.4439
2024-06-24,24220,24220,22780,22780,2529334,1,-0.9097,-3.3536
2024-06-25,23050,23480,22700,23380,840965,1,0.1051,-3.2485
2024-06-26,23500,23650,22900,23400,632296,1,-0.0554,-3.3039
2024-06-27,23300,23520,22950,23350,404655,1,-0.1865,-3.4904
2024-06-28,23350,23600,22600,22700,831410,1,-0.2326,-3.723
2024-07-01,22750,23120,22680,23000,907494,1,-0.004,-3.727
2024-07-02,22900,23150,22850,22850,650755,1,-0.0222,-3.7492
2024-07-03,22880,22900,22450,22480,1775797,1,-0.4285,-4.1777
2024-07-04,23950,24050,23550,23850,2289759,1,0.3122,-3.8655
2024-07-05,24000,24800,23700,24550,2088265,1,0.3359,-3.5296
