t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,10800,11600,10800,11400,505430,1,0.03415,0.03415
2024-02-16,11500,11700,11300,11400,251150,1,-0.05087,-0.01672
2024-02-19,11400,11400,11100,11200,208216,1,-0.134814,-0.151534
2024-02-20,11200,11300,11000,11100,196974,1,-0.052574,-0.204108
2024-02-21,11200,11400,11100,11300,317715,1,-0.090315,-0.294423
2024-02-22,11300,11400,11200,11300,193121,1,-0.047499,-0.341922
2024-02-23,11300,11600,11200,11300,752201,1,-0.259599,-0.601521
2024-02-26,11300,11300,11000,11100,323977,1,-0.121477,-0.722998
2024-02-27,11100,11300,11000,11200,389602,1,-0.130802,-0.8538
2024-02-28,11100,11200,11000,11200,297092,1,-0.071832,-0.925632
2024-02-29,11200,11500,11100,11200,210710,1,-0.04471,-0.970342
2024-03-01,11200,11300,11100,11100,276312,1,-0.13569,-1.106032
2024-03-04,11200,11300,11100,11100,285464,1,-0.148138,-1.25417
2024-03-05,11200,11300,11000,11100,265301,1,-0.103299,-1.357469
2024-03-06,11100,11200,10900,11000,356510,1,-0.08209,-1.439559
2024-03-07,11000,11100,10900,10900,256015,1,-0.040185,-1.479744
2024-03-08,11100,11100,10700,10700,291435,1,-0.220779,-1.700523
2024-03-11,10700,10900,10600,10700,281710,1,-0.09049,-1.791013
2024-03-12,10700,10800,10600,10600,246117,1,0.066517,-1.724496
2024-03-13,10700,10800,10600,10700,137945,1,0.027285,-1.697211
2024-03-14,10800,10900,10600,10700,134700,1,-0.0307,-1.727911
2024-03-15,10700,10800,10500,10600,113900,1,-0.0471,-1.775011
2024-03-18,10600,10700,10200,10400,414600,1,-0.2473,-2.022311
2024-03-19,10400,10500,10200,10500,104384,1,-0.001984,-2.024295
2024-03-20,10300,10800,10200,10600,237502,1,-0.009698,-2.033993
2024-03-21,10700,10800,10600,10700,314050,1,0.006784,-2.027209
2024-03-22,10800,10900,10600,10800,176160,1,-0.126692,-2.153901
2024-03-25,10800,11000,10700,10800,228909,1,-0.046091,-2.199992
2024-03-26,10800,10800,10600,10800,217296,1,-0.064884,-2.264876
2024-03-27,10800,10900,10700,10700,347326,1,-0.057614,-2.32249
2024-03-28,10900,10900,10600,10800,256510,1,0.07969,-2.2428
2024-03-29,10800,10800,10600,10600,177901,1,0.097501,-2.145299
2024-04-01,10600,10700,10600,10600,339200,1,0.1018,-2.043499
2024-04-02,10600,10600,10300,10500,382801,1,-0.127001,-2.1705
2024-04-03,10500,10600,10300,10400,167402,1,-0.0396,-2.2101
2024-04-04,10400,10400,10200,10300,174200,1,-0.0488,-2.2589
2024-04-05,10200,10400,10200,10300,116167,1,-0.007167,-2.266067
2024-04-08,10300,10300,10200,10200,218412,1,0.041412,-2.224655
2024-04-09,10200,10300,10200,10300,110025,1,0.031415,-2.19324
2024-04-10,10300,10500,10200,10500,333647,1,0.081415,-2.111825
2024-04-11,10500,10500,10200,10300,82910,1,-0.01431,-2.126135
2024-04-12,10300,10300,10200,10300,132651,1,-0.011369,-2.137504
2024-04-15,10300,10300,9800,10000,514064,1,-0.26964,-2.407144
2024-04-16,10000,10000,9500,9500,382155,1,-0.172589,-2.579733
2024-04-17,9500,9900,9300,9300,183546,1,-0.050734,-2.630467
2024-04-19,9300,9300,8800,9200,130885,1,-0.037589,-2.668056
2024-04-22,9300,9400,9000,9200,88217,1,-0.033417,-2.701473
2024-04-23,9200,9200,8900,8900,79729,1,-0.070877,-2.77235
2024-04-25,9000,9100,8900,8900,66012,1,-0.000988,-2.773338
2024-04-26,9000,9000,8900,8900,51702,1,-0.018702,-2.79204
2024-05-02,9000,9100,8900,9100,73657,1,0.012549,-2.779491
2024-05-03,9200,9300,9100,9200,61020,1,-0.03739,-2.816881
2024-05-06,9200,9200,9100,9200,65202,1,-0.0076,-2.824481
2024-05-07,9100,9200,9100,9200,74603,1,-0.020597,-2.845078
2024-05-08,9100,9100,9000,9100,64758,1,0.008042,-2.837036
2024-05-09,9100,9400,9000,9200,145806,1,-0.031686,-2.868722
2024-05-10,9200,9400,9200,9400,100415,1,-0.047343,-2.916065
2024-05-13,9400,9400,9300,9300,91644,1,-0.026044,-2.942109
2024-05-14,9400,9400,9300,9300,52348,1,-0.028506,-2.970615
2024-05-15,9300,9300,9200,9200,119071,1,-0.068869,-3.039484
2024-05-16,9200,9400,9200,9300,69001,1,0.001799,-3.037685
2024-05-17,9300,9500,9300,9400,88487,1,-0.005687,-3.043372
2024-05-20,9500,9600,9400,9400,75300,1,-0.0087,-3.052072
2024-05-21,8500,9500,8500,9500,111052,1,-0.019252,-3.071324
2024-05-22,9500,10400,9500,10400,1605883,1,0.750191,-2.321133
2024-05-23,10400,10800,10400,10500,275132,1,-0.111132,-2.432265
2024-05-24,10400,10500,9500,9700,729065,1,-0.319809,-2.752074
2024-05-27,9700,9900,9600,9800,221083,1,-0.003437,-2.755511
2024-05-28,9900,9900,9600,9700,167256,1,-0.029546,-2.785057
2024-05-29,9800,10100,9800,10000,425424,1,0.129824,-2.655233
2024-05-30,10000,10000,9800,9900,141392,1,-0.056108,-2.711341
2024-05-31,9900,9900,9700,9700,116521,1,0.037321,-2.67402
2024-06-03,9800,10100,9800,9900,154855,1,-0.055625,-2.729645
2024-06-04,10000,10200,9900,10000,260144,1,-0.080704,-2.810349
2024-06-05,10000,10000,9800,9900,131102,1,-0.041982,-2.852331
2024-06-06,9900,10000,9800,9800,143447,1,-0.087555,-2.939886
2024-06-07,9900,10200,9800,10100,164039,1,0.060361,-2.879525
2024-06-10,10100,10300,9900,10000,191609,1,-0.062509,-2.942034
2024-06-11,10100,10200,9800,9900,155712,1,-0.077292,-3.019326
2024-06-12,9900,9900,9800,9900,71253,1,0.011947,-3.007379
2024-06-13,10000,10100,9800,10100,216310,1,-0.07951,-3.086889
2024-06-14,10100,10100,9900,9900,132295,1,-0.038495,-3.125384
2024-06-17,10000,10300,9800,10300,439528,1,-0.102524,-3.227908
2024-06-18,10300,10600,10200,10300,218245,1,-0.046067,-3.273975
2024-06-19,10100,10300,9800,10000,145400,1,-0.0134,-3.287375
2024-06-20,10000,10100,9900,10000,116637,1,-0.055325,-3.3427
2024-06-21,9900,10000,9700,9800,231623,1,-0.125521,-3.468221
2024-06-24,9800,9900,9500,9500,297982,1,-0.150352,-3.618573
2024-06-25,9600,9700,9600,9700,125565,1,0.021277,-3.597296
2024-06-26,9700,9700,9500,9700,135300,1,0.0337,-3.563596
2024-06-27,9600,10400,9500,10400,396600,1,0.1662,-3.397396
