t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,13250,13400,13250,13300,6546750,1,-0.1282,-0.1282
2024-07-10,13300,13350,13100,13150,9363242,1,-2.7483,-2.8765
2024-07-11,13150,13500,13150,13400,10051488,1,2.288,-0.5885
2024-07-12,13500,13500,13250,13250,4321951,1,-1.4906,-2.0791
2024-07-15,13300,13400,13050,13200,6521681,1,-4.0536,-6.1327
2024-07-16,13200,13250,12500,12600,22610428,1,-9.0328,-15.1655
2024-07-17,12600,12750,11950,12100,22636131,1,-9.5458,-24.7113
2024-07-18,12250,12350,12000,12350,7886855,1,-1.3606,-26.0719
2024-07-19,12350,12400,11850,11900,12417726,1,-4.3955,-30.4674
2024-07-22,11900,11900,11100,11150,39082281,1,4.2706,-26.1968
2024-07-23,11400,11400,11100,11100,9352699,1,-0.0891,-26.2859
2024-07-24,11150,11600,11000,11400,9837014,1,2.1289,-24.157
2024-07-25,11400,11400,11150,11300,4827356,1,-1.391,-25.548
2024-07-26,11300,11400,10900,11050,9048700,1,-3.5933,-29.1413
2024-07-29,11150,11200,11000,11000,6590600,1,-0.9293,-30.0706
2024-07-30,10900,11400,10600,11400,18408000,1,-1.3631,-31.4337
2024-07-31,11900,12150,11700,11850,18353800,1,0.6697,-30.764
2024-08-01,11900,11900,11100,11200,10556000,1,-3.4269,-34.1909
2024-08-02,11200,11500,11050,11500,11001600,1,1.3521,-32.8388
2024-08-05,11500,11500,10800,11000,13626000,1,-2.7473,-35.5861
2024-08-06,11250,11500,11000,11350,11766100,1,1.7757,-33.8104
2024-08-07,11350,11800,11300,11400,13644500,1,2.0348,-31.7756
2024-08-08,11400,11600,11300,11400,7510400,1,-2.2737,-34.0493
2024-08-09,11600,11600,11250,11400,7629200,1,-0.8947,-34.944
2024-08-12,11400,11400,11150,11200,5322700,1,-1.1694,-36.1134
