t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,15100,16050,15100,15900,11573604,1,2.4158,2.4158
2024-02-16,16000,16000,15550,15700,3208997,1,-1.0615,1.3543
2024-02-19,15700,16200,15500,15750,3965680,1,-0.7688,0.5855
2024-02-20,15750,15750,15450,15550,3647749,1,-1.7413,-1.1558
2024-02-21,15600,15800,15350,15700,4058861,1,-0.5859,-1.7417
2024-02-22,15700,15800,15500,15500,2685784,1,-0.3684,-2.1101
2024-02-23,15650,15950,15200,15200,7793975,1,-0.7292,-2.8393
2024-02-26,15250,15250,15050,15100,2875254,1,-0.3761,-3.2154
2024-02-27,15200,15300,15050,15200,2770950,1,-0.3417,-3.5571
2024-02-28,15250,15400,15200,15400,2862622,1,-0.5188,-4.0759
2024-02-29,15550,15650,15150,15150,3534195,1,-0.9348,-5.0107
2024-03-01,15150,15250,15050,15150,2736801,1,-1.2645,-6.2752
2024-03-04,15300,15300,15100,15150,3305210,1,-0.5213,-6.7965
2024-03-05,15100,15200,15050,15150,2978297,1,0.1898,-6.6067
2024-03-06,15150,15400,15050,15150,3408031,1,-0.5089,-7.1156
2024-03-07,15100,15150,15050,15100,1756186,1,-0.5305,-7.6461
2024-03-08,15100,15150,14750,14800,4901181,1,-2.2619,-9.908
2024-03-11,14750,14750,14400,14500,3266828,1,-1.144,-11.052
2024-03-12,14400,14700,14350,14650,2252954,1,0.1039,-10.9481
2024-03-13,14750,15000,14600,15000,2135840,1,0.249,-10.6991
2024-03-14,15000,15000,14650,14750,2517787,1,-0.728,-11.4271
2024-03-15,14700,14700,14550,14600,1840339,1,-0.1488,-11.5759
2024-03-18,14600,14700,13950,14700,4973623,1,-1.5006,-13.0765
2024-03-19,14600,14600,14200,14250,1992184,1,-0.786,-13.8625
2024-03-20,14250,14600,14150,14500,2982708,1,-0.1524,-14.0149
2024-03-21,14700,14900,14600,14900,4744469,1,-0.0811,-14.096
2024-03-22,14900,15050,14700,14800,3975352,1,-0.5051,-14.6011
2024-03-25,14800,15000,14600,14650,2171332,1,-0.4155,-15.0166
2024-03-26,14650,14950,14650,14800,2367395,1,0.459,-14.5576
2024-03-27,15000,15200,14850,15000,3814501,1,0.02,-14.5376
2024-03-28,15150,15200,15000,15150,2648744,1,-0.0139,-14.5515
2024-03-29,15150,15200,14850,14950,1404380,1,-0.1753,-14.7268
2024-04-01,15050,15050,14750,14850,1558825,1,-0.3661,-15.0929
2024-04-02,14900,14900,14600,14800,1545242,1,-0.6507,-15.7436
2024-04-03,14750,14800,14450,14500,3018695,1,-1.9336,-17.6772
2024-04-04,14500,14600,14400,14450,2581162,1,-0.333,-18.0102
2024-04-05,14400,14450,14300,14400,1943055,1,-0.4659,-18.4761
2024-04-08,14400,14500,14300,14400,1286207,1,-0.4882,-18.9643
2024-04-09,14400,14600,14350,14600,1218551,1,0.1315,-18.8328
2024-04-10,14600,14700,14550,14650,2465057,1,-0.0835,-18.9163
2024-04-11,14450,14600,14350,14600,524950,1,-0.0392,-18.9555
2024-04-12,14650,14850,14500,14850,2558776,1,0.4236,-18.5319
2024-04-15,14700,15000,14000,14050,4456079,1,-1.4429,-19.9748
2024-04-16,14150,14200,13550,13650,3946658,1,-1.8218,-21.7966
2024-04-17,13850,14050,13650,13750,2771568,1,-0.6991,-22.4957
2024-04-19,13600,13900,13400,13500,2458943,1,-0.2625,-22.7582
2024-04-22,13800,13800,13600,13750,775950,1,0.1138,-22.6444
2024-04-23,13850,13850,13450,13500,1358914,1,-0.7162,-23.3606
2024-04-25,13850,13950,13500,13600,2038781,1,-0.9769,-24.3375
2024-04-26,13550,13750,13550,13650,1077807,1,-0.2044,-24.5419
2024-05-02,13650,13700,13500,13650,748724,1,-0.1897,-24.7316
2024-05-03,13700,13850,13650,13700,1508097,1,-0.2265,-24.9581
2024-05-06,13850,14050,13800,13950,1687601,1,0.3021,-24.656
2024-05-07,14000,14100,13900,14100,1059308,1,0.2818,-24.3742
2024-05-08,14050,14050,13850,14050,1059847,1,-0.2691,-24.6433
2024-05-09,13950,14100,13800,14000,1500344,1,-0.3724,-25.0157
2024-05-10,14050,14050,13850,13900,933607,1,-0.1168,-25.1325
2024-05-13,13950,13950,13750,13850,1012952,1,-0.4441,-25.5766
2024-05-14,13850,14000,13800,13800,961283,1,-0.1887,-25.7653
2024-05-15,13850,13950,13800,13850,1431918,1,0.1933,-25.572
2024-05-16,13950,14500,13900,14500,3753959,1,1.1689,-24.4031
2024-05-17,14550,14650,14350,14500,1822532,1,-0.3038,-24.7069
2024-05-20,15000,15000,14500,14550,2037025,1,-0.1313,-24.8382
2024-05-21,14550,14600,14250,14400,2418592,1,-0.8656,-25.7038
2024-05-22,14400,14550,14350,14400,1350466,1,-0.0612,-25.765
2024-05-23,14400,14500,14350,14500,1726598,1,-0.2432,-26.0082
2024-05-24,14450,14750,14400,14450,3740117,1,0.0466,-25.9616
2024-05-27,14400,14550,14400,14550,1330506,1,-0.3273,-26.2889
2024-05-28,14550,14750,14550,14700,2235103,1,0.3106,-25.9783
2024-05-29,14700,14750,14500,14500,2111756,1,-0.7556,-26.7339
2024-05-30,14450,14650,14350,14650,1719497,1,0.0126,-26.7213
2024-05-31,14650,14800,14500,14750,1875192,1,0.6316,-26.0897
2024-06-03,14750,15350,14700,15300,8781265,1,4.6037,-21.486
2024-06-04,15300,15350,15150,15200,4150507,1,0.7378,-20.7482
2024-06-05,15200,15650,15100,15400,5551562,1,1.8915,-18.8567
2024-06-06,15400,15450,15150,15250,1741350,1,-0.0913,-18.948
2024-06-07,15250,15500,15150,15450,3403932,1,0.789,-18.159
2024-06-10,15450,15550,15300,15350,2294278,1,-0.5862,-18.7452
2024-06-11,15250,15400,15200,15200,1489552,1,-0.3765,-19.1217
2024-06-12,15200,15400,15150,15400,2129986,1,-0.371,-19.4927
2024-06-13,15400,15650,15400,15600,3934677,1,0.9613,-18.5314
2024-06-14,15650,15650,15200,15200,2031370,1,-0.0488,-18.5802
2024-06-17,15200,15300,14750,14900,2825231,1,-1.3475,-19.9277
2024-06-18,15000,15000,14900,14900,917110,1,-0.2146,-20.1423
2024-06-19,14900,15000,14500,14800,2072246,1,-0.8601,-21.0024
2024-06-20,14800,15000,14700,14750,401612,1,0.0502,-20.9522
2024-06-21,14750,14800,14450,14500,1209834,1,-0.6595,-21.6117
2024-06-24,14500,14700,14150,14300,2009415,1,-0.6807,-22.2924
2024-06-25,14300,14550,14300,14550,805651,1,-0.0024,-22.2948
2024-06-26,14500,14500,14150,14300,1091386,1,-0.5286,-22.8234
2024-06-27,14300,14300,14200,14300,693979,1,-0.2063,-23.0297
2024-06-28,14300,14350,14100,14100,1010495,1,-0.2959,-23.3256
2024-07-01,14100,14300,14100,14300,704582,1,-0.125,-23.4506
2024-07-02,14350,14450,14300,14400,736095,1,-0.1266,-23.5772
2024-07-03,14500,14500,14350,14400,742710,1,-0.1316,-23.7088
2024-07-04,14550,14750,14450,14450,1468879,1,-0.4161,-24.1249
