t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,14640,14780,14510,14640,2295880,1,0.4695,0.4695
2024-02-16,14640,14690,14380,14460,3443287,1,-0.2154,0.2541
2024-02-19,14460,14460,14110,14330,2319471,1,-0.6411,-0.387
2024-02-20,14380,14640,14380,14460,2321091,1,0.1542,-0.2328
2024-02-21,14460,14550,14290,14380,1625847,1,-0.0344,-0.2672
2024-02-22,14330,14730,14330,14550,4086225,1,0.3776,0.1104
2024-02-23,14550,14640,14150,14240,3542573,1,-1.3823,-1.2719
2024-02-26,14240,14910,14150,14870,4692042,1,2.2345,0.9626
2024-02-27,14910,14960,14730,14870,2894603,1,-0.0422,0.9204
2024-02-28,14960,15310,14870,15180,9056994,1,4.1114,5.0318
2024-02-29,15180,15450,15000,15050,4904144,1,0.0305,5.0623
2024-03-01,15180,15630,15130,15180,5818541,1,0.1685,5.2308
2024-03-04,15360,15400,15000,15180,2898772,1,-1.0702,4.1606
2024-03-05,15180,15220,14820,15180,4022686,1,0.1056,4.2662
2024-03-06,15220,15360,14870,14910,2672454,1,-0.7251,3.5411
2024-03-07,14910,15630,14910,15450,8282514,1,0.4702,4.0113
2024-03-08,15490,15630,15180,15180,5693177,1,-1.0371,2.9742
2024-03-11,15180,15180,14730,14870,4436580,1,-1.8651,1.1091
2024-03-12,14870,14960,14780,14960,3778620,1,-0.8269,0.2822
2024-03-13,15090,15980,14960,15980,11547272,1,5.5391,5.8213
2024-03-14,16250,16610,15850,16340,13146971,1,1.1762,6.9975
2024-03-15,16250,16340,15670,16070,6185791,1,-0.2691,6.7284
2024-03-18,15980,16250,14960,15270,7681288,1,-2.5826,4.1458
2024-03-19,15310,15400,14960,15000,2475280,1,-0.8308,3.315
2024-03-20,15000,15450,14960,15360,2617410,1,-0.223,3.092
2024-03-21,15670,15850,15400,15540,3340887,1,-0.1994,2.8926
2024-03-22,15720,15850,15360,15580,4167345,1,-0.7176,2.175
2024-03-25,15580,15890,15450,15490,4731030,1,-1.5341,0.6409
2024-03-26,15360,15670,15180,15670,2338232,1,0.1829,0.8238
2024-03-27,15800,15940,15490,15720,2376493,1,-0.7756,0.0482
2024-03-28,15890,16030,15540,15940,4991942,1,-0.2338,-0.1856
2024-03-29,16070,16070,15580,15580,3268411,1,-0.6943,-0.8799
2024-04-01,15540,15720,15360,15630,2600506,1,-0.2529,-1.1328
2024-04-02,15450,15670,15310,15670,3051589,1,-0.6159,-1.7487
2024-04-03,15720,15890,15270,15360,4619571,1,-0.8604,-2.6091
2024-04-04,15360,15450,15050,15090,2696216,1,-0.5714,-3.1805
2024-04-05,14960,15000,14290,14290,4109306,1,-0.5293,-3.7098
2024-04-08,14330,14600,14290,14290,2564251,1,-0.167,-3.8768
2024-04-09,14460,14730,14290,14690,1957280,1,0.1816,-3.6952
2024-04-10,14780,14780,14380,14380,1439431,1,-0.5705,-4.2657
2024-04-11,14290,14460,14110,14420,2139396,1,0.1723,-4.0934
2024-04-12,14550,14690,14290,14550,2056293,1,0.0,-4.0934
2024-04-15,14510,14640,13570,13570,4327900,1,-1.6651,-5.7585
2024-04-16,13480,13710,12900,13350,3774965,1,-0.5568,-6.3153
2024-04-17,13480,13480,12680,12680,2790008,1,-0.8317,-7.147
2024-04-19,12410,12720,11920,12280,4236494,1,-0.5947,-7.7417
2024-04-22,12630,13130,12410,13130,4865369,1,1.9741,-5.7676
2024-04-23,12950,13130,12590,12680,1444422,1,-0.511,-6.2786
2024-04-25,13040,13080,12770,12900,1112668,1,-0.1498,-6.4284
2024-04-26,12680,13040,12680,12770,1065758,1,-0.0694,-6.4978
2024-05-02,12860,12860,12500,12680,1342910,1,-0.3118,-6.8096
2024-05-03,12810,12900,12680,12680,1025300,1,-0.1158,-6.9254
2024-05-06,12810,13390,12720,13300,2555552,1,0.9651,-5.9603
2024-05-07,13350,13350,13080,13260,1184991,1,-0.2206,-6.1809
2024-05-08,13130,13300,13040,13130,1845235,1,-0.0116,-6.1925
2024-05-09,13170,13300,12990,13040,1114745,1,-0.3059,-6.4984
2024-05-10,13080,13210,12950,13210,1235864,1,-0.0202,-6.5186
2024-05-13,13210,13480,13130,13260,3776133,1,-0.5055,-7.0241
2024-05-14,13210,13390,13170,13260,2132822,1,-0.0678,-7.0919
2024-05-15,13260,13880,13260,13530,7605350,1,2.2875,-4.8044
2024-05-16,13570,13800,13530,13570,2121904,1,-0.4006,-5.205
2024-05-17,13570,13880,13530,13620,2468385,1,-0.1824,-5.3874
2024-05-20,13880,13880,13620,13620,2716900,1,-0.9685,-6.3559
2024-05-21,13480,13570,13300,13530,3210805,1,-1.0284,-7.3843
2024-05-22,13530,13970,13530,13660,5889092,1,0.5654,-6.8189
2024-05-23,13620,14110,13530,14060,6974614,1,1.9563,-4.8626
