t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,22380,22670,22330,22670,2011201,1,-0.0069,-0.0069
2024-02-16,22670,23010,22230,22670,1869158,1,-0.1628,-0.1697
2024-02-19,22670,22870,22180,22820,3013280,1,0.4248,0.2551
2024-02-20,22920,22960,22380,22380,1864056,1,-0.2225,0.0326
2024-02-21,22520,22520,22080,22380,1953654,1,-0.1108,-0.0782
2024-02-22,22430,22470,22180,22330,1028146,1,-0.1368,-0.215
2024-02-23,22330,23700,22330,22720,8066814,1,1.214,0.999
2024-02-26,23210,23550,22870,23410,2700879,1,0.4805,1.4795
2024-02-27,23650,23850,23260,23500,2700528,1,0.4464,1.9259
2024-02-28,23500,23500,22770,22820,3509437,1,-1.0009,0.925
2024-02-29,22960,23260,22130,22960,5155826,1,-0.331,0.594
2024-03-01,23010,23410,22670,23010,1734759,1,-0.2303,0.3637
2024-03-04,23310,23310,22960,23110,2296808,1,-0.246,0.1177
2024-03-05,23110,23110,22520,22770,2405072,1,-0.9174,-0.7997
2024-03-06,22720,23010,22330,22380,2269661,1,-0.7117,-1.5114
2024-03-07,22520,23360,22280,23310,3650514,1,-0.0173,-1.5287
2024-03-08,23310,24380,22960,24240,5758997,1,1.5629,0.0342
2024-03-11,24140,24190,23010,23160,3997841,1,-1.4546,-1.4204
2024-03-12,23010,23260,22870,23260,3219972,1,-0.1765,-1.5969
2024-03-13,23110,23890,23110,23800,3345052,1,0.2666,-1.3303
2024-03-14,23850,24140,23310,23410,3659447,1,-1.0143,-2.3446
2024-03-15,23450,24380,23160,24140,3523018,1,0.9828,-1.3618
2024-03-18,24140,24340,22570,23500,4151107,1,-0.5969,-1.9587
2024-03-19,23500,23550,22820,23060,2028217,1,-0.6527,-2.6114
2024-03-20,23060,23500,22670,23410,2036359,1,0.1168,-2.4946
2024-03-21,23500,23700,23310,23500,1547294,1,-0.2398,-2.7344
2024-03-22,23600,23800,23360,23550,1786699,1,-0.3073,-3.0417
2024-03-25,23500,23890,23260,23450,1755805,1,-0.3014,-3.3431
2024-03-26,23450,23500,23060,23360,1296171,1,-0.2115,-3.5546
2024-03-27,23500,24040,23450,23550,1369407,1,0.1508,-3.4038
2024-03-28,23800,24730,23550,24580,4240569,1,1.0324,-2.3714
2024-03-29,24580,24630,24190,24340,1262423,1,-0.4189,-2.7903
2024-04-01,24340,24380,23850,24380,1840135,1,0.0121,-2.7782
2024-04-02,23940,24630,23850,24630,2737730,1,0.009,-2.7692
2024-04-03,24480,24580,23750,23890,1954536,1,-0.7405,-3.5097
2024-04-04,23800,24240,23600,24090,1723498,1,-0.1121,-3.6218
2024-04-05,23650,23800,23110,23410,2053126,1,-0.3661,-3.9879
2024-04-08,23310,23750,23110,23410,1790374,1,0.574,-3.4139
2024-04-09,23310,23500,23060,23500,814801,1,-0.0779,-3.4918
2024-04-10,23600,23600,23260,23260,864440,1,-0.1148,-3.6066
2024-04-11,22960,23160,22770,22870,1863089,1,-0.6255,-4.2321
2024-04-12,23010,23160,22870,23160,822269,1,-0.0164,-4.2485
2024-04-15,22920,23160,21540,21540,2040676,1,-1.0029,-5.2514
2024-04-16,21540,21540,20710,21150,1982195,1,-0.4787,-5.7301
2024-04-17,21250,21400,20910,21100,1425039,1,-0.1435,-5.8736
2024-04-19,20910,20910,20030,20030,1744766,1,-0.3266,-6.2002
2024-04-22,20420,20760,20220,20710,767567,1,0.0849,-6.1153
2024-04-23,20860,20860,20170,20170,802004,1,0.1469,-5.9684
2024-04-25,20660,21150,20610,20860,679108,1,-0.1487,-6.1171
2024-04-26,20470,21050,20470,20860,699606,1,-0.1769,-6.294
2024-05-02,20960,21350,20960,21350,1035360,1,0.0436,-6.2504
2024-05-03,21740,21740,21150,21400,652871,1,-0.0424,-6.2928
2024-05-06,21640,21990,21350,21890,1283513,1,0.288,-6.0048
2024-05-07,21940,22380,21840,21840,1363610,1,-0.0159,-6.0207
2024-05-08,21590,22130,21350,21940,1117447,1,-0.1689,-6.1896
2024-05-09,21940,22430,21890,21940,1104497,1,-0.1033,-6.2929
2024-05-10,21990,22230,21690,21940,924737,1,-0.3016,-6.5945
2024-05-13,22080,23010,21990,22820,1847242,1,0.2022,-6.3923
2024-05-14,22960,22960,22520,22820,586936,1,-0.1819,-6.5742
2024-05-15,22720,23110,22670,22720,1033748,1,-0.3061,-6.8803
2024-05-16,22920,22960,22670,22820,945086,1,-0.1396,-7.0199
2024-05-17,22820,23360,22820,23110,1189201,1,-0.054,-7.0739
2024-05-20,23310,23410,23010,23060,1350766,1,-0.26,-7.3339
2024-05-21,23060,23110,22670,22920,1233347,1,-0.4497,-7.7836
2024-05-22,22920,23310,22820,23010,1424333,1,-0.4978,-8.2814
2024-05-23,22820,23060,22430,23010,1406361,1,-0.3409,-8.6223
2024-05-24,23010,23360,22520,23360,3551349,1,-0.6513,-9.2736
2024-05-27,23500,23890,23310,23410,1797786,1,-0.2392,-9.5128
2024-05-28,23500,23890,23360,23360,1561245,1,0.0088,-9.504
2024-05-29,23360,23750,23010,23310,1523377,1,-0.2354,-9.7394
2024-05-30,23010,23060,22570,22920,2127502,1,-0.3868,-10.1262
2024-05-31,23060,23160,22870,22960,912033,1,-0.2258,-10.352
2024-06-03,23310,23800,23210,23500,2014457,1,-0.1202,-10.4722
2024-06-04,23700,23700,23410,23450,803424,1,-0.2204,-10.6926
2024-06-05,23500,23850,23450,23550,1814271,1,-0.0005,-10.6931
2024-06-06,23600,24240,23550,23940,2564523,1,0.0965,-10.5966
2024-06-07,23990,24090,23550,23650,724163,1,-0.3147,-10.9113
2024-06-10,23650,23800,23260,23410,1412223,1,-0.5361,-11.4474
2024-06-11,23450,23450,22770,23210,2792390,1,-0.7975,-12.2449
2024-06-12,23210,23450,22920,23450,983586,1,0.0359,-12.209
2024-06-13,23550,23550,23260,23410,911911,1,-0.1088,-12.3178
2024-06-14,23410,23450,22720,22720,1686482,1,-0.6523,-12.9701
2024-06-17,23010,23110,22720,23010,870875,1,-0.0979,-13.068
2024-06-18,23060,24090,23010,24040,3207519,1,0.5905,-12.4775
2024-06-19,24090,24340,23700,24040,1824024,1,-0.2536,-12.7311
2024-06-20,24090,24680,23600,24680,2776273,1,0.2331,-12.498
2024-06-21,24480,25170,24240,24780,2314468,1,-0.4709,-12.9689
2024-06-24,24830,24920,23310,23500,2133859,1,-0.5191,-13.488
