t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,29450,30150,29200,29550,4633665,1,0.1328,0.1328
2024-07-09,29800,31600,29650,31600,13779859,1,4.5443,4.6771
2024-07-10,31600,31900,31250,31500,5827633,1,0.2224,4.8995
2024-07-11,31800,31850,31050,31600,5900944,1,-0.2565,4.643
2024-07-12,31600,31950,30600,30800,6302025,1,-1.67,2.973
2024-07-15,31250,31900,31100,31800,4984823,1,1.6042,4.5772
2024-07-16,31850,31900,31250,31300,3172732,1,-0.8247,3.7525
2024-07-17,31450,31800,29150,30200,8216566,1,-1.7391,2.0134
2024-07-18,30350,30950,29800,30900,4697093,1,-0.4781,1.5353
2024-07-19,30500,30800,30050,30300,3105064,1,-0.6969,0.8384
2024-07-22,30000,30100,28550,28800,6607082,1,-1.976,-1.1376
2024-07-23,28800,29150,28200,28200,3811073,1,-1.5139,-2.6515
2024-07-24,28000,28800,27550,28500,4158373,1,-0.25,-2.9015
2024-07-25,28300,28700,28100,28400,1048729,1,-0.2883,-3.1898
2024-07-26,28650,28950,28550,28950,1809500,1,0.513,-2.6768
2024-07-29,29100,29300,28750,28800,1318100,1,-0.2358,-2.9126
2024-07-30,28950,29250,28600,29000,2284700,1,-0.0526,-2.9652
2024-07-31,29200,29550,28850,28900,3819300,1,-0.1029,-3.0681
2024-08-01,29000,29100,27750,27900,4952200,1,-1.9467,-5.0148
2024-08-02,27700,28500,27200,28500,3075000,1,-0.89,-5.9048
2024-08-05,27200,28000,26550,26550,7719800,1,-3.8332,-9.738
2024-08-06,26800,27700,26500,27500,3329800,1,0.9666,-8.7714
2024-08-07,27600,27750,27100,27450,1398800,1,-0.0382,-8.8096
2024-08-08,27550,28000,27250,27400,2299300,1,-0.099,-8.9086
2024-08-09,27750,28200,27700,27950,2045600,1,0.7451,-8.1635
2024-08-12,28100,28600,27950,28600,2228600,1,0.4277,-7.7358
