t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,27240,27290,26650,26830,11519385,1,-3.1198,-3.1198
2024-02-16,26970,27380,26700,26830,9595900,1,-0.625,-3.7448
2024-02-19,26920,26920,26290,26520,12663505,1,-2.67,-6.4148
2024-02-20,26610,27060,26340,26650,8317638,1,0.1734,-6.2414
2024-02-21,26700,27010,26470,26650,6463977,1,-0.4851,-6.7265
2024-02-22,26650,26790,26250,26290,8799045,1,-2.8375,-9.564
2024-02-23,26290,26380,25210,25300,24758053,1,-9.3198,-18.8838
2024-02-26,25300,25660,25030,25520,7824650,1,-0.3034,-19.1872
2024-02-27,25610,26200,25520,26070,12301475,1,2.7857,-16.4015
2024-02-28,26110,26200,25610,25930,8799806,1,-3.3086,-19.7101
2024-02-29,25930,26650,25750,26200,16370857,1,1.2868,-18.4233
2024-03-01,26430,26430,26070,26200,7279110,1,-1.265,-19.6883
2024-03-04,26650,27240,26470,26520,16904695,1,2.6847,-17.0036
2024-03-05,26520,26560,25980,26200,12115741,1,-3.7311,-20.7347
2024-03-06,26110,26110,25480,25610,11084807,1,-3.3451,-24.0798
2024-03-07,25520,25930,25430,25890,10101108,1,0.4083,-23.6715
2024-03-08,25930,26020,25300,25300,13474974,1,-4.274,-27.9455
2024-03-11,25300,25390,24670,24760,11167651,1,-2.8434,-30.7889
2024-03-12,24580,25030,24580,24800,8386992,1,-1.1973,-31.9862
2024-03-13,24890,25430,24850,25430,8293833,1,0.5101,-31.4761
2024-03-14,25570,25750,25160,25390,12328992,1,-1.5065,-32.9826
2024-03-15,25390,26110,25300,25390,15817470,1,0.7378,-32.2448
2024-03-18,25480,26610,24440,26290,27382420,1,2.0052,-30.2396
2024-03-19,26650,27010,25930,25930,14121970,1,-0.3786,-30.6182
2024-03-20,25930,26200,25610,25980,9301518,1,-0.4593,-31.0775
2024-03-21,26340,27780,25980,27780,40209143,1,12.9262,-18.1513
2024-03-22,28280,28460,27870,28460,18791582,1,-0.4964,-18.6477
2024-03-25,28550,29180,28190,28420,18305687,1,-2.8401,-21.4878
2024-03-26,28460,29180,28100,28910,12980416,1,1.4239,-20.0639
2024-03-27,28960,29450,28550,29000,12118261,1,-0.226,-20.2899
2024-03-28,29360,29450,28910,29000,8645323,1,-0.8813,-21.1712
2024-03-29,29000,29090,28550,28780,8917968,1,-1.2124,-22.3836
2024-04-01,28690,30000,28460,29680,15559636,1,1.3925,-20.9911
2024-04-02,29630,30270,29270,29770,11963657,1,0.7412,-20.2499
2024-04-03,29630,29820,28910,29140,11620757,1,-2.6322,-22.8821
2024-04-04,29000,30040,28280,29360,17136138,1,0.3712,-22.5109
2024-04-05,28640,29730,28460,29090,11751183,1,1.1216,-21.3893
2024-04-08,28910,29180,28640,28780,7195639,1,-0.1855,-21.5748
2024-04-09,28870,29090,28320,29090,8157175,1,-0.9015,-22.4763
2024-04-10,29090,29270,28510,28550,7675821,1,-3.5488,-26.0251
2024-04-11,28140,28870,28100,28550,8741541,1,-0.7702,-26.7953
2024-04-12,28780,29140,28640,28870,9128599,1,-1.3425,-28.1378
2024-04-15,28820,29540,26880,26880,18859547,1,-6.1629,-34.3007
2024-04-16,26650,26790,25210,26340,17578512,1,-3.5957,-37.8964
2024-04-17,26380,26430,25300,25300,11292722,1,-3.3191,-41.2155
2024-04-19,24390,24890,23580,23670,16161325,1,-2.5971,-43.8126
2024-04-22,24170,24350,23670,24080,7564071,1,0.7123,-43.1003
2024-04-23,24120,24210,22860,22860,10152400,1,-2.4261,-45.5264
2024-04-25,24170,24350,23940,24120,5095037,1,-0.5968,-46.1232
2024-04-26,23760,24390,23580,23900,7158885,1,-0.5578,-46.681
2024-05-02,24120,24210,23400,23720,4688729,1,-1.1144,-47.7954
2024-05-03,23940,24800,23850,24350,12103195,1,1.1299,-46.6655
2024-05-06,24670,25250,24390,25210,8632070,1,2.0959,-44.5696
2024-05-07,25390,25390,24760,24940,8056941,1,-1.5368,-46.1064
2024-05-08,24390,24940,24080,24530,11299185,1,-1.6291,-47.7355
2024-05-09,24850,24940,24210,24260,11543889,1,-3.7031,-51.4386
2024-05-10,25000,25600,24850,25200,8302469,1,0.5325,-50.9061
2024-05-13,25850,25850,25250,25500,5277335,1,0.0945,-50.8116
2024-05-14,25500,25600,25050,25300,4276462,1,-1.0282,-51.8398
2024-05-15,25100,25600,25100,25500,6027432,1,-0.1278,-51.9676
2024-05-16,25750,26050,25600,25800,7920278,1,-0.0696,-52.0372
2024-05-17,25900,26200,25600,26050,7263879,1,-0.1781,-52.2153
2024-05-20,26400,26400,25800,25800,7624579,1,-1.9775,-54.1928
2024-05-21,25750,25800,25300,25500,7975464,1,-3.2197,-57.4125
2024-05-22,25700,26850,25550,26500,17291176,1,2.4938,-54.9187
2024-05-23,26350,26650,25950,26550,5602427,1,-0.5514,-55.4701
2024-05-24,26150,26550,25250,25950,14945426,1,-6.1884,-61.6585
2024-05-27,25950,25950,25350,25450,6910712,1,-2.0125,-63.671
2024-05-28,25700,25900,25450,25600,5049762,1,-0.4303,-64.1013
2024-05-29,25650,25850,25350,25400,6926119,1,-0.8134,-64.9147
2024-05-30,25100,25250,24650,25000,9696861,1,-2.6803,-67.595
2024-05-31,25250,25500,25000,25200,4468688,1,0.3834,-67.2116
2024-06-03,25500,26500,25350,26000,11509081,1,2.6148,-64.5968
2024-06-04,26250,26250,25800,25800,4028493,1,-0.3865,-64.9833
2024-06-05,26000,26400,25700,25800,8709911,1,0.4219,-64.5614
2024-06-06,26150,26150,25500,25750,5595872,1,-2.0124,-66.5738
2024-06-07,25800,25950,25550,25600,3631769,1,-0.7512,-67.325
2024-06-10,25650,25900,25400,25500,6078663,1,-0.9988,-68.3238
2024-06-11,25800,25800,25200,25350,5435111,1,-1.7634,-70.0872
2024-06-12,25300,25850,25300,25800,4385088,1,0.5123,-69.5749
2024-06-13,25900,26750,25850,26300,15740177,1,2.244,-67.3309
2024-06-14,26300,26350,25600,25600,7671929,1,-3.1121,-70.443
2024-06-17,25600,25600,25000,25000,7354417,1,-2.5762,-73.0192
2024-06-18,25200,25300,24900,24900,5175348,1,-1.8046,-74.8238
2024-06-19,24900,25100,24500,24550,5782229,1,-2.1217,-76.9455
2024-06-20,24650,24750,23900,24450,7473474,1,-3.0935,-80.039
2024-06-21,24450,24450,24000,24100,6966268,1,-1.3171,-81.3561
