t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,25300,25400,25000,25200,291254,1,-0.0747,-0.0747
2024-02-16,25350,25550,25150,25500,395835,1,0.0142,-0.0605
2024-02-19,25900,25900,25550,25700,434987,1,-0.02,-0.0805
2024-02-20,25700,26000,25600,25700,470768,1,-0.172,-0.2525
2024-02-21,25750,25900,25500,25600,424503,1,-0.0864,-0.3389
2024-02-22,25800,25800,25400,25400,364667,1,-0.1152,-0.4541
2024-02-23,25500,25500,24500,24500,562426,1,-0.2496,-0.7037
2024-02-26,24400,24550,24050,24150,373991,1,-0.0227,-0.7264
2024-02-27,24150,24700,24150,24400,278936,1,-0.0275,-0.7539
2024-02-28,24600,25500,24500,24900,473314,1,-0.0621,-0.816
2024-02-29,24950,25400,24700,25000,209434,1,-0.0283,-0.8443
2024-03-01,25000,25950,25000,25800,1417748,1,0.2353,-0.609
2024-03-04,25800,26000,25700,25700,696305,1,-0.1606,-0.7696
2024-03-05,25700,26100,25600,25850,665944,1,0.0407,-0.7289
2024-03-06,26000,26600,25800,26200,984019,1,-0.1118,-0.8407
2024-03-07,26150,26200,25800,25900,488841,1,-0.1906,-1.0313
2024-03-08,25800,26800,25600,26300,1379169,1,0.3354,-0.6959
2024-03-11,26250,26600,25900,25900,791125,1,-0.0333,-0.7292
2024-03-12,25900,27450,25850,26950,2024908,1,0.449,-0.2802
2024-03-13,27050,27900,27050,27600,1736537,1,0.3912,0.111
2024-03-14,27800,28500,27450,28300,2288704,1,0.0088,0.1198
2024-03-15,28300,29600,27850,29400,1776261,1,0.0507,0.1705
2024-03-18,29150,30000,27500,28200,1536412,1,0.0704,0.2409
2024-03-19,28500,28500,27550,28000,574934,1,-0.0193,0.2216
2024-03-20,28200,28950,27700,28850,1195010,1,0.198,0.4196
2024-03-21,28950,29300,28600,28900,621474,1,0.1018,0.5214
2024-03-22,28900,29050,28600,28850,682870,1,-0.1104,0.411
2024-03-25,28850,29000,27600,28300,706645,1,-0.2576,0.1534
2024-03-26,28300,28550,28000,28400,321009,1,-0.072,0.0814
2024-03-27,29000,29050,28350,28850,618964,1,-0.0413,0.0401
2024-03-28,29000,29100,28650,28900,383295,1,-0.1528,-0.1127
2024-03-29,28900,29900,28900,29000,1083139,1,0.1053,-0.0074
2024-04-01,29000,29000,28300,28550,426520,1,-0.1446,-0.152
2024-04-02,28150,28800,28100,28700,405257,1,-0.1053,-0.2573
2024-04-03,29000,29200,27900,28150,674308,1,-0.2298,-0.4871
2024-04-04,27500,27900,26900,27200,1114524,1,-0.3007,-0.7878
2024-04-05,26800,27850,26800,27200,472153,1,-0.0044,-0.7922
2024-04-08,27600,27600,26900,27300,206398,1,-0.011,-0.8032
2024-04-09,27300,28250,27050,28100,476683,1,0.1229,-0.6803
2024-04-10,28200,28200,27600,27600,295053,1,-0.185,-0.8653
2024-04-11,27000,27750,27000,27400,184810,1,0.0173,-0.848
2024-04-12,27700,27800,27200,27800,197684,1,-0.0309,-0.8789
2024-04-15,27950,27950,25900,25900,611354,1,-0.1849,-1.0638
2024-04-16,25250,25600,24500,25500,533786,1,-0.1029,-1.1667
2024-04-17,25500,25500,24500,24500,325562,1,-0.1144,-1.2811
2024-04-19,23450,24350,23150,23300,472168,1,-0.0665,-1.3476
