t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-05-10,21530,21530,21230,21230,10100,1,0.0001,0.0001
2024-07-09,29800,30100,29000,29000,265746,1,-0.1065,-0.1064
2024-07-10,29400,30300,29200,29400,355480,1,-0.0173,-0.1237
2024-07-11,29700,30100,29300,29300,145854,1,-0.0226,-0.1463
2024-07-12,29500,30000,29500,30000,156839,1,0.0024,-0.1439
2024-07-15,30000,30000,29500,29500,152000,1,-0.0351,-0.179
2024-07-16,29800,30000,28400,28500,249240,1,-0.0326,-0.2116
2024-07-17,28800,29000,25600,26900,577637,1,-0.1501,-0.3617
2024-07-18,27000,27000,26100,27000,275488,1,0.01,-0.3517
2024-07-19,26600,28000,26200,26400,168994,1,0.0308,-0.3209
2024-07-22,26300,26700,26300,26300,218011,1,-0.0738,-0.3947
2024-07-23,26600,26900,26000,26000,41523,1,-0.0103,-0.405
2024-07-24,25800,26800,25700,26600,300745,1,0.1846,-0.2204
2024-07-25,26900,27600,26600,27100,215033,1,-0.0237,-0.2441
2024-07-26,27100,27400,26600,27400,124200,1,-0.004,-0.2481
2024-07-29,27500,28000,27000,27000,109500,1,-0.0324,-0.2805
2024-07-30,27100,27200,26700,26800,307400,1,0.0021,-0.2784
2024-07-31,26700,27100,26600,26600,74000,1,-0.028,-0.3064
2024-08-01,26800,27000,25700,25800,228600,1,0.0245,-0.2819
2024-08-02,25800,26100,25200,26100,240500,1,0.0422,-0.2397
2024-08-05,25800,26000,25000,25000,160300,1,0.0061,-0.2336
2024-08-06,25000,25500,25000,25300,41100,1,0.0266,-0.207
2024-08-07,25400,25700,25400,25400,25800,1,-0.0028,-0.2098
2024-08-08,26900,26900,25100,25700,104600,1,0.0264,-0.1834
2024-08-09,26300,26300,25200,25600,57900,1,0.0115,-0.1719
2024-08-12,25600,26100,25500,26100,66100,1,0.0196,-0.1523
