t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,53800,55500,53300,54000,843352,1,0.0333,0.0333
2024-02-16,54100,56500,54100,55300,512193,1,0.1823,0.2156
2024-02-19,55900,58000,55500,56200,875001,1,-0.0186,0.197
2024-02-20,56200,56400,55200,56000,511683,1,-0.096,0.101
2024-02-21,56400,56800,55700,56400,435762,1,-0.0743,0.0267
2024-02-22,56800,57300,56100,56400,348826,1,-0.0365,-0.0098
2024-02-23,56500,56800,55000,55100,565013,1,-0.2781,-0.2879
2024-02-26,55100,56600,55100,55700,727379,1,0.1335,-0.1544
2024-02-27,56700,56800,55900,56400,430998,1,-0.0238,-0.1782
2024-02-28,56400,57500,56200,56800,433400,1,0.0888,-0.0894
2024-02-29,57200,57200,55300,55700,750170,1,-0.1636,-0.253
2024-03-01,55600,56500,55500,56400,567082,1,-0.0212,-0.2742
2024-03-04,56700,57300,56200,56500,892304,1,-0.1318,-0.406
2024-03-05,56500,56600,55900,56000,434107,1,-0.1568,-0.5628
2024-03-06,56000,56000,55000,55200,545819,1,-0.2427,-0.8055
2024-03-07,55200,55800,54900,55100,495602,1,-0.1403,-0.9458
2024-03-08,55500,56600,54800,56200,835530,1,0.1121,-0.8337
2024-03-11,56200,60100,56200,58800,1827998,1,0.3566,-0.4771
2024-03-12,58800,61800,58200,60300,1027112,1,0.2745,-0.2026
2024-03-13,60100,61200,59700,60000,1074927,1,-0.1951,-0.3977
2024-03-14,59800,60200,58600,58900,1396198,1,-0.3016,-0.6993
2024-03-15,58900,62800,58900,61300,1319038,1,0.4272,-0.2721
2024-03-18,62100,62200,58000,60500,1485094,1,-0.2238,-0.4959
2024-03-19,60600,64500,60000,64500,1791350,1,0.5104,0.0145
2024-03-20,64500,64500,62400,64000,601838,1,-0.0954,-0.0809
2024-03-21,64099,64200,62700,63900,746661,1,-0.2367,-0.3176
2024-03-22,63500,64500,62500,64000,1322036,1,-0.1503,-0.4679
2024-03-25,63500,64800,62200,62500,430141,1,-0.242,-0.7099
2024-03-26,63000,64800,62300,64099,671078,1,0.2954,-0.4145
2024-03-27,64099,64500,63100,64099,327649,1,-0.0969,-0.5114
2024-03-28,64099,64400,63500,63600,550471,1,-0.0205,-0.5319
2024-03-29,64000,65900,63800,63900,952947,1,0.1239,-0.408
2024-04-01,63500,64000,62900,63500,685504,1,0.1103,-0.2977
2024-04-02,63400,64599,62200,64400,878032,1,0.3908,0.0931
2024-04-03,64300,64300,63100,63800,737170,1,-0.2574,-0.1643
2024-04-04,62700,63800,62600,62600,507357,1,-0.0357,-0.2
2024-04-05,62500,62500,60500,60500,806740,1,-0.1732,-0.3732
2024-04-08,60200,60500,59600,59800,384399,1,-0.0897,-0.4629
2024-04-09,59800,60300,59000,60300,901144,1,0.1399,-0.323
2024-04-10,60600,60600,59400,59400,234498,1,-0.0385,-0.3615
