t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,30380,31340,30380,31150,357584,1,-0.004226,-0.004226
2024-02-16,31340,31340,30950,31150,178972,1,-0.047168,-0.051394
2024-02-19,31530,32490,31240,31920,421475,1,-0.082467,-0.133861
2024-02-20,32200,32200,31340,31630,188837,1,-0.006089,-0.13995
2024-02-21,31920,31920,31150,31530,109429,1,-0.003997,-0.143947
2024-02-22,31530,31720,31150,31430,156238,1,0.036594,-0.107353
2024-02-23,31430,31630,30280,30760,330066,1,-0.048506,-0.155859
2024-02-26,30670,30760,30380,30570,149841,1,0.002225,-0.153634
2024-02-27,30570,31050,30470,30950,143978,1,0.005832,-0.147802
2024-02-28,30950,31920,30950,31340,253497,1,-0.040823,-0.188625
2024-02-29,31530,31530,30760,30760,104601,1,-0.008599,-0.197224
2024-03-01,30760,32110,30760,31920,462734,1,0.045134,-0.15209
2024-03-04,32200,32590,31820,32110,209078,1,-0.004236,-0.156326
2024-03-05,32299,32299,31340,31530,250309,1,-0.061091,-0.217417
2024-03-06,31530,31630,30670,30950,273179,1,-0.155579,-0.372996
2024-03-07,30860,31240,30860,30860,194455,1,0.034819,-0.338177
2024-03-08,30860,31150,30380,30380,256584,1,0.001982,-0.336195
2024-03-11,30470,30670,30180,30280,126674,1,-0.064196,-0.400391
2024-03-12,30090,30380,29990,30180,145010,1,0.02161,-0.378781
2024-03-13,30380,30950,30280,30760,109395,1,0.032453,-0.346328
2024-03-14,30950,31430,30570,30860,221913,1,-0.013689,-0.360017
2024-03-15,30860,31430,30760,31240,191650,1,0.03565,-0.324367
2024-03-18,31150,31430,29510,30090,297359,1,-0.125517,-0.449884
2024-03-19,30280,30760,30180,30570,124611,1,-0.017609,-0.467493
2024-03-20,30570,30760,30280,30470,83372,1,-0.04123,-0.508723
2024-03-21,30950,31050,30470,30570,132395,1,0.022215,-0.486508
2024-03-22,30760,32590,30670,32590,906076,1,0.280946,-0.205562
2024-03-25,32590,34130,32590,33360,750639,1,0.102061,-0.103501
2024-03-26,33650,34130,33070,33360,427094,1,-0.141868,-0.245369
2024-03-27,33650,33840,33070,33360,302162,1,-0.032126,-0.277495
2024-03-28,33360,33650,32780,32880,285149,1,-0.119511,-0.397006
2024-03-29,32780,33450,32680,33070,255711,1,-0.026491,-0.423497
2024-04-01,32880,33360,32299,33070,289508,1,-0.008622,-0.432119
2024-04-02,33070,34220,32780,33840,544507,1,0.193195,-0.238924
2024-04-03,33930,34320,32970,32970,390991,1,-0.008317,-0.247241
2024-04-04,32970,33260,32110,32400,294310,1,-0.039074,-0.286315
2024-04-05,32590,33260,31820,32400,348077,1,0.065003,-0.221312
2024-04-08,32400,32680,31340,31340,311349,1,-0.115921,-0.337233
2024-04-09,31340,31630,30950,31630,199005,1,0.027383,-0.30985
2024-04-10,31630,31720,30760,30860,242179,1,0.039143,-0.270707
2024-04-11,30670,31050,30280,30760,217988,1,0.051628,-0.219079
2024-04-12,31240,31240,30280,30670,187811,1,-0.043225,-0.262304
2024-04-15,30670,31340,27970,27970,316294,1,0.089146,-0.173158
2024-04-16,27970,28450,26920,28170,288653,1,0.045383,-0.127775
2024-04-17,28260,28650,27400,27400,272691,1,-0.059629,-0.187404
2024-04-19,27400,27400,25760,25760,413707,1,-0.133401,-0.320805
2024-04-22,26150,27200,26150,26920,138443,1,0.052191,-0.268614
2024-04-23,27300,27300,25960,26150,269671,1,-0.155367,-0.423981
2024-04-25,27300,27400,26820,27110,64601,1,0.010201,-0.41378
2024-04-26,26820,27200,26630,27010,110775,1,0.002155,-0.411625
2024-05-02,26920,27200,26720,26920,97742,1,0.01359,-0.398035
2024-05-03,27200,27200,26920,26920,164507,1,-0.085107,-0.483142
2024-05-06,26920,27690,26720,27690,305187,1,0.073485,-0.409657
2024-05-07,27970,27970,27690,27690,128137,1,-0.007377,-0.417034
2024-05-08,27780,28650,27400,27490,456572,1,-0.002074,-0.419108
2024-05-09,27880,28170,27110,27110,267643,1,-0.042801,-0.461909
2024-05-10,27200,27880,26630,27110,484797,1,-0.173827,-0.635736
2024-05-13,27400,27400,26530,26820,263548,1,-0.065744,-0.70148
2024-05-14,26720,27200,26720,26820,190661,1,-0.034941,-0.736421
2024-05-15,26820,27300,26150,27110,293585,1,-0.063681,-0.800102
2024-05-16,27400,27880,27300,27490,320119,1,-0.028903,-0.829005
2024-05-17,27690,28360,27490,27970,525720,1,0.0104,-0.818605
2024-05-20,28170,29510,28170,28450,408776,1,-0.044692,-0.863297
2024-05-21,28650,28650,27780,28170,319058,1,-0.119,-0.982297
2024-05-22,28260,29030,28170,28360,586522,1,-0.121698,-1.103995
2024-05-23,28840,30570,28450,30380,1600228,1,0.676424,-0.427571
2024-05-24,30380,31720,29130,29800,1123403,1,0.177703,-0.249868
2024-05-27,29800,30670,29420,29610,605348,1,-0.20377,-0.453638
2024-05-28,30570,31530,29510,29900,548701,1,0.011159,-0.442479
2024-05-29,29900,30760,29510,29510,741142,1,-0.120852,-0.563331
2024-05-30,29510,30180,28650,28840,730549,1,0.023319,-0.540012
2024-05-31,28940,29610,28550,28740,532658,1,-0.107952,-0.647964
2024-06-03,29220,29900,28940,29800,649019,1,0.232475,-0.415489
2024-06-04,30800,30800,29400,29400,578669,1,-0.040817,-0.456306
2024-06-05,29400,29800,28900,29100,431604,1,-0.13432,-0.590626
2024-06-06,29100,29500,28600,29000,265360,1,-0.016082,-0.606708
2024-06-07,29000,29200,28900,28900,238651,1,-0.016125,-0.622833
2024-06-10,29000,29600,28800,29000,367230,1,-0.033712,-0.656545
2024-06-11,29000,29200,28300,29000,526429,1,0.112387,-0.544158
2024-06-12,28800,29000,28400,28900,312059,1,0.006325,-0.537833
2024-06-13,28900,29300,28600,28700,350150,1,-0.078784,-0.616617
2024-06-14,28900,29700,28600,28600,578764,1,-0.071394,-0.688011
2024-06-17,28600,28600,27800,27900,388566,1,-0.12522,-0.813231
2024-06-18,27900,28200,27900,28000,269594,1,-0.053492,-0.866723
2024-06-19,28000,28000,27200,27400,469179,1,-0.135851,-1.002574
2024-06-20,27600,27800,27300,27800,270890,1,-0.049756,-1.05233
2024-06-21,27800,28000,27700,27800,170005,1,-0.022903,-1.075233
2024-06-24,28000,28100,26900,26900,336470,1,-0.13127,-1.206503
2024-06-25,26900,27200,26600,26800,221868,1,0.045074,-1.161429
2024-06-26,26800,27100,26500,27000,115300,1,-0.0281,-1.189529
2024-06-27,27000,27200,26700,26800,104111,1,-0.007203,-1.196732
2024-06-28,26800,27100,26500,26500,136831,1,0.007971,-1.188761
2024-07-01,26700,27400,26200,27400,184768,1,0.023486,-1.165275
2024-07-02,27400,27500,27000,27500,133105,1,-0.010897,-1.176172
2024-07-03,27700,27700,27200,27500,95763,1,0.015961,-1.160211
2024-07-04,27400,27600,27000,27500,185960,1,0.053476,-1.106735
2024-07-05,27500,27500,27100,27200,136508,1,-0.090634,-1.197369
2024-07-09,27200,28300,26800,28300,390093,1,0.0352,-1.162169
2024-07-10,28400,28600,27800,27800,371958,1,-0.0636,-1.225769
2024-07-11,28100,28100,27500,27500,200258,1,-0.0263,-1.252069
2024-07-12,27600,27700,27400,27400,139156,1,-0.0187,-1.270769
2024-07-15,27500,27900,27000,27100,569568,1,-0.3474,-1.618169
2024-07-16,26900,27300,26400,26400,632250,1,-0.1479,-1.766069
2024-07-17,26400,26700,25600,25900,391845,1,-0.1486,-1.914669
2024-07-18,26000,26100,25200,25800,239037,1,-0.0328,-1.947469
2024-07-19,26000,26400,25500,26200,251902,1,-0.0799,-2.027369
2024-07-22,26200,26400,25400,25900,238918,1,-0.062,-2.089369
2024-07-23,26000,26100,25500,25600,106737,1,-0.053,-2.142369
2024-07-24,25600,26200,25100,25800,168879,1,-0.0998,-2.242169
2024-07-25,25800,26000,25400,25600,93146,1,-0.0101,-2.252269
2024-07-26,25600,26000,25600,25700,81400,1,0.0258,-2.226469
2024-07-29,25700,26200,25700,26000,87200,1,-0.0242,-2.250669
