t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,44000,46600,44000,46500,5316020,1,1.0433,1.0433
2024-07-09,46600,46600,45800,46000,1999558,1,-0.4397,0.6036
2024-07-10,46400,47050,46000,46550,2764660,1,0.2734,0.877
2024-07-11,46650,46900,46100,46800,2442096,1,-0.0643,0.8127
2024-07-12,46900,47200,46100,46300,1818606,1,0.0556,0.8683
2024-07-15,46700,48000,46550,48000,2716682,1,0.3772,1.2455
2024-07-16,48400,48400,47100,47100,2057065,1,0.2317,1.4772
2024-07-17,47100,47100,43850,45000,3845770,1,-1.6951,-0.2179
2024-07-18,45400,47500,45000,47500,2700997,1,0.4679,0.25
2024-07-19,47500,47800,46100,46900,2055687,1,-0.5566,-0.3066
2024-07-22,46800,46800,45450,46350,2145989,1,-0.0557,-0.3623
2024-07-23,46400,47200,45200,45500,2258904,1,0.5208,0.1585
2024-07-24,45050,46500,44100,46500,3365040,1,0.3998,0.5583
2024-07-25,46000,46700,45450,46350,1152907,1,-0.0462,0.5121
2024-07-26,46350,48150,46350,47800,3342100,1,0.3876,0.8997
2024-07-29,48700,48700,47300,47800,1352000,1,-0.4952,0.4045
2024-07-30,47500,48300,46550,47100,1699000,1,-0.4995,-0.095
2024-07-31,47100,47800,45800,45900,3183900,1,-0.7392,-0.8342
2024-08-01,46100,46600,45300,45300,2571700,1,-0.3289,-1.1631
2024-08-02,45050,47500,44800,47500,2541300,1,0.239,-0.9241
2024-08-05,46400,46850,45100,45500,2337800,1,-0.741,-1.6651
2024-08-06,46400,47300,45550,47000,2129500,1,0.5727,-1.0924
2024-08-07,47200,47950,46250,47800,1943600,1,0.5091,-0.5833
2024-08-08,47750,48200,47000,47550,2286700,1,0.0886,-0.4947
2024-08-09,48000,48000,47000,48000,1397300,1,-0.142,-0.6367
2024-08-12,48700,49800,48700,48850,4056100,1,0.6257,-0.011
