t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,91160,91660,89470,90360,887014,1,-0.2807,-0.2807
2024-02-16,90360,90360,89570,89970,464012,1,-0.0059,-0.2866
2024-02-19,90070,90360,88180,88180,1071980,1,-0.2053,-0.4919
2024-02-20,88180,89270,87680,88180,743801,1,-0.0083,-0.5002
2024-02-21,88280,88280,87080,87580,1231197,1,-0.3621,-0.8623
2024-02-22,87480,89070,87480,89070,809660,1,0.039,-0.8233
2024-02-23,89370,89370,87180,87280,1196815,1,-0.451,-1.2743
2024-02-26,87280,88570,86880,87980,1104952,1,0.0483,-1.226
2024-02-27,88470,89370,87980,89370,1549072,1,0.1289,-1.0971
2024-02-28,89570,90260,88970,89670,953606,1,0.0221,-1.075
2024-02-29,90070,91260,89070,89870,1237817,1,-0.1627,-1.2377
2024-03-01,89870,95830,89770,95140,4278014,1,1.5972,0.3595
2024-03-04,95140,96030,94340,95040,1305085,1,0.0318,0.3913
2024-03-05,95330,97220,95040,96230,1859864,1,0.0343,0.4256
2024-03-06,96230,96230,93450,94440,1587208,1,-0.5774,-0.1518
2024-03-07,94740,96330,94240,95930,1919577,1,0.4323,0.2805
2024-03-08,96330,98020,95040,95930,3267549,1,0.1874,0.4679
2024-03-11,96230,100300,96030,98420,2940034,1,0.9063,1.3742
2024-03-12,98910,99210,96920,98420,1342569,1,-0.174,1.2002
2024-03-13,98420,102190,97720,100900,2398222,1,0.6977,1.8979
2024-03-15,100100,100400,97700,99500,1637629,1,-0.4322,1.4657
2024-03-18,98500,98500,92800,97300,3244920,1,-0.7901,0.6756
2024-03-19,96100,97000,94500,96500,1914152,1,-0.5684,0.1072
2024-03-20,96000,98400,95100,98200,2096682,1,0.1776,0.2848
2024-03-21,99200,100400,98100,98700,1677783,1,0.0357,0.3205
2024-03-22,99000,99000,97000,98500,1655407,1,-0.0525,0.268
2024-03-25,98300,98300,96000,96000,1406858,1,-0.4319,-0.1639
2024-03-26,96200,97500,95900,97400,1274302,1,0.556,0.3921
2024-03-27,98000,98100,96500,97500,1408179,1,0.2434,0.6355
2024-03-28,97600,97800,96900,97700,976152,1,0.0165,0.652
2024-03-29,98000,100600,98000,98900,2761127,1,0.1152,0.7672
2024-04-01,99000,99400,97600,98900,1090273,1,0.2264,0.9936
2024-04-02,98800,99000,97400,99000,1395275,1,0.144,1.1376
2024-04-03,99300,100400,97000,97000,1995217,1,-0.3548,0.7828
2024-04-04,96800,97900,96600,97500,774839,1,0.1413,0.9241
2024-04-05,96300,97200,96300,96900,719219,1,-0.0463,0.8778
2024-04-08,97000,97200,95500,95500,793778,1,-0.0199,0.8579
2024-04-09,95500,97200,95400,97000,1078215,1,0.0729,0.9308
2024-04-10,97600,101000,97200,100600,3230457,1,0.9632,1.894
2024-04-11,99900,100100,99000,100000,785721,1,0.0732,1.9672
2024-04-12,100700,104000,100700,103100,1982233,1,0.4815,2.4487
2024-04-15,103000,103000,96500,96500,1958393,1,-0.2427,2.206
2024-04-16,96900,97200,92400,95900,2420525,1,-0.6459,1.5601
2024-04-17,96800,96800,92100,92500,1765886,1,-0.5269,1.0332
2024-04-19,91500,92700,89200,91500,1682671,1,-0.319,0.7142
2024-04-22,92000,93500,91400,93400,1425801,1,0.0625,0.7767
2024-04-23,93300,93300,90900,92500,1594303,1,-0.4402,0.3365
2024-04-25,93500,94200,93000,94200,1082298,1,-0.2035,0.133
2024-04-26,93800,95100,92500,95000,1655153,1,0.2544,0.3874
2024-05-02,94900,96200,94200,96100,1162015,1,0.2127,0.6001
2024-05-03,96600,96800,95300,96500,2371476,1,-0.133,0.4671
2024-05-06,96500,96600,95300,95900,1020857,1,0.1506,0.6177
2024-05-07,96300,99200,95500,98000,2603395,1,0.6893,1.307
2024-05-08,98000,98100,96800,97600,1035182,1,-0.3081,0.9989
2024-05-09,97600,98100,96000,96500,1102918,1,-0.1702,0.8287
