t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,14650,15050,14600,15050,15960367,1,1.9221,1.9221
2024-07-09,15250,15900,15100,15300,24004028,1,2.0386,3.9607
2024-07-10,15300,15400,15000,15050,13695885,1,-1.3944,2.5663
2024-07-11,15100,15450,15050,15100,10988751,1,0.9187,3.485
2024-07-12,15100,15250,15000,15200,8417086,1,-0.4038,3.0812
2024-07-15,15350,15350,14850,15200,9151221,1,-2.6946,0.3866
2024-07-16,15300,15550,14900,14900,15022996,1,0.0169,0.4035
2024-07-17,14950,15100,13900,13900,31986364,1,-7.2932,-6.8897
2024-07-18,14000,14200,13800,14200,16768894,1,-1.824,-8.7137
2024-07-19,14200,14250,13250,13300,24775255,1,-6.7189,-15.4326
2024-07-22,13400,13750,13100,13450,12610847,1,1.0558,-14.3768
2024-07-23,13500,13650,12800,12850,11641898,1,-4.092,-18.4688
2024-07-24,12750,13300,12700,13200,11355346,1,1.3486,-17.1202
2024-07-25,13150,13250,12700,12900,8565090,1,-1.5849,-18.7051
2024-07-26,13000,13600,13000,13550,12849200,1,2.2933,-16.4118
2024-07-29,13700,13700,13350,13600,7094300,1,-0.1397,-16.5515
2024-07-30,13750,13850,13400,13400,10095000,1,-1.8537,-18.4052
2024-07-31,13600,13700,13300,13450,6437900,1,-1.5716,-19.9768
2024-08-01,13550,13600,12900,13150,11728300,1,-1.6919,-21.6687
2024-08-02,12950,13800,12900,13800,10746200,1,1.7415,-19.9272
2024-08-05,13550,13750,13050,13300,12036900,1,-3.364,-23.2912
2024-08-06,13300,13850,13300,13750,10088700,1,2.4391,-20.8521
2024-08-07,13750,13850,13450,13750,5898800,1,-0.5851,-21.4372
2024-08-08,13750,14150,13550,13800,12626800,1,-0.0936,-21.5308
2024-08-09,14000,14000,13650,13850,7389600,1,-0.3771,-21.9079
2024-08-12,13950,13950,13600,13600,8115300,1,-1.3218,-23.2297
