t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,14300,14400,14200,14300,651139,1,-0.076437,-0.076437
2024-02-16,14400,14600,14300,14600,997305,1,0.108731,0.032294
2024-02-19,14600,15000,14600,14800,2924250,1,0.088296,0.12059
2024-02-20,14900,14900,14600,14600,726129,1,-0.203525,-0.082935
2024-02-21,14700,14700,14500,14600,761125,1,-0.474687,-0.557622
2024-02-22,14600,15000,14500,14700,2200433,1,0.665085,0.107463
2024-02-23,14700,14800,14300,14300,1056498,1,-0.518206,-0.410743
2024-02-26,14300,14400,14000,14300,835490,1,-0.054664,-0.465407
2024-02-27,14300,14600,14300,14600,655578,1,0.113326,-0.352081
2024-02-28,14600,15700,14500,15100,6045127,1,1.276365,0.924284
2024-02-29,15100,15300,14700,14800,957722,1,-0.021274,0.90301
2024-03-01,15000,15300,14700,15100,2251287,1,0.488391,1.391401
2024-03-04,15100,15400,15000,15100,1319594,1,-0.20019,1.191211
2024-03-05,15200,15200,14800,14900,1167214,1,0.259678,1.450889
2024-03-06,14900,15200,14600,14800,1669188,1,-0.12213,1.328759
2024-03-07,14600,15100,14600,14900,1202248,1,-0.110876,1.217883
2024-03-08,15100,15100,14500,14600,1255613,1,-0.177325,1.040558
2024-03-11,14500,14600,14100,14200,2521664,1,-1.165194,-0.124636
2024-03-12,14200,14400,14000,14200,1059699,1,-0.341983,-0.466619
2024-03-13,14200,14500,14200,14400,1188486,1,-0.137278,-0.603897
2024-03-14,14500,15100,14500,14800,4098046,1,0.912582,0.308685
2024-03-15,14900,15000,14500,14500,1215133,1,-0.226219,0.082466
2024-03-18,14500,14700,14000,14300,2533386,1,-1.339746,-1.25728
2024-03-19,14300,14600,14300,14400,676749,1,-0.015655,-1.272935
2024-03-20,14500,14600,14300,14500,948888,1,-0.065802,-1.338737
2024-03-21,14500,14700,14500,14700,1484474,1,-0.090154,-1.428891
2024-03-22,14800,14800,14400,14600,1301654,1,-0.03244,-1.461331
2024-03-25,14600,15000,14600,14700,3017563,1,-0.326413,-1.787744
2024-03-26,14700,14900,14500,14700,1162990,1,0.11973,-1.668014
2024-03-27,15000,15200,14800,14800,3101862,1,-0.210352,-1.878366
2024-03-28,14700,15000,14600,14700,783891,1,-0.052069,-1.930435
2024-03-29,14800,15100,14700,14800,1876678,1,0.571456,-1.358979
2024-04-01,15000,15200,14600,15000,2688018,1,0.526878,-0.832101
2024-04-02,15100,15600,14700,15600,5739502,1,1.569066,0.736965
2024-04-03,15600,16200,15500,15600,5797358,1,-0.564442,0.172523
2024-04-04,15600,15900,15500,15600,2850002,1,0.006052,0.178575
2024-04-05,15600,17100,15500,16500,11079959,1,0.315093,0.493668
2024-04-08,16600,17100,16400,16400,4083481,1,-0.077425,0.416243
2024-04-09,16400,16700,15900,16400,4278876,1,-0.332358,0.083885
2024-04-10,16400,16500,15800,15800,3478328,1,-0.66277,-0.578885
2024-04-11,15700,16500,15600,16400,3516109,1,0.755543,0.176658
2024-04-12,16700,16700,15900,16400,1561159,1,0.223187,0.399845
2024-04-15,16500,16900,14800,14800,6338326,1,-0.85999,-0.460145
2024-04-16,14800,15300,14500,15200,3927895,1,-0.374565,-0.83471
2024-04-17,15200,15300,14200,14200,2719365,1,0.432459,-0.402251
2024-04-19,14200,14800,14000,14200,3141297,1,0.056709,-0.345542
2024-04-22,14100,14500,14100,14300,1495195,1,-0.030799,-0.376341
2024-04-23,14400,14500,13500,13700,2253528,1,-0.493548,-0.869889
2024-04-25,14400,14400,14000,14100,1043653,1,-0.284467,-1.154356
2024-04-26,14100,14400,14000,14200,1709554,1,0.566174,-0.588182
2024-05-02,14200,14200,13800,14000,1279771,1,-0.427891,-1.016073
2024-05-03,14000,14300,14000,14000,1090368,1,-0.183254,-1.199327
2024-05-06,14100,14500,14000,14500,2255388,1,0.5323,-0.667027
2024-05-07,14600,14600,14300,14400,1093120,1,0.231586,-0.435441
2024-05-08,14500,15400,14200,15100,4965758,1,0.802596,0.367155
2024-05-09,15200,15400,14800,15000,1953739,1,0.020233,0.387388
2024-05-10,15000,15500,14700,15200,2677517,1,-0.497829,-0.110441
2024-05-13,15300,15700,15200,15400,3194999,1,-0.329729,-0.44017
2024-05-14,15500,15700,15100,15200,918912,1,-0.09725,-0.53742
2024-05-15,15400,15400,15000,15100,2737139,1,-0.711867,-1.249287
2024-05-16,15100,16200,15100,15700,4706634,1,0.880022,-0.369265
2024-05-17,15800,16400,15800,16000,3109579,1,0.047837,-0.321428
2024-05-20,16000,16500,15700,15700,3011972,1,-0.328038,-0.649466
2024-05-21,15700,16100,15600,16100,2972861,1,0.677911,0.028445
2024-05-22,14500,17300,14500,16600,6968563,1,0.686981,0.715426
2024-05-23,18200,18200,16600,16800,3141605,1,0.685039,1.400465
2024-05-24,16900,17200,15500,15900,5264203,1,-0.898057,0.502408
2024-05-27,15900,16400,15800,16200,1708225,1,-0.023153,0.479255
2024-05-28,15500,16700,15500,16400,1740391,1,-0.111949,0.367306
2024-05-29,16600,16800,16000,16000,2851380,1,-0.488726,-0.12142
2024-05-30,16000,16100,15500,16100,2399916,1,-0.09349,-0.21491
2024-05-31,16100,16300,15900,15900,1314347,1,-0.174085,-0.388995
2024-06-03,16200,16200,15900,16200,2117953,1,-0.300957,-0.689952
