t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,28850,28950,28400,28600,4523158,1,-1.7195,-1.7195
2024-02-16,28700,28850,28400,28500,4168515,1,-0.5604,-2.2799
2024-02-19,28500,29250,28500,28750,7264645,1,-0.6679,-2.9478
2024-02-20,28950,29100,28600,28700,3269645,1,-0.4873,-3.4351
2024-02-21,28700,28950,28400,28500,3495585,1,-1.1706,-4.6057
2024-02-22,28550,29850,28550,29300,10437743,1,1.3165,-3.2892
2024-02-23,29400,29450,28100,28350,6009927,1,-2.2356,-5.5248
2024-02-26,28400,28450,27600,28100,6086246,1,-1.0853,-6.6101
2024-02-27,28300,28850,28000,28800,6461368,1,-1.0799,-7.69
2024-02-28,29150,30800,29100,30800,22296198,1,0.5677,-7.1223
2024-02-29,30900,31200,30350,30900,6366817,1,-0.6992,-7.8215
2024-03-01,30900,31900,30600,31800,7440210,1,0.0481,-7.7734
2024-03-04,32000,32200,31150,31500,8862754,1,-2.9092,-10.6826
2024-03-05,31350,32000,31150,31750,5331089,1,-0.168,-10.8506
2024-03-06,31700,31900,30500,31200,7316454,1,-1.9145,-12.7651
2024-03-07,31500,32200,31200,31600,6194312,1,0.2537,-12.5114
2024-03-08,31700,32000,30800,30800,6985343,1,-1.694,-14.2054
2024-03-11,30800,30800,29900,30050,8493681,1,-3.9538,-18.1592
2024-03-12,30200,30650,30050,30300,5786702,1,-0.09,-18.2492
2024-03-13,30500,31400,30250,31350,7368810,1,1.4407,-16.8085
2024-03-14,31800,33500,31700,32900,16362208,1,5.5926,-11.2159
2024-03-15,33300,33600,32250,32800,5095830,1,-0.1252,-11.3411
2024-03-18,33000,33250,30750,31250,14290781,1,-2.6023,-13.9434
2024-03-19,31500,32400,30950,31450,7497952,1,-0.2566,-14.2
2024-03-20,31750,32250,31500,32250,4753972,1,0.1856,-14.0144
2024-03-21,32400,32600,31750,32350,8500287,1,-2.7812,-16.7956
2024-03-22,32350,32500,31850,31950,7425941,1,-2.6529,-19.4485
2024-03-25,32350,32900,31600,31750,7723644,1,-1.9781,-21.4266
2024-03-26,31800,32700,31750,32700,4069041,1,0.7301,-20.6965
2024-03-27,33400,33400,32350,32500,5075569,1,-0.7838,-21.4803
2024-03-28,32600,32600,32150,32200,3871004,1,-1.0837,-22.564
2024-03-29,32600,33300,32299,32350,6653822,1,0.1688,-22.3952
2024-04-01,32400,33200,32299,32850,6563171,1,0.7691,-21.6261
2024-04-02,32900,34900,32299,34900,15207564,1,4.0779,-17.5482
2024-04-03,34900,34900,33900,33900,5741844,1,-1.6957,-19.2439
2024-04-04,34050,34450,33550,33550,7516205,1,-0.7966,-20.0405
2024-04-05,33550,34300,32800,32900,11498738,1,-0.6076,-20.6481
2024-04-08,33000,33500,32600,32900,5209209,1,-0.1262,-20.7743
2024-04-09,33000,33400,32700,33200,4378068,1,-0.3451,-21.1194
2024-04-10,33250,33300,31800,31800,10034303,1,-4.3417,-25.4611
2024-04-11,31600,32250,31400,31950,5665387,1,-0.6162,-26.0773
2024-04-12,32100,32800,31850,32800,3335193,1,-0.1117,-26.189
2024-04-15,33250,33450,30550,30550,13393875,1,-3.6482,-29.8372
2024-04-16,30650,30900,29550,30800,9198838,1,-1.1944,-31.0316
2024-04-17,31000,31000,29350,29350,4593222,1,-1.835,-32.8666
2024-04-19,29100,30300,28800,29300,7170231,1,-0.3296,-33.1962
2024-04-22,29550,29750,29150,29600,3090660,1,-0.0244,-33.2206
2024-04-23,29700,29700,28550,29100,5209536,1,-1.3068,-34.5274
2024-04-25,30000,30250,29550,29900,2603042,1,-0.2792,-34.8066
2024-04-26,29500,30150,29500,29750,3121220,1,-0.356,-35.1626
2024-05-02,29750,29900,29050,29550,2763419,1,-0.2182,-35.3808
2024-05-03,29700,30200,29600,29800,3731374,1,0.1403,-35.2405
2024-05-06,30200,30750,29900,30600,4151062,1,0.8326,-34.4079
2024-05-07,30800,30800,30400,30550,2861967,1,-0.2267,-34.6346
2024-05-08,30550,32400,30200,31600,9620614,1,0.0374,-34.5972
2024-05-09,31650,31800,31100,31700,3500146,1,-0.3292,-34.9264
2024-05-10,31500,32549,31100,32150,7194555,1,0.9455,-33.9809
2024-05-13,32299,32400,31700,32100,4040896,1,-0.6559,-34.6368
2024-05-14,32150,32200,31600,31900,2492004,1,-0.9241,-35.5609
2024-05-15,31950,32400,31750,31900,4136437,1,-0.2321,-35.793
2024-05-16,32150,32950,31950,32600,10106584,1,-0.0112,-35.8042
2024-05-17,32800,33300,32549,32600,6443371,1,-0.461,-36.2652
2024-05-20,32800,33000,32299,32350,5792742,1,-1.6878,-37.953
2024-05-21,32350,32900,32150,32900,5573238,1,0.4798,-37.4732
2024-05-22,33200,33450,32400,32500,6521502,1,-0.5008,-37.974
2024-05-23,32600,33250,32299,33000,5999186,1,0.4292,-37.5448
2024-05-24,32700,33900,31100,31700,11277582,1,-2.6027,-40.1475
2024-05-27,32000,32000,31400,31950,3729580,1,-0.7486,-40.8961
2024-05-28,32200,32350,31750,32100,4677681,1,-0.7325,-41.6286
2024-05-29,32200,32350,31300,31650,5740573,1,-2.2555,-43.8841
2024-05-30,31400,32000,30800,32000,6357980,1,-0.9347,-44.8188
2024-05-31,31950,32000,31500,31650,2665489,1,-0.8929,-45.7117
2024-06-03,31900,32299,31700,32299,5587559,1,0.8757,-44.836
2024-06-04,32400,32800,32200,32250,7656524,1,0.6792,-44.1568
2024-06-05,32250,32600,31700,31700,4916859,1,-1.0924,-45.2492
2024-06-06,31850,32150,31400,31800,3587944,1,-1.5369,-46.7861
2024-06-07,31900,32150,31650,31700,3211296,1,-0.5296,-47.3157
2024-06-10,31800,32400,31650,31800,4984266,1,0.6984,-46.6173
2024-06-11,32200,32299,31850,32100,4734686,1,0.4881,-46.1292
2024-06-12,32350,32800,32299,32450,4999082,1,0.5834,-45.5458
2024-06-13,32800,32800,32200,32200,3622655,1,-1.2071,-46.7529
2024-06-14,32350,32450,31200,31200,6361485,1,-1.7727,-48.5256
2024-06-17,31450,31500,31000,31050,4328211,1,-1.0135,-49.5391
2024-06-18,31600,31600,31250,31400,2456826,1,-0.3918,-49.9309
2024-06-19,31600,31600,31200,31450,2339051,1,-0.5417,-50.4726
2024-06-20,31550,31750,31150,31350,2080875,1,-0.3279,-50.8005
2024-06-21,31600,31650,31100,31450,2966300,1,-0.992,-51.7925
2024-06-24,31400,31400,29600,29600,6945071,1,-2.9935,-54.786
2024-06-25,29700,30000,29500,29900,2858533,1,-0.2974,-55.0834
2024-06-26,29800,29900,29200,29750,2900186,1,-1.1589,-56.2423
2024-06-27,29800,29800,29500,29750,1258243,1,-0.3015,-56.5438
2024-06-28,29800,29900,28800,28800,4462141,1,-1.891,-58.4348
2024-07-01,28950,29400,28750,29400,1771431,1,-0.1157,-58.5505
2024-07-02,29550,29850,29350,29750,2334958,1,-0.2094,-58.7599
2024-07-03,29800,30100,29600,30000,1750948,1,-0.0706,-58.8305
2024-07-04,29950,30250,29650,29900,1827261,1,-0.2624,-59.0929
2024-07-05,29900,30050,29600,29900,1485019,1,-0.2486,-59.3415
2024-07-08,30000,30650,29900,30300,4670578,1,1.8489,-57.4926
2024-07-09,30400,30750,30150,30550,2911032,1,0.3736,-57.119
2024-07-10,30700,30700,30000,30050,2581511,1,-0.9956,-58.1146
2024-07-11,30150,30300,29800,29800,1899760,1,-0.5738,-58.6884
2024-07-12,30000,30050,29700,29850,1798232,1,-0.3863,-59.0747
2024-07-15,29900,30000,29600,29750,2358476,1,-0.6398,-59.7145
2024-07-16,29850,29900,29550,29700,2327525,1,-0.9358,-60.6503
2024-07-17,29700,29700,27900,28500,5152434,1,-2.1262,-62.7765
2024-07-18,28800,28850,27900,28750,3570611,1,-1.0932,-63.8697
2024-07-19,28750,28800,28000,28050,2604932,1,-1.2273,-65.097
2024-07-22,28050,28050,27150,27300,4952844,1,-0.749,-65.846
2024-07-23,27400,28000,27400,27450,3266828,1,0.5422,-65.3038
2024-07-24,27450,27900,27000,27600,3614241,1,-0.6077,-65.9115
2024-07-25,27500,27750,27200,27700,1355897,1,0.0251,-65.8864
2024-07-26,27900,28000,27650,27950,2440600,1,-0.7,-66.5864
2024-07-29,28100,28150,27450,27750,2071400,1,-0.7342,-67.3206
2024-07-30,27700,27850,27300,27400,1799300,1,-0.616,-67.9366
2024-07-31,27500,28200,27450,27700,2273200,1,-0.0823,-68.0189
2024-08-01,27900,28600,27400,27850,6717300,1,-0.456,-68.4749
2024-08-02,27700,28900,26950,27900,3881200,1,-0.2635,-68.7384
2024-08-05,27500,27700,25950,25950,7587600,1,-3.337,-72.0754
2024-08-06,26400,26450,25200,26350,4473700,1,-1.1223,-73.1977
2024-08-07,26400,26550,25800,26550,3229700,1,-0.1059,-73.3036
2024-08-08,26500,26500,25800,26150,3527400,1,-0.9568,-74.2604
2024-08-09,26350,26600,25950,26600,3706100,1,0.1249,-74.1355
2024-08-12,26800,26900,26500,26850,1810500,1,0.1113,-74.0242
