t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,16040,16040,15650,15700,811376,1,-0.1636,-0.1636
2024-07-10,15740,15960,15520,15520,1208272,1,-0.1603,-0.3239
2024-07-11,15650,15700,15350,15440,909815,1,-0.09,-0.4139
2024-07-12,15520,15520,15220,15220,592177,1,-0.153,-0.5669
2024-07-15,15260,15350,15130,15310,493120,1,-0.1512,-0.7181
2024-07-16,15310,15570,15310,15570,851521,1,-0.2329,-0.951
2024-07-17,15870,15870,15180,15310,1337177,1,-0.3113,-1.2623
2024-07-18,15390,15390,15180,15390,600798,1,0.096,-1.1663
2024-07-19,15610,16000,15480,15610,1978587,1,-0.1996,-1.3659
2024-07-22,15610,15740,15390,15610,1349392,1,-0.2766,-1.6425
2024-07-23,15700,15830,14530,15050,2392715,1,-0.4972,-2.1397
2024-07-24,15050,15260,14870,15050,836568,1,-0.1994,-2.3391
2024-07-25,15200,15200,14900,15100,607612,1,-0.2866,-2.6257
2024-07-26,15200,15550,15100,15400,751071,1,-0.0624,-2.6881
2024-07-29,15450,15600,15400,15450,330370,1,-0.0632,-2.7513
2024-07-30,15450,16500,15450,16500,4751011,1,-0.2491,-3.0004
2024-07-31,16700,16700,16350,16400,1342768,1,-0.1777,-3.1781
2024-08-01,16300,16650,15300,15300,3232592,1,-0.4093,-3.5874
2024-08-02,14700,15350,14700,15200,1215252,1,-0.2772,-3.8646
2024-08-05,14500,15050,14150,14150,1865913,1,-0.3524,-4.217
2024-08-06,14900,15000,14200,15000,1126761,1,0.183,-4.034
2024-08-07,15000,15200,14600,14700,938800,1,0.0047,-4.0293
2024-08-08,14900,15000,14750,14800,389700,1,-0.0216,-4.0509
2024-08-09,14950,15200,14800,14950,223800,1,0.0013,-4.0496
2024-08-12,15000,15600,14950,15600,837900,1,0.3617,-3.6879
