t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,39000,39100,37000,37400,4739310,1,-1.288066,-1.288066
2024-02-16,36700,37700,36700,37200,4798817,1,0.033145,-1.254921
2024-02-19,37200,38000,37100,37500,6052533,1,1.065711,-0.18921
2024-02-20,33800,38000,33800,37300,5285602,1,-0.84411,-1.03332
2024-02-21,37200,37500,36900,36900,5085745,1,-1.392063,-2.425383
2024-02-22,33300,37700,33300,37000,5245630,1,-0.398004,-2.823387
2024-02-23,36600,37300,36000,36000,8056844,1,-2.814512,-5.637899
2024-02-26,36000,36300,35600,36100,4443302,1,-0.658968,-6.296867
2024-02-27,36500,36600,36000,36500,4760324,1,-0.038046,-6.334913
2024-02-28,36500,38500,36500,37200,12576757,1,1.109917,-5.224996
2024-02-29,37500,37600,36700,36800,5190256,1,-1.801164,-7.02616
2024-03-01,37000,37300,36600,36900,5830248,1,-0.588778,-7.614938
2024-03-04,36900,37700,36900,37300,7209237,1,-0.767647,-8.382585
2024-03-05,37300,37500,37000,37300,3643722,1,-0.329652,-8.712237
2024-03-06,37300,38100,37100,37500,11295552,1,-0.22128,-8.933517
2024-03-07,37500,38500,37500,37900,11763285,1,1.657777,-7.27574
2024-03-08,38000,38200,37200,37200,6460239,1,-1.480283,-8.756023
2024-03-11,37200,37300,36200,36300,9243475,1,-2.993647,-11.74967
2024-03-12,36200,36600,36100,36300,5277063,1,-0.190109,-11.939779
2024-03-13,36000,36900,33500,36900,5190132,1,0.205956,-11.733823
2024-03-14,37100,38900,37000,37900,18212087,1,3.461565,-8.272258
2024-03-15,38000,38600,37400,37900,5382266,1,-0.442668,-8.714926
2024-03-18,37900,38300,36500,36800,8899297,1,-1.333073,-10.047999
2024-03-19,37000,37600,36900,37200,3315437,1,0.119759,-9.92824
2024-03-20,37200,37600,37000,37600,4227071,1,0.798809,-9.129431
2024-03-21,37400,38800,37400,38400,14453784,1,1.773798,-7.355633
2024-03-22,38600,38900,38000,38500,7400223,1,-1.342581,-8.698214
2024-03-25,38500,40300,38400,38900,14048229,1,-3.041629,-11.739843
2024-03-26,35400,39400,35400,39100,6538530,1,-0.413426,-12.153269
2024-03-27,39500,40300,39200,39200,6957774,1,0.282798,-11.870471
2024-03-28,39400,39600,38500,39000,6702297,1,-1.985289,-13.85576
2024-03-29,39500,40000,39200,39200,6754269,1,0.929873,-12.925887
2024-04-01,39300,41200,39300,40700,15239975,1,4.068605,-8.857282
2024-04-02,40300,43800,40100,43700,16911545,1,3.614539,-5.242743
2024-04-03,43700,44200,42300,42800,11510445,1,1.706779,-3.535964
2024-04-04,42800,44400,42600,42900,10832439,1,1.976551,-1.559413
2024-04-05,43000,44800,42200,42200,13052226,1,3.114092,1.554679
2024-04-08,42500,43100,42000,42000,8502808,1,-0.143416,1.411263
2024-04-09,41500,42900,41500,42400,6126690,1,0.576638,1.987901
2024-04-10,42400,42900,41300,41500,7098995,1,-2.017673,-0.029772
2024-04-11,41500,42800,40900,42700,8882913,1,1.705135,1.675363
2024-04-12,43000,43000,42300,43000,4524393,1,0.022413,1.697776
2024-04-15,43200,43700,38800,38900,17284090,1,-1.180332,0.517444
2024-04-16,39000,39900,38400,39900,10890434,1,-0.222358,0.295086
2024-04-17,40000,40000,38600,38600,6717721,1,-3.312029,-3.016943
2024-04-19,38500,39500,38200,38400,10273658,1,0.114326,-2.902617
2024-04-22,38300,39300,38000,38800,4472591,1,-0.232077,-3.134694
2024-04-23,39000,39300,37200,38100,5899561,1,-0.856195,-3.990889
2024-04-25,39500,39500,38700,39300,4712245,1,0.037479,-3.95341
2024-04-26,39200,40300,38500,39700,7499144,1,0.8913,-3.06211
2024-05-02,39500,39800,39100,39300,3312495,1,0.230243,-2.831867
2024-05-03,39100,40200,39000,39400,6114639,1,0.346771,-2.485096
2024-05-06,39600,40600,39300,40600,5061372,1,0.09796,-2.387136
2024-05-07,40800,41000,40300,40800,3554200,1,-0.126938,-2.514074
2024-05-08,40700,43800,40000,43000,15651545,1,2.350985,-0.163089
2024-05-09,43100,43600,42200,42500,4066360,1,-0.765266,-0.928355
2024-05-10,42500,44400,42100,43900,11070019,1,0.113117,-0.815238
2024-05-13,44000,44400,43200,44100,7114366,1,-0.509296,-1.324534
2024-05-14,43600,44300,43300,43500,3782268,1,-1.655786,-2.98032
