t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,24500,24500,24270,24320,2558907,1,-0.728,-0.728
2024-02-16,24410,25000,24270,25000,5914303,1,1.4972,0.7692
2024-02-19,25090,25360,24950,25090,3476241,1,0.1012,0.8704
2024-02-20,25270,25270,24640,24680,3571983,1,-0.6672,0.2032
2024-02-21,24730,24770,24140,24230,5916556,1,-1.4744,-1.2712
2024-02-22,24270,24550,24230,24230,2510948,1,-0.223,-1.4942
2024-02-23,24270,24450,23680,23730,3708917,1,-1.2895,-2.7837
2024-02-26,23730,24090,23680,23950,2137702,1,-0.115,-2.8987
2024-02-27,24000,24320,23910,24320,2641143,1,0.2755,-2.6232
2024-02-28,24450,25270,24360,24550,6767422,1,0.4255,-2.1977
2024-02-29,24640,24730,24180,24360,3308215,1,-1.0086,-3.2063
2024-03-01,24270,24680,24230,24640,2445000,1,-0.0207,-3.227
2024-03-04,24820,24910,24550,24590,3430290,1,-1.0046,-4.2316
2024-03-05,24550,24680,24360,24360,3063667,1,-1.1325,-5.3641
2024-03-06,24410,25090,24360,24910,6720759,1,0.5803,-4.7838
2024-03-07,25000,25320,24820,24820,3901374,1,-0.6902,-5.474
2024-03-08,24860,25000,24320,24500,3768071,1,-1.0568,-6.5308
2024-03-11,24500,24550,23770,24140,3985258,1,-1.7106,-8.2414
2024-03-12,24090,24450,23910,24140,2076706,1,-0.2388,-8.4802
2024-03-13,24320,24550,24140,24550,3004885,1,0.0624,-8.4178
2024-03-14,24770,26230,24590,26230,16638408,1,0.2011,-8.2167
2024-03-15,26450,26770,26000,26450,5123256,1,0.4655,-7.7512
2024-03-18,26640,26910,25320,26360,7656025,1,0.0316,-7.7196
2024-03-19,26360,26450,25820,25910,3764349,1,-0.7395,-8.4591
2024-03-20,26140,26590,25640,26270,3546308,1,0.4165,-8.0426
2024-03-21,26550,26950,26180,26450,6496349,1,-0.2477,-8.2903
2024-03-22,26450,26590,26000,26090,4635346,1,-1.5483,-9.8386
2024-03-25,26230,26680,25730,25950,5165615,1,-1.2648,-11.1034
2024-03-26,26000,26550,25860,26320,3336913,1,0.5811,-10.5223
2024-03-27,26730,26730,26140,26450,2763387,1,-0.4913,-11.0136
2024-03-28,26640,26640,25950,26140,4617350,1,-1.47,-12.4836
2024-03-29,26230,26450,26000,26050,2136282,1,-0.3782,-12.8618
2024-04-01,25950,26320,25640,25910,3181291,1,-0.4497,-13.3115
2024-04-02,26140,27090,25910,27090,7451846,1,2.7307,-10.5808
2024-04-03,27230,27410,26410,26410,5536514,1,-0.8401,-11.4209
2024-04-04,26410,26550,26090,26090,3305288,1,-0.7169,-12.1378
2024-04-05,25910,26590,25640,25730,4525712,1,0.1696,-11.9682
2024-04-08,26050,26050,25450,25450,3026059,1,-0.9133,-12.8815
2024-04-09,25500,25730,25320,25680,2124237,1,-0.2291,-13.1106
2024-04-10,25730,25820,25230,25230,2884866,1,-1.0903,-14.2009
2024-04-11,25150,25750,25150,25400,1777631,1,-0.1433,-14.3442
2024-04-12,25700,25800,25400,25800,1360746,1,0.4634,-13.8808
2024-04-15,25850,26200,24000,24000,5126868,1,-1.8193,-15.7001
2024-04-16,24000,25100,23500,25100,5495621,1,-0.012,-15.7121
2024-04-17,25200,25300,24500,24700,2490124,1,0.0717,-15.6404
2024-04-19,24500,25100,23850,24200,2894012,1,-0.1851,-15.8255
2024-04-22,24600,24600,23900,24400,1044634,1,-0.1462,-15.9717
2024-04-23,24300,25150,24250,24400,2960133,1,0.6375,-15.3342
2024-04-25,25000,25100,24550,24600,1403357,1,-0.3421,-15.6763
2024-04-26,24050,25000,24050,24850,1781296,1,0.353,-15.3233
2024-05-02,24800,25600,24550,25600,3352881,1,0.4862,-14.8371
2024-05-03,25700,25800,25350,25400,2069745,1,-0.0686,-14.9057
