t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,8470,8850,8470,8800,724871,1,0.1317,0.1317
2024-02-16,8900,8900,8800,8810,361642,1,-0.0404,0.0913
2024-02-19,8800,8800,8620,8710,360103,1,-0.0467,0.0446
2024-02-20,8800,8840,8710,8780,422068,1,0.0483,0.0929
2024-02-21,8800,8800,8690,8760,228522,1,-0.0618,0.0311
2024-02-22,8800,9200,8770,9180,1155891,1,0.2274,0.2585
2024-02-23,9180,9180,8980,8990,688159,1,-0.2526,0.0059
2024-02-26,8990,9000,8510,8960,444317,1,-0.2409,-0.235
2024-02-27,8920,9300,8870,9200,800657,1,0.0593,-0.1757
2024-02-28,9200,9210,9040,9200,582733,1,-0.1767,-0.3524
2024-02-29,9200,9200,9070,9130,544358,1,-0.32,-0.6724
2024-03-01,9170,9170,9070,9160,470785,1,0.0546,-0.6178
2024-03-04,9600,9600,9300,9390,619085,1,-0.0271,-0.6449
2024-03-05,9480,9480,9230,9340,383841,1,-0.0239,-0.6688
2024-03-06,9370,9550,9260,9300,467534,1,-0.1322,-0.801
2024-03-07,9120,9340,9120,9280,320232,1,-0.0358,-0.8368
2024-03-08,9280,9450,9140,9400,580223,1,0.136,-0.7008
2024-03-11,9400,9420,9300,9300,421630,1,-0.1956,-0.8964
2024-03-12,9300,9340,9150,9300,371028,1,-0.1564,-1.0528
2024-03-13,9300,9300,9200,9300,272330,1,0.0027,-1.0501
2024-03-14,9360,9360,9150,9160,311980,1,-0.0901,-1.1402
2024-03-15,9150,9560,9120,9450,901279,1,0.3665,-0.7737
2024-03-18,9450,10100,9340,10100,2238271,1,0.1456,-0.6281
2024-03-19,10500,10500,10150,10350,1434546,1,0.4937,-0.1344
2024-03-20,10100,10500,9800,10500,923463,1,-0.1426,-0.277
2024-03-21,10500,10500,10200,10400,1039454,1,0.3236,0.0466
2024-03-22,10600,10700,10150,10200,747986,1,-0.2916,-0.245
2024-03-25,10300,10900,10000,10900,2119356,1,0.5647,0.3197
2024-03-26,11150,11650,11000,11650,1018803,1,0.3986,0.7183
2024-03-27,12450,12450,12100,12450,3343755,1,-0.0675,0.6508
2024-03-28,13000,13000,12600,12900,1649236,1,0.2102,0.861
2024-03-29,12800,12950,12100,12600,1403492,1,0.4301,1.2911
2024-04-01,12500,13000,12200,13000,969986,1,-0.0029,1.2882
2024-04-02,12900,13150,12500,13000,933657,1,0.0281,1.3163
2024-04-03,13000,13000,12350,12450,693136,1,-0.1402,1.1761
2024-04-04,12650,12800,11800,12400,1120737,1,-0.3102,0.8659
2024-04-05,12000,12750,12000,12300,959512,1,0.0428,0.9087
2024-04-08,12400,12600,12100,12300,456415,1,-0.0618,0.8469
2024-04-09,12300,13150,12200,13150,1042361,1,0.0236,0.8705
2024-04-10,14050,14050,13600,14050,1232095,1,0.2582,1.1287
2024-04-11,13800,14850,13450,13500,3138844,1,-0.5642,0.5645
2024-04-12,14400,14400,14250,14400,1527903,1,0.4397,1.0042
2024-04-15,15400,15400,14050,15000,4660925,1,-1.1871,-0.1829
2024-04-16,15000,15800,14600,15650,1951053,1,0.2229,0.04
2024-04-17,16000,16700,16000,16700,1396613,1,-0.4905,-0.4505
2024-04-19,17600,17850,16950,17850,3467002,1,0.1072,-0.3433
2024-04-22,18800,18800,16650,16650,1557637,1,0.3166,-0.0267
2024-04-23,15500,16650,15500,15500,2389112,1,0.9242,0.8975
2024-04-25,14950,15900,14950,15900,947609,1,-0.133,0.7645
2024-04-26,15850,16700,15050,15200,1261726,1,-0.1131,0.6514
2024-05-02,15000,16250,14500,16100,1460888,1,0.532,1.1834
2024-05-03,16100,16200,15300,15350,977604,1,-0.309,0.8744
2024-05-06,15600,16400,15550,16400,680266,1,0.3329,1.2073
2024-05-07,17500,17500,16450,16900,1984090,1,0.2252,1.4325
2024-05-08,16450,17500,16450,17200,714320,1,0.0262,1.4587
2024-05-09,17300,17350,16450,16600,680880,1,-0.1607,1.298
2024-05-10,16700,17000,16000,16350,718925,1,-0.1993,1.0987
2024-05-13,16400,16500,15250,15250,1980859,1,-0.1994,0.8993
2024-05-14,14700,15800,14700,15400,559688,1,0.0408,0.9401
2024-05-15,15400,15800,15250,15350,558597,1,-0.1834,0.7567
2024-05-16,15400,15700,15350,15650,510412,1,-0.0515,0.7052
2024-05-17,15700,15900,15450,15500,454790,1,-0.0645,0.6407
2024-05-20,16000,16550,15500,16550,1185825,1,0.3782,1.0189
2024-05-21,17050,17500,16700,16900,951022,1,0.0179,1.0368
2024-05-22,16950,17050,16100,16250,1081936,1,-0.2991,0.7377
2024-05-23,16400,17350,16050,16800,1418049,1,0.1477,0.8854
2024-05-24,16800,17050,16000,16600,881636,1,-0.2435,0.6419
2024-05-27,15450,15650,15450,15450,1176160,1,0.7048,1.3467
2024-05-28,14400,15900,14400,15600,2168944,1,0.5996,1.9463
2024-05-29,15950,15950,15000,15000,627962,1,-0.2019,1.7444
2024-05-30,15000,15800,14600,15300,765251,1,0.1052,1.8496
2024-05-31,15500,15700,15000,15300,369220,1,-0.1264,1.7232
2024-06-03,14800,15700,14800,15350,647899,1,0.1038,1.827
2024-06-04,15200,15450,15000,15100,400259,1,-0.1886,1.6384
2024-06-05,15100,16100,14950,15400,1059323,1,0.0916,1.73
2024-06-06,15450,15800,15100,15100,345531,1,-0.1306,1.5994
2024-06-07,15100,15550,15000,15000,470271,1,-0.2846,1.3148
2024-06-10,15400,15400,14700,14700,620584,1,-0.271,1.0438
2024-06-11,14950,14950,14150,14250,926965,1,-0.399,0.6448
2024-06-12,14150,14600,14000,14600,553824,1,-0.0424,0.6024
2024-06-13,14850,14850,14450,14550,278039,1,-0.0594,0.543
2024-06-14,14500,14500,14100,14100,391194,1,-0.147,0.396
2024-06-17,14100,14400,13150,13150,884710,1,-0.4511,-0.0551
