t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,49500,50300,49500,50000,870125,1,0.2855,0.2855
2024-07-10,50000,50500,49400,49500,496342,1,-0.1418,0.1437
2024-07-11,49800,49800,49400,49400,721245,1,-0.2377,-0.094
2024-07-12,49600,49800,49400,49500,451244,1,0.0005,-0.0935
2024-07-15,49500,49700,49400,49700,189220,1,-0.0996,-0.1931
2024-07-16,49700,50200,49500,49700,386365,1,-0.0215,-0.2146
2024-07-17,49700,49700,48600,49100,831445,1,-0.2371,-0.4517
2024-07-18,49100,49300,48800,49200,466456,1,-0.2885,-0.7402
2024-07-19,48900,49200,48900,49000,230111,1,-0.0469,-0.7871
2024-07-22,49200,49200,48600,48800,414510,1,-0.1238,-0.9109
2024-07-23,48700,49200,48600,48600,662445,1,-0.3257,-1.2366
2024-07-24,48600,48700,48400,48600,689898,1,-0.4481,-1.6847
2024-07-25,48500,48700,48500,48600,118905,1,-0.0117,-1.6964
2024-07-26,48700,49000,48600,48800,90100,1,-0.0184,-1.7148
2024-07-29,48800,49200,48800,48800,176400,1,-0.0979,-1.8127
2024-07-30,49200,49200,48700,48800,249700,1,-0.0683,-1.881
2024-07-31,48900,49100,48700,48800,152200,1,0.0634,-1.8176
2024-08-01,48800,49000,48700,48800,304800,1,-0.2431,-2.0607
2024-08-02,48500,48600,48300,48600,616900,1,-0.3696,-2.4303
2024-08-05,48500,48500,46800,46900,1060200,1,-0.416,-2.8463
2024-08-06,47700,48500,46600,47800,171300,1,-0.0231,-2.8694
2024-08-07,47500,47900,47500,47600,241600,1,-0.185,-3.0544
2024-08-08,47600,47700,47500,47600,188500,1,-0.0993,-3.1537
2024-08-09,47600,48000,47600,47600,159400,1,-0.0452,-3.1989
2024-08-12,47600,48100,47600,47900,245100,1,0.0961,-3.1028
