t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,48440,50490,48440,49890,1291392,1,0.4712,0.4712
2024-02-16,49890,51180,49890,50230,891768,1,-0.022,0.4492
2024-02-19,50490,50750,49980,50660,1088195,1,-0.2058,0.2434
2024-02-20,50750,50750,50060,50320,626086,1,-0.1659,0.0775
2024-02-21,50320,51690,50060,51520,1074514,1,0.2074,0.2849
2024-02-22,51600,51600,50920,51000,466586,1,-0.1418,0.1431
2024-02-23,51090,51350,50060,50060,1051386,1,-0.3539,-0.2108
2024-02-26,50410,50410,49630,49720,840189,1,-0.3634,-0.5742
2024-02-27,50320,50750,49890,50580,655015,1,0.0041,-0.5701
2024-02-28,50920,52460,50660,52370,1565959,1,0.1451,-0.425
2024-02-29,52370,53230,52200,52370,981417,1,-0.1288,-0.5538
2024-03-01,52370,53830,52370,53310,1219253,1,-0.0812,-0.635
2024-03-04,53310,54080,52890,53230,1404079,1,-0.2743,-0.9093
2024-03-05,53310,54260,52970,54170,1129980,1,0.0445,-0.8648
2024-03-06,54000,54080,53230,53400,757384,1,-0.2969,-1.1617
2024-03-07,53310,54000,53230,53910,1108310,1,-0.0969,-1.2586
2024-03-08,53910,55280,53740,54000,1690974,1,-0.2532,-1.5118
2024-03-11,53910,53910,52540,53060,1057379,1,-0.3824,-1.8942
2024-03-12,53060,53830,52720,53060,1020734,1,-0.1881,-2.0823
2024-03-13,53570,54940,53310,54430,1471115,1,0.2843,-1.798
2024-03-14,54940,55450,54510,55030,1257473,1,-0.0072,-1.8052
2024-03-15,55200,55200,53910,54770,809650,1,-0.1989,-2.0041
2024-03-18,54770,54770,51860,52800,1555213,1,-0.508,-2.5121
2024-03-19,53400,53400,52370,52890,905943,1,-0.4534,-2.9655
2024-03-20,52970,53310,52290,53140,823360,1,-0.1808,-3.1463
2024-03-21,53830,54000,53140,53830,968157,1,-0.0479,-3.1942
2024-03-22,54680,55540,54080,54860,1680649,1,0.2039,-2.9903
2024-03-25,54860,55800,54080,54340,1017832,1,-0.2254,-3.2157
2024-03-26,54340,55200,54170,54860,705759,1,0.0437,-3.172
2024-03-27,55200,55200,54510,54680,640155,1,-0.0238,-3.1958
2024-03-28,54940,55030,54510,54680,516396,1,-0.1297,-3.3255
2024-03-29,54680,55280,54430,54600,884521,1,0.0985,-3.227
2024-04-01,54600,54940,53570,54170,1105427,1,-0.1477,-3.3747
2024-04-02,54340,54860,53910,54860,987871,1,0.2642,-3.1105
2024-04-03,54940,55710,54340,54510,1182227,1,-0.3338,-3.4443
2024-04-04,54340,54510,53740,53830,943695,1,-0.3216,-3.7659
2024-04-05,53740,54170,53570,53570,620751,1,-0.0783,-3.8442
2024-04-08,53400,53660,52890,53490,760638,1,-0.1401,-3.9843
2024-04-09,53660,53910,53490,53740,486954,1,-0.0513,-4.0356
2024-04-10,53910,54080,53570,53570,560158,1,-0.0646,-4.1002
2024-04-11,53060,53830,53060,53830,849092,1,-0.1973,-4.2975
2024-04-12,54350,54700,53920,54610,641959,1,0.1163,-4.1812
2024-04-15,54090,54610,52870,52960,1364392,1,-0.1538,-4.335
2024-04-16,53130,53310,51920,52520,1127709,1,-0.304,-4.639
2024-04-17,52870,53220,52180,52180,676496,1,-0.0765,-4.7155
2024-04-19,51390,52180,50180,50440,1577895,1,-0.336,-5.0515
2024-04-22,50700,51830,50610,51220,880026,1,0.0426,-5.0089
2024-04-23,50960,51390,50610,50780,816436,1,-0.3836,-5.3925
2024-04-25,52350,52350,51570,52180,615280,1,-0.0381,-5.4306
2024-04-26,52000,53740,51570,53570,1228590,1,0.3317,-5.0989
2024-05-02,53220,55830,53050,55830,2466357,1,1.0031,-4.0958
2024-05-03,55830,57310,55830,57310,3665401,1,0.284,-3.8118
2024-05-06,57650,57650,56610,56780,1613605,1,0.0873,-3.7245
2024-05-07,57310,57310,56350,56520,1419900,1,-0.2871,-4.0116
2024-05-08,57050,57920,56260,57740,3578672,1,-0.0828,-4.0944
2024-05-09,58520,58700,57220,57390,1332458,1,-0.3433,-4.4377
2024-05-10,57650,57830,56520,57390,1203649,1,-0.1732,-4.6109
2024-05-13,57920,59130,57310,58260,1528399,1,0.1871,-4.4238
2024-05-14,58870,58870,57740,57920,592918,1,-0.2027,-4.6265
2024-05-15,57920,58440,57740,57920,1107509,1,-0.2265,-4.853
2024-05-16,58610,60000,58000,59650,1738682,1,0.5637,-4.2893
2024-05-17,59920,60000,59130,59130,1483345,1,-0.2457,-4.535
2024-05-20,59480,59650,58350,58700,1281576,1,-0.3548,-4.8898
2024-05-21,59800,59900,58700,59200,1070162,1,-0.0546,-4.9444
2024-05-22,59100,59800,58900,59200,668317,1,-0.2214,-5.1658
2024-05-23,59100,61700,58600,61500,2223278,1,0.4749,-4.6909
2024-05-24,61600,61600,59600,60800,1416788,1,-0.4322,-5.1231
2024-05-27,61000,62200,60500,62200,1002470,1,0.1893,-4.9338
2024-05-28,62500,63500,62000,63300,1048638,1,0.082,-4.8518
2024-05-29,63500,63500,61800,62000,754618,1,-0.2128,-5.0646
2024-05-30,61500,62000,61100,62000,1136145,1,-0.2495,-5.3141
