t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,58000,58000,55700,56400,1319623,1,-0.5481,-0.5481
2024-07-09,56500,58500,55700,57300,1503849,1,0.6801,0.132
2024-07-10,57400,57600,56400,56400,585180,1,-0.2596,-0.1276
2024-07-11,56900,56900,56200,56300,561841,1,-0.1028,-0.2304
2024-07-12,56500,56500,55700,56000,481863,1,-0.2208,-0.4512
2024-07-15,56400,56400,55700,55800,403189,1,-0.0906,-0.5418
2024-07-16,55800,56100,55600,55800,889460,1,-0.2425,-0.7843
2024-07-17,55800,56100,53700,54000,1129315,1,-0.492,-1.2763
2024-07-18,54200,55500,53500,54300,1204348,1,-0.2621,-1.5384
2024-07-19,54300,55300,54300,55200,729070,1,-0.1737,-1.7121
2024-07-22,55200,56500,54700,55700,991338,1,0.182,-1.5301
2024-07-23,55700,55700,54700,54700,440069,1,-0.1362,-1.6663
2024-07-24,54900,54900,53900,54600,383745,1,0.0162,-1.6501
2024-07-25,54900,54900,53700,54000,416835,1,-0.0076,-1.6577
2024-07-26,54700,55700,54500,55000,1302400,1,0.1868,-1.4709
2024-07-29,55500,55600,54900,54900,427300,1,-0.0612,-1.5321
2024-07-30,54700,55500,54700,54800,714700,1,0.1295,-1.4026
2024-07-31,54800,55600,54700,55400,926300,1,0.3425,-1.0601
2024-08-01,55800,57500,55000,55000,1285700,1,0.0369,-1.0232
2024-08-02,55000,55400,54500,55100,597000,1,-0.0499,-1.0731
2024-08-05,54700,54900,52000,52000,1609500,1,-0.5075,-1.5806
2024-08-06,52800,54000,52100,53300,738500,1,0.0714,-1.5092
2024-08-07,53900,53900,52700,52900,704300,1,-0.1532,-1.6624
2024-08-08,53000,53800,52800,52800,892100,1,-0.1595,-1.8219
2024-08-09,53400,54200,53300,53600,471000,1,0.0699,-1.752
2024-08-12,53800,54400,53400,54000,542700,1,0.0816,-1.6704
