t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,7200,7300,7100,7300,515888,1,0.141376,0.141376
2024-02-16,7300,7400,7200,7400,1636573,1,-0.930647,-0.789271
2024-02-19,7300,7400,7200,7400,1146048,1,0.16054,-0.628731
2024-02-20,7400,7600,7300,7500,3996100,1,1.323196,0.694465
2024-02-21,7400,7500,7300,7400,1006383,1,-0.140865,0.5536
2024-02-22,7400,7500,7300,7400,2142346,1,-0.383288,0.170312
2024-02-23,7400,7400,7200,7300,2205013,1,-1.479833,-1.309521
2024-02-26,7300,7400,7100,7400,2035411,1,-0.218347,-1.527868
2024-02-27,7300,7600,7300,7400,3193433,1,0.349755,-1.178113
2024-02-28,7500,7500,7300,7300,1717001,1,0.028857,-1.149256
2024-02-29,7300,7600,7300,7300,2667641,1,-0.141433,-1.290689
2024-03-01,7400,7600,7400,7600,5034808,1,1.04016,-0.250529
2024-03-04,7600,8000,7600,7800,4239693,1,0.199909,-0.05062
2024-03-05,7800,7900,7600,7800,2512994,1,-0.360628,-0.411248
2024-03-06,7800,7900,7500,7700,2703196,1,-1.075484,-1.486732
2024-03-07,7700,8300,7600,8100,7945010,1,2.153778,0.667046
2024-03-08,8100,8300,7900,8000,4169502,1,0.159792,0.826838
2024-03-11,8000,8100,7700,7700,3270500,1,-1.096964,-0.270126
2024-03-12,7700,7900,7600,7800,2780574,1,-0.372818,-0.642944
2024-03-13,7800,8100,7600,8100,3469462,1,0.659056,0.016112
2024-03-14,8100,8200,7900,8000,4013857,1,0.085915,0.102027
2024-03-15,8000,8000,7800,8000,2545549,1,-0.806145,-0.704118
2024-03-18,7900,8000,7400,7700,4676021,1,-1.285615,-1.989733
2024-03-19,7900,8000,7600,7700,2081278,1,-0.165952,-2.155685
2024-03-20,7700,7800,7600,7800,1385065,1,-0.286397,-2.442082
2024-03-21,7800,8000,7800,7900,2579970,1,0.838202,-1.60388
2024-03-22,7900,8000,7700,7800,3078351,1,-0.820445,-2.424325
2024-03-25,7800,8000,7700,7900,2611357,1,-0.868565,-3.29289
2024-03-26,7900,7900,7700,7900,1663611,1,0.423251,-2.869639
2024-03-27,7900,8000,7800,7900,1770016,1,-0.162084,-3.031723
2024-03-28,7900,8200,7800,8100,4259849,1,0.812857,-2.218866
2024-03-29,8100,8100,7900,8000,1394937,1,-0.324131,-2.542997
2024-04-01,8000,8000,7700,7900,1829418,1,-0.797342,-3.340339
2024-04-02,7800,7900,7600,7800,2603027,1,-0.379073,-3.719412
2024-04-03,7800,7900,7700,7800,1554071,1,0.035035,-3.684377
2024-04-04,7700,7800,7600,7700,1369524,1,-0.09857,-3.782947
2024-04-05,7600,7600,7400,7400,2391245,1,-1.208565,-4.991512
2024-04-08,7400,7500,7300,7400,1501103,1,-0.534925,-5.526437
2024-04-09,7400,7500,7200,7500,1486979,1,0.048299,-5.478138
2024-04-10,7400,7600,7300,7300,924879,1,0.020287,-5.457851
2024-04-11,7300,7400,7200,7400,858343,1,-0.470873,-5.928724
2024-04-12,7400,7500,7300,7500,749033,1,0.281311,-5.647413
2024-04-15,7500,7500,6700,6900,3139891,1,-1.543387,-7.1908
2024-04-16,7000,7000,6600,6900,2346879,1,0.058145,-7.132655
2024-04-17,6800,6900,6600,6600,758595,1,-0.253227,-7.385882
2024-04-19,6700,6700,6200,6300,2004618,1,-0.496576,-7.882458
2024-04-22,6400,6800,6400,6800,1147846,1,0.657034,-7.225424
2024-04-23,6800,6800,6500,6600,1067668,1,0.1203,-7.105124
2024-04-25,6800,6800,6500,6700,550224,1,-0.196616,-7.30174
2024-04-26,6600,6600,6400,6500,832858,1,-0.388686,-7.690426
2024-05-02,6500,6600,6300,6500,962542,1,-0.481804,-8.17223
2024-05-03,6500,6500,6300,6500,824220,1,-0.25874,-8.43097
2024-05-06,6400,6700,6400,6700,1377049,1,-0.047101,-8.478071
2024-05-07,6500,6700,6500,6700,593550,1,-0.19895,-8.677021
2024-05-08,6600,6700,6500,6600,1102175,1,0.500691,-8.17633
2024-05-09,6600,6700,6500,6600,913102,1,-0.103634,-8.279964
2024-05-10,6600,6700,6500,6500,1196760,1,-0.880354,-9.160318
2024-05-13,6600,6700,6500,6600,625836,1,-0.028444,-9.188762
2024-05-14,6600,6800,6600,6700,1298199,1,0.735297,-8.453465
2024-05-15,6700,6800,6600,6800,1497342,1,-0.159112,-8.612577
2024-05-16,6700,6900,6700,6800,1292027,1,-0.451777,-9.064354
2024-05-17,6800,6800,6600,6800,1048253,1,-0.010403,-9.074757
2024-05-20,6700,6900,6700,6800,917800,1,0.128256,-8.946501
2024-05-21,6800,6900,6600,6900,1596630,1,0.156476,-8.790025
2024-05-22,6800,7000,6800,6900,2714278,1,0.53574,-8.254285
2024-05-23,6900,7000,6800,7000,1443325,1,-0.008653,-8.262938
2024-05-24,7000,7000,6600,6800,1885486,1,-0.780392,-9.04333
2024-05-27,6800,6800,6600,6800,647200,1,-0.396774,-9.440104
2024-05-28,6800,6900,6700,6900,1208899,1,0.383165,-9.056939
2024-05-29,6800,6900,6700,6900,1119308,1,-0.532398,-9.589337
2024-05-30,6700,6800,6600,6800,1123301,1,-0.438299,-10.027636
2024-05-31,6700,6800,6600,6800,604026,1,-0.268416,-10.296052
2024-06-03,6800,6800,6700,6800,939206,1,-0.171476,-10.467528
2024-06-04,6800,6800,6700,6700,809578,1,-0.055958,-10.523486
2024-06-05,6800,6800,6700,6800,1226278,1,-0.107276,-10.630762
2024-06-06,6800,6800,6700,6700,922992,1,-0.419368,-11.05013
2024-06-07,6700,6800,6600,6800,793203,1,-0.130401,-11.180531
2024-06-10,6700,6800,6700,6800,603311,1,-0.482537,-11.663068
2024-06-11,6800,6800,6600,6700,821837,1,-0.049189,-11.712257
2024-06-12,6700,7300,6600,7100,5315628,1,1.574742,-10.137515
2024-06-13,7100,7100,6900,7100,1376915,1,0.063281,-10.074234
2024-06-14,7100,7100,6700,6800,3239539,1,-1.700963,-11.775197
2024-06-17,6700,6800,6600,6800,765017,1,-0.536455,-12.311652
2024-06-18,6800,6800,6600,6700,697079,1,-0.483985,-12.795637
2024-06-19,6800,6800,6600,6600,674139,1,-0.212895,-13.008532
2024-06-20,6600,6700,6500,6700,713108,1,-0.40074,-13.409272
2024-06-21,6700,6700,6600,6700,723430,1,-0.424406,-13.833678
2024-06-24,6700,6700,6400,6500,1447904,1,-0.62084,-14.454518
2024-06-25,6500,6600,6500,6600,567931,1,0.016519,-14.437999
2024-06-26,6600,6600,6400,6500,457855,1,0.091539,-14.34646
2024-06-27,6500,6500,6400,6400,279545,1,-0.177665,-14.524125
2024-06-28,6400,6500,6300,6400,561530,1,-0.21273,-14.736855
2024-07-01,6400,6500,6300,6400,289951,1,-0.106673,-14.843528
2024-07-02,6500,6500,6400,6500,290339,1,-0.170905,-15.014433
2024-07-03,6500,6500,6400,6500,215525,1,-0.013487,-15.02792
2024-07-04,6500,6600,6400,6500,599831,1,-0.291989,-15.319909
2024-07-05,6500,6500,6400,6500,320150,1,-0.25782,-15.577729
2024-07-08,6400,6500,6400,6400,352936,1,-0.0569,-15.634629
2024-07-09,6500,6500,6400,6500,610424,1,-0.1911,-15.825729
2024-07-10,6400,6500,6400,6500,466108,1,-0.043,-15.868729
2024-07-11,6500,6500,6400,6500,546176,1,-0.0046,-15.873329
2024-07-12,6500,6500,6400,6500,359189,1,-0.2154,-16.088729
2024-07-15,6500,6500,6400,6400,320804,1,-0.2536,-16.342329
2024-07-16,6400,6500,6400,6400,449134,1,-0.21,-16.552329
2024-07-17,6400,6500,6200,6300,715091,1,-0.3284,-16.880729
2024-07-18,6300,6400,6200,6300,588590,1,-0.3527,-17.233429
2024-07-19,6400,6400,6200,6300,335779,1,-0.2119,-17.445329
2024-07-22,6300,6300,6000,6100,1238324,1,-0.091,-17.536329
2024-07-23,6000,6200,5900,5900,506941,1,-0.2647,-17.801029
2024-07-24,6000,6000,5700,6000,648569,1,0.1832,-17.617829
2024-07-25,5900,5900,5800,5900,438800,1,-0.2374,-17.855229
2024-07-26,5800,6000,5800,6000,388300,1,0.0472,-17.808029
2024-07-29,6000,6000,5900,6000,308800,1,0.173,-17.635029
2024-07-30,6000,6000,5800,5800,464500,1,-0.3775,-18.012529
2024-07-31,5900,5900,5800,5800,424200,1,-0.1092,-18.121729
2024-08-01,5800,5800,5400,5500,1085900,1,-0.4914,-18.613129
2024-08-02,5500,5600,5400,5600,418300,1,-0.0745,-18.687629
2024-08-05,5600,5600,5000,5100,1238600,1,-0.5882,-19.275829
2024-08-06,5100,5300,5100,5200,571400,1,0.2476,-19.028229
2024-08-07,5300,5300,5200,5200,250600,1,0.0394,-18.988829
2024-08-08,5200,5300,5100,5200,717400,1,-0.4035,-19.392329
2024-08-09,5300,5400,5200,5300,568300,1,0.1655,-19.226829
2024-08-12,5300,5400,5200,5300,380900,1,-0.1067,-19.333529
