t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,13450,13500,13350,13400,1371832,1,-0.1946,-0.1946
2024-02-16,13350,13500,13350,13450,1607224,1,-0.1036,-0.2982
2024-02-19,13500,13700,13450,13700,3857387,1,0.3223,0.0241
2024-02-20,13700,13750,13500,13600,1908375,1,0.0081,0.0322
2024-02-21,13600,13650,13450,13500,2049145,1,-0.7874,-0.7552
2024-02-22,13500,14050,13450,13800,6538316,1,1.7824,1.0272
2024-02-23,13800,13900,13400,13400,4220209,1,-1.1334,-0.1062
2024-02-26,13450,13500,13250,13400,2490743,1,-0.196,-0.3022
2024-02-27,13400,13500,13300,13450,3096492,1,-0.0401,-0.3423
2024-02-28,13500,13550,13350,13400,3199875,1,-0.4731,-0.8154
2024-02-29,13400,13500,13200,13300,4324353,1,-1.0367,-1.8521
2024-03-01,13300,13400,13250,13400,1987466,1,-0.2,-2.0521
2024-03-04,13450,13600,13350,13450,2952564,1,-0.0689,-2.121
2024-03-05,13450,13450,13350,13400,1590891,1,-0.2976,-2.4186
2024-03-06,13400,13500,13250,13300,2634670,1,-0.5657,-2.9843
2024-03-07,13350,13350,13200,13300,1810026,1,-0.509,-3.4933
2024-03-08,13300,13350,13100,13100,2749021,1,-1.0442,-4.5375
2024-03-11,13100,13200,12800,12800,3453962,1,-1.1629,-5.7004
2024-03-12,12800,12950,12400,12450,6522469,1,-3.0089,-8.7093
2024-03-13,12450,12550,12100,12250,6292550,1,-1.6283,-10.3376
2024-03-14,12300,12500,12200,12350,8759045,1,-4.2746,-14.6122
2024-03-15,12450,12900,12450,12600,11069876,1,-3.7976,-18.4098
2024-03-18,12750,12900,12300,12400,5070956,1,-1.2692,-19.679
2024-03-19,12450,12650,12350,12650,3890541,1,0.4102,-19.2688
2024-03-20,12600,12650,12300,12450,4271502,1,-1.6936,-20.9624
2024-03-21,12500,12600,12400,12450,4492782,1,-1.2105,-22.1729
2024-03-22,12500,12550,12350,12450,4257242,1,-1.5321,-23.705
2024-03-25,12450,12500,12300,12300,4236583,1,-0.8759,-24.5809
2024-03-26,12350,12350,12150,12250,3061061,1,-1.0295,-25.6104
2024-03-27,12350,12750,12350,12550,5911606,1,0.3501,-25.2603
2024-03-28,12650,12700,12450,12500,2021898,1,0.0101,-25.2502
2024-03-29,12500,12600,12350,12400,2110859,1,-0.3062,-25.5564
2024-04-01,12400,12500,12300,12450,2177627,1,-0.1159,-25.6723
2024-04-02,12450,12500,12300,12450,2705853,1,-0.5811,-26.2534
2024-04-03,12400,12450,12300,12300,2444881,1,-0.8338,-27.0872
2024-04-04,12300,12400,12150,12200,2964533,1,-1.1794,-28.2666
2024-04-05,12100,12600,12100,12350,4525987,1,0.7443,-27.5223
2024-04-08,12400,12500,12350,12350,2210237,1,-0.2758,-27.7981
2024-04-09,12350,12450,12300,12450,2341717,1,-0.2126,-28.0107
2024-04-10,12500,12500,12400,12400,1816852,1,-0.5735,-28.5842
2024-04-11,12350,12450,12250,12350,1598063,1,0.0244,-28.5598
2024-04-12,12400,13000,12400,12800,7145399,1,0.6399,-27.9199
2024-04-15,12750,12800,12100,12150,4246707,1,-1.797,-29.7169
2024-04-16,12200,12250,11300,11500,5672308,1,-1.9644,-31.6813
2024-04-17,11700,11700,11300,11300,2506183,1,-0.7006,-32.3819
2024-04-19,11100,11150,10700,10750,3966477,1,-0.7763,-33.1582
2024-04-22,10800,11050,10800,11000,1566139,1,-0.3617,-33.5199
2024-04-23,11050,11050,10750,10750,1796266,1,-0.8719,-34.3918
2024-04-25,11100,11100,10900,10950,1030102,1,-0.3449,-34.7367
2024-04-26,10900,11000,10850,10900,1622209,1,-0.2122,-34.9489
2024-05-02,10950,11100,10950,11050,876541,1,0.0543,-34.8946
2024-05-03,11100,11200,11050,11150,1331286,1,-0.4529,-35.3475
2024-05-06,11400,11450,11250,11450,1816216,1,0.1553,-35.1922
2024-05-07,11650,11700,11400,11450,2096597,1,-0.1452,-35.3374
2024-05-08,11400,11500,11150,11300,2596897,1,-0.8643,-36.2017
2024-05-09,11400,11450,11200,11200,2112092,1,-1.1064,-37.3081
2024-05-10,11250,11300,11100,11200,1624609,1,-0.6746,-37.9827
2024-05-13,11250,11250,11150,11200,1284042,1,-0.3736,-38.3563
2024-05-14,11300,11450,11250,11400,2159385,1,0.2122,-38.1441
2024-05-15,11400,11450,11350,11350,1376693,1,0.0093,-38.1348
2024-05-16,11400,11450,11350,11400,1595981,1,0.1889,-37.9459
2024-05-17,11400,11400,11300,11400,1405302,1,-0.4216,-38.3675
2024-05-20,11450,11800,11450,11800,4040472,1,1.026,-37.3415
2024-05-21,11800,12150,11700,12000,4570107,1,0.8634,-36.4781
2024-05-22,12100,12100,11800,11850,3289883,1,-0.8498,-37.3279
2024-05-23,11900,12050,11750,12000,2517486,1,-0.3261,-37.654
2024-05-24,11950,12550,11900,12300,7858682,1,0.812,-36.842
2024-05-27,12300,12450,12200,12250,1982726,1,0.427,-36.415
2024-05-28,12350,12400,12150,12300,4013920,1,0.4604,-35.9546
2024-05-29,12300,12350,12150,12150,2552832,1,-0.8386,-36.7932
2024-05-30,12100,12100,11650,11800,4330248,1,-1.6152,-38.4084
2024-05-31,11900,12000,11750,11750,2045903,1,-0.5323,-38.9407
2024-06-03,11850,12000,11800,12000,1784092,1,0.0402,-38.9005
2024-06-04,12050,12100,11850,11950,1413573,1,-0.6595,-39.56
2024-06-05,11950,12500,11900,12350,7391832,1,1.6364,-37.9236
2024-06-06,12350,12450,12150,12200,2240545,1,-0.496,-38.4196
2024-06-07,12200,12250,12100,12250,1978778,1,-0.7865,-39.2061
2024-06-10,12300,12350,12050,12100,3870019,1,-1.2631,-40.4692
2024-06-11,12100,12200,11850,11850,2951243,1,-1.0966,-41.5658
2024-06-12,11950,12050,11850,12050,1581385,1,-0.2114,-41.7772
2024-06-13,12100,12150,11950,11950,1535039,1,-0.5391,-42.3163
2024-06-14,12000,12150,11850,11850,2001286,1,-0.8448,-43.1611
2024-06-17,11900,11900,11700,11750,1930449,1,-0.491,-43.6521
2024-06-18,11800,11900,11700,11750,1128689,1,-0.3745,-44.0266
2024-06-19,11750,11800,11600,11700,1550373,1,-0.4071,-44.4337
2024-06-20,11700,11950,11700,11750,2258409,1,-0.0304,-44.4641
2024-06-21,11750,11850,11600,11600,2238896,1,-0.5347,-44.9988
2024-06-24,11700,11750,11400,11400,2288406,1,-0.813,-45.8118
2024-06-25,11500,11550,11400,11550,885959,1,0.0283,-45.7835
2024-06-26,11550,11750,11550,11600,1902554,1,-0.2122,-45.9957
2024-06-27,11600,11750,11600,11600,1102939,1,-0.0529,-46.0486
2024-06-28,11700,12000,11600,11800,6283052,1,-0.0506,-46.0992
2024-07-01,11850,12000,11650,12000,2714842,1,0.7735,-45.3257
2024-07-02,12050,12100,11900,12000,2603357,1,0.3459,-44.9798
2024-07-03,12000,12200,11950,12100,1923348,1,0.5484,-44.4314
2024-07-04,12100,12150,12000,12050,1613728,1,-0.1255,-44.5569
2024-07-05,12100,12150,11850,12000,1329537,1,-0.2263,-44.7832
2024-07-08,11950,12150,11900,12100,3369423,1,0.7062,-44.077
2024-07-09,12100,12550,12000,12500,6547942,1,1.2679,-42.8091
2024-07-10,12500,12750,12500,12650,4801463,1,-0.5356,-43.3447
2024-07-11,12500,12650,12350,12350,5282116,1,-1.963,-45.3077
2024-07-12,12350,12500,12300,12350,2985043,1,-1.0333,-46.341
2024-07-15,12450,12700,12350,12650,4372445,1,0.1084,-46.2326
2024-07-16,12700,13350,12700,13050,9074256,1,0.9848,-45.2478
2024-07-17,13200,13250,12250,12250,5903170,1,-1.7092,-46.957
2024-07-18,12500,12950,12500,12950,5837678,1,0.7488,-46.2082
2024-07-19,12950,13000,12700,12950,6529572,1,-2.3938,-48.602
2024-07-22,12950,13500,12800,13300,6893971,1,1.056,-47.546
2024-07-23,13300,13350,12750,12850,4201530,1,-2.2139,-49.7599
2024-07-24,12950,13100,12600,12950,3016323,1,-0.035,-49.7949
2024-07-25,12950,13350,12750,13100,2553819,1,-0.054,-49.8489
2024-07-26,13150,13300,13050,13100,1654100,1,-0.178,-50.0269
2024-07-29,13100,13300,12950,13150,2746300,1,-0.6704,-50.6973
2024-07-30,13150,13150,12800,12950,2423700,1,-0.8671,-51.5644
2024-07-31,13100,13150,12900,12900,2742100,1,-0.5802,-52.1446
2024-08-01,12900,12950,12450,12500,10071600,1,-6.9017,-59.0463
2024-08-02,12350,12850,12350,12800,2333900,1,0.3171,-58.7292
2024-08-05,12450,12750,12000,12300,6104600,1,-2.4118,-61.141
2024-08-06,12350,12700,12300,12700,4142700,1,-0.6161,-61.7571
2024-08-07,12800,12850,12500,12700,1142200,1,-0.0803,-61.8374
2024-08-08,12700,12850,12550,12650,1136100,1,-0.1106,-61.948
2024-08-09,12750,12900,12650,12750,2251100,1,0.2144,-61.7336
2024-08-12,12800,12850,12650,12850,1386900,1,-0.2026,-61.9362
