t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,30000,30400,28600,29400,340567,1,-0.0964,-0.0964
2024-07-10,29300,30900,29000,30100,365212,1,-0.0102,-0.1066
2024-07-11,30400,30800,29700,30300,185969,1,-0.0427,-0.1493
2024-07-12,30300,31300,30300,30800,317354,1,-0.0263,-0.1756
2024-07-15,30800,30900,30000,30300,115096,1,-0.0587,-0.2343
2024-07-16,30300,30700,28000,28100,495808,1,-0.1311,-0.3654
2024-07-17,29000,29000,25600,26600,564514,1,-0.1505,-0.5159
2024-07-18,26800,26800,24900,26500,351481,1,0.0242,-0.4917
2024-07-19,25800,26700,25000,25500,152307,1,-0.0455,-0.5372
2024-07-22,25600,25600,23100,24300,265022,1,-0.0312,-0.5684
2024-07-23,24300,24300,23000,23500,126753,1,-0.0516,-0.62
2024-07-24,23000,24000,22600,24000,154620,1,0.0487,-0.5713
2024-07-25,23300,24300,23300,24300,101746,1,-0.0136,-0.5849
2024-07-26,24300,24800,24200,24700,126700,1,-0.0223,-0.6072
2024-07-29,24700,24800,24500,24600,128900,1,-0.0487,-0.6559
2024-07-30,24600,25300,24000,24600,140500,1,0.0099,-0.646
2024-07-31,24800,24800,24000,24300,99400,1,-0.0145,-0.6605
2024-08-01,23700,23900,22000,22400,254200,1,-0.0532,-0.7137
2024-08-02,22400,23000,21700,22900,97400,1,0.0109,-0.7028
2024-08-05,22000,23200,21200,21500,177100,1,0.0047,-0.6981
2024-08-06,19100,22700,19100,22400,78600,1,0.0373,-0.6608
2024-08-07,22400,22500,22000,22300,31000,1,-0.0005,-0.6613
2024-08-08,22200,22400,21700,22000,67000,1,0.0251,-0.6362
2024-08-09,22300,22700,22200,22700,83800,1,-0.0018,-0.638
2024-08-12,22500,23700,22500,23400,78000,1,0.0265,-0.6115
