t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,11250,11640,11210,11400,44497151,1,11.6368,11.6368
2024-02-16,11490,11590,11350,11400,21027857,1,-2.378,9.2588
2024-02-19,11490,11590,11350,11490,24134787,1,-0.6512,8.6076
2024-02-20,11490,11590,11300,11350,23246358,1,-5.8869,2.7207
2024-02-21,11400,11490,11300,11400,21828395,1,-4.006,-1.2853
2024-02-22,11490,11830,11450,11590,44925666,1,10.2587,8.9734
2024-02-23,11590,11780,11350,11350,50675265,1,-0.4341,8.5393
2024-02-26,11350,11400,11210,11250,29271563,1,-8.8191,-0.2798
2024-02-27,11300,11400,11210,11400,26098326,1,-0.6268,-0.9066
2024-02-28,11450,11450,11300,11400,20487601,1,-0.7904,-1.697
2024-02-29,11490,11540,11250,11300,30603858,1,-5.7229,-7.4199
2024-03-01,11350,11400,11250,11400,27251324,1,-2.7371,-10.157
2024-03-04,11450,11490,11300,11350,24841455,1,-8.3252,-18.4822
2024-03-05,11350,11400,11210,11350,22729306,1,-3.7841,-22.2663
2024-03-06,11300,11540,11250,11300,32553176,1,1.1164,-21.1499
2024-03-07,11350,11450,11250,11400,20280698,1,4.276,-16.8739
2024-03-08,11450,11490,11210,11210,26203785,1,-6.6317,-23.5056
2024-03-11,11210,11210,10870,10920,30066232,1,-12.5755,-36.0811
2024-03-12,10870,10970,10780,10820,22469306,1,-5.148,-41.2291
2024-03-13,10820,11110,10820,11060,14862621,1,2.8903,-38.3388
2024-03-14,11110,11110,10920,10970,17681547,1,-5.5321,-43.8709
2024-03-15,10970,11010,10870,10920,17717722,1,-2.1681,-46.039
2024-03-18,10920,11010,10540,10680,32012445,1,-9.8711,-55.9101
2024-03-19,10730,10820,10680,10730,11499527,1,-0.8916,-56.8017
2024-03-20,10730,10970,10630,10870,23453200,1,3.0078,-53.7939
2024-03-21,10970,11060,10870,10970,21471698,1,-4.7234,-58.5173
2024-03-22,11060,11210,10970,11060,26773781,1,-0.5485,-59.0658
2024-03-25,11060,11110,10970,10970,20821063,1,-4.6529,-63.7187
2024-03-26,10970,11060,10920,11010,15221986,1,-3.8768,-67.5955
2024-03-27,11010,11110,10970,11010,12283088,1,-1.4295,-69.025
2024-03-28,11060,11160,11010,11110,14021741,1,0.8008,-68.2242
2024-03-29,11110,11110,10920,10920,18020393,1,-2.2367,-70.4609
2024-04-01,10970,11010,10870,10970,13439174,1,-2.2976,-72.7585
2024-04-02,10920,10920,10780,10920,21365971,1,-2.3845,-75.143
2024-04-03,10920,10920,10730,10780,21726972,1,-9.5029,-84.6459
2024-04-04,10820,10820,10730,10730,14847458,1,-1.8183,-86.4642
2024-04-05,10680,10730,10630,10680,13626277,1,-3.5701,-90.0343
2024-04-08,10680,10730,10580,10630,12707592,1,-2.0445,-92.0788
2024-04-09,10680,10780,10580,10730,11968809,1,0.092,-91.9868
2024-04-10,10780,10870,10730,10730,9101800,1,0.1523,-91.8345
2024-04-11,10680,10780,10630,10630,12384123,1,-2.9618,-94.7963
2024-04-12,10730,10820,10630,10820,25359876,1,0.0776,-94.7187
2024-04-15,10970,11540,10780,10870,98781226,1,6.7246,-87.9941
2024-04-17,11160,11160,10630,10630,32449747,1,-15.411,-103.4051
2024-04-19,10730,10870,10630,10680,38204965,1,0.6153,-102.7898
2024-04-22,10820,10920,10680,10780,17338150,1,-2.4496,-105.2394
2024-04-23,10780,10820,10390,10490,31275856,1,-10.4161,-115.6555
2024-04-25,10730,10780,10630,10630,13151406,1,-2.9416,-118.5971
2024-04-26,10680,11110,10680,10970,33011096,1,7.8642,-110.7329
2024-05-03,11300,11350,11060,11110,21217091,1,-4.6436,-115.3765
2024-05-06,11160,11250,11110,11250,27193768,1,3.0225,-112.354
2024-05-07,11300,11300,11110,11160,18193438,1,-4.1541,-116.5081
2024-05-08,11110,11590,11010,11400,59806530,1,0.609,-115.8991
2024-05-09,11450,11590,11250,11250,24170585,1,-4.4483,-120.3474
2024-05-10,11300,11350,11110,11110,18448761,1,-4.4108,-124.7582
2024-05-13,11160,11250,11110,11160,21839224,1,-0.2709,-125.0291
2024-05-14,11210,11300,11060,11110,16891999,1,-2.1064,-127.1355
2024-05-15,11160,11210,11060,11110,21590347,1,-1.9482,-129.0837
2024-05-16,11210,11350,11160,11350,36807608,1,7.8407,-121.243
2024-05-17,11400,11780,11350,11490,67040365,1,16.8744,-104.3686
2024-05-20,11640,11690,11300,11350,36340195,1,-11.3243,-115.6929
2024-05-21,11350,11400,11210,11350,36875811,1,-2.772,-118.4649
2024-05-22,11400,11400,11160,11160,38638991,1,-12.6476,-131.1125
2024-05-23,11160,11250,11060,11250,26710964,1,-3.1424,-134.2549
2024-05-24,11160,11300,11010,11060,39090344,1,-10.731,-144.9859
2024-05-27,11110,11160,11010,11110,12441007,1,-0.2116,-145.1975
2024-05-28,11110,11210,11060,11210,14800418,1,-4.4135,-149.611
2024-05-29,11210,11250,11010,11060,24392391,1,-8.4249,-158.0359
2024-05-30,11010,11060,10870,10920,25844514,1,-5.2028,-163.2387
2024-05-31,10970,11010,10920,10920,14567737,1,-2.8154,-166.0541
2024-06-03,11010,11250,10970,11160,20656500,1,5.6745,-160.3796
2024-06-04,11210,11210,11060,11060,16268234,1,-5.4314,-165.811
2024-06-05,11110,11160,11010,11060,19419316,1,-3.7976,-169.6086
2024-06-06,11110,11590,11010,11350,69375809,1,18.0193,-151.5893
2024-06-07,11400,11490,11250,11300,17171677,1,-3.6326,-155.2219
2024-06-10,11400,11450,11160,11250,28900337,1,-1.6404,-156.8623
2024-06-11,11250,11300,11110,11160,22674066,1,-5.2043,-162.0666
2024-06-12,11160,11350,11110,11300,19876264,1,5.5176,-156.549
2024-06-13,11400,11590,11250,11490,48457514,1,16.4515,-140.0975
2024-06-14,11590,11590,11210,11210,26582103,1,-11.3683,-151.4658
2024-06-17,11210,11250,11060,11160,22368687,1,-6.7225,-158.1883
2024-06-18,11210,11250,11110,11110,13225340,1,-1.5264,-159.7147
2024-06-19,11160,11210,11010,11110,20548329,1,-2.9318,-162.6465
2024-06-20,11160,11210,11010,11110,15677973,1,-1.851,-164.4975
2024-06-21,11110,11210,11060,11060,11766727,1,-0.6704,-165.1679
2024-06-24,11110,11110,10820,10820,37135797,1,-14.028,-179.1959
2024-06-25,10920,10970,10870,10920,13001870,1,2.3223,-176.8736
2024-06-26,10920,10970,10820,10870,10797203,1,-3.4202,-180.2938
2024-06-27,10870,10970,10820,10820,11464069,1,-2.5256,-182.8194
