t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,17700,18000,17600,17900,11202017,1,-2.579945,-2.579945
2024-02-16,17700,18100,16500,17900,11784915,1,-0.462295,-3.04224
2024-02-19,17900,18000,17600,17900,14338696,1,-0.14696,-3.1892
2024-02-20,16600,18300,16600,18000,23392593,1,-1.881389,-5.070589
2024-02-21,18100,18200,17800,17900,10168906,1,-4.204032,-9.274621
2024-02-22,17900,18100,17700,17700,11779116,1,-1.507856,-10.782477
2024-02-23,16700,17800,16100,17300,25805239,1,4.498337,-6.28414
2024-02-26,17200,17800,16800,17800,20440176,1,8.477314,2.193174
2024-02-27,17500,18100,17500,17900,14094220,1,1.47232,3.665494
2024-02-28,17400,18000,17400,17600,15216941,1,-1.948673,1.716821
2024-02-29,17600,18100,17600,17700,27899376,1,4.747084,6.463905
2024-03-01,17800,18200,17700,18000,34231535,1,5.648955,12.11286
2024-03-04,17900,18500,17500,18100,22089528,1,-1.231532,10.881328
2024-03-05,16800,18200,16800,18200,17984970,1,2.630505,13.511833
2024-03-06,18200,18300,17700,17800,21556286,1,-5.86611,7.645723
2024-03-07,16100,18900,16100,18700,62656749,1,22.051827,29.69755
2024-03-08,18700,19100,18400,18500,39577826,1,-4.48578,25.21177
2024-03-11,18500,18600,17800,18000,25532536,1,-7.368202,17.843568
2024-03-12,18000,18100,17600,17700,18900315,1,-2.056917,15.786651
2024-03-13,17300,18600,17300,18500,32528200,1,10.48929,26.275941
2024-03-14,18200,19400,18200,19100,63372543,1,8.464497,34.740438
2024-03-15,19100,19300,18700,19100,29220309,1,2.367749,37.108187
2024-03-18,18900,19700,18100,18900,49574580,1,-5.171432,31.936755
2024-03-19,19000,19400,18700,18800,31059601,1,0.770883,32.707638
2024-03-20,18800,19200,18700,19200,25392000,1,6.160072,38.86771
2024-03-21,19300,20200,19300,19900,58075662,1,11.856974,50.724684
2024-03-22,20000,20400,19800,20000,30711453,1,1.901589,52.626273
2024-03-25,20000,20700,19900,20100,39879054,1,1.863446,54.489719
2024-03-26,19800,20400,19800,20400,22543685,1,1.623071,56.11279
2024-03-27,20400,20800,20300,20500,16856877,1,-1.470143,54.642647
2024-03-28,20600,20700,20300,20600,18639693,1,1.635561,56.278208
2024-03-29,20600,20700,20100,20100,18355814,1,-5.168164,51.110044
2024-04-01,20100,20500,19700,20300,23819742,1,-1.293292,49.816752
2024-04-02,20300,21400,19900,21200,32148622,1,5.936918,55.75367
2024-04-03,21300,21500,20400,20800,23464149,1,-3.458803,52.294867
2024-04-04,20300,20900,20300,20400,20892897,1,-1.583777,50.71109
2024-04-05,20300,20400,19800,19800,27480207,1,1.468609,52.179699
2024-04-08,19800,20000,19500,19500,15242040,1,0.518716,52.698415
2024-04-09,19500,20200,19400,20200,19822622,1,5.329586,58.028001
2024-04-10,20100,20300,19700,19800,11612702,1,-0.560152,57.467849
2024-04-11,19700,20300,19400,20100,19549798,1,3.587908,61.055757
2024-04-12,20100,20900,19800,20800,29052672,1,11.045386,72.101143
2024-04-15,20800,21400,19000,19000,50495135,1,-6.802359,65.298784
2024-04-16,19000,19400,18600,19300,38201121,1,-2.786953,62.511831
2024-04-17,19100,19600,18600,18600,20102153,1,-2.337927,60.173904
2024-04-19,16800,18600,16800,17400,44790623,1,-2.030875,58.143029
2024-04-22,18000,18900,17600,18400,24252185,1,5.186869,63.329898
2024-04-23,18400,18600,17500,17900,17849311,1,-1.344671,61.985227
2024-04-25,18600,18700,18200,18700,15203995,1,3.619825,65.605052
2024-04-26,18200,18700,18100,18300,15190042,1,-3.481546,62.123506
2024-05-02,18300,18500,18000,18200,10885550,1,-2.81661,59.306896
2024-05-03,18200,18700,18100,18200,12955428,1,-0.507772,58.799124
2024-05-06,18300,19000,18200,18800,24460632,1,9.539612,68.338736
2024-05-07,19000,19000,18600,18800,13398211,1,-1.099415,67.239321
2024-05-08,18800,19300,18500,19000,24629605,1,1.783053,69.022374
2024-05-09,19100,19300,18700,18800,15600868,1,-3.436072,65.586302
2024-05-10,19000,19200,18600,19000,19328553,1,-0.907379,64.678923
2024-05-13,19200,19200,18800,19000,11067444,1,-2.247112,62.431811
2024-05-14,19000,19400,18800,19200,18773535,1,0.946265,63.378076
2024-05-15,19200,19700,19100,19400,22611868,1,5.230736,68.608812
2024-05-16,19500,19900,19300,19400,20071168,1,-3.906358,64.702454
2024-05-17,19400,19800,19300,19600,18311145,1,5.087283,69.789737
2024-05-20,19700,20000,19600,19600,19644746,1,1.641696,71.431433
2024-05-21,17700,19700,17700,19500,18397598,1,-3.435788,67.995645
2024-05-22,17600,19900,17600,19300,28434226,1,-0.415186,67.580459
2024-05-23,19100,19400,18900,19400,21248924,1,-0.525262,67.055197
2024-05-24,19400,19400,18300,18600,30502358,1,-9.508298,57.546899
2024-05-27,16800,18700,16800,18500,9030299,1,-0.561001,56.985898
2024-05-28,18600,18900,18500,18800,9420066,1,1.516644,58.502542
2024-05-29,18500,19000,18500,18500,9779051,1,-2.735721,55.766821
2024-05-30,18500,18500,18000,18300,20830090,1,-0.322714,55.444107
2024-05-31,18300,18500,18200,18200,6665773,1,-0.059153,55.384954
2024-06-03,18200,18800,18200,18700,10628723,1,1.755169,57.140123
2024-06-04,18700,19000,18600,18600,9014780,1,-0.126872,57.013251
2024-06-05,18500,19000,18400,18500,11719462,1,-0.55798,56.455271
2024-06-06,18500,18800,18500,18600,8862364,1,0.977432,57.432703
2024-06-07,18600,18900,18500,18600,6800678,1,-2.021978,55.410725
2024-06-10,18600,19100,18300,18700,15256192,1,1.792427,57.203152
2024-06-11,18700,19200,18700,19200,17182118,1,-1.914292,55.28886
2024-06-12,18000,19600,17600,19500,18429021,1,4.707953,59.996813
2024-06-13,19500,19800,19400,19400,14146823,1,-2.412981,57.583832
2024-06-14,18800,19700,18700,18700,19216020,1,-1.861154,55.722678
2024-06-17,17200,18800,17200,18500,12704188,1,-2.677728,53.04495
2024-06-18,16700,18700,16700,18500,7069500,1,-1.87482,51.17013
2024-06-19,18500,18700,18300,18400,10267017,1,-3.041621,48.128509
2024-06-20,18200,18600,18000,18200,11663359,1,-5.355069,42.77344
2024-06-21,18100,18400,18000,18200,7303695,1,-1.945497,40.827943
2024-06-24,16400,18300,16400,17400,27198979,1,-8.388131,32.439812
2024-06-25,16000,17700,15700,17500,7335273,1,0.472451,32.912263
2024-06-26,17300,17700,17100,17300,7786838,1,-0.18484,32.727423
2024-06-27,17300,17400,17100,17300,6506400,1,-1.758832,30.968591
2024-06-28,15600,17400,15600,16800,15762987,1,-4.784633,26.183958
2024-07-01,16500,17100,15600,17100,4831669,1,0.423975,26.607933
2024-07-02,17000,17400,16700,17300,3814767,1,0.695393,27.303326
2024-07-03,15600,17800,15600,17600,11593598,1,-0.522712,26.780614
2024-07-04,17500,18100,17400,17700,8422474,1,2.580782,29.361396
2024-07-05,17700,17800,17400,17600,6715827,1,-1.318455,28.042941
2024-07-08,17700,17800,17400,17400,8753767,1,-0.1771,27.865841
2024-07-09,17400,17800,17300,17700,10817509,1,-0.8227,27.043141
2024-07-10,16500,17800,16300,17500,6062043,1,-1.2554,25.787741
2024-07-11,15800,17800,15800,17600,7446943,1,1.8807,27.668441
2024-07-12,17700,17800,17400,17500,3931265,1,-1.849,25.819441
2024-07-15,17300,17700,17300,17500,4722380,1,-0.0617,25.757741
2024-07-16,16300,17700,15800,17400,7383534,1,-1.0708,24.686941
2024-07-17,17500,17700,16800,17100,11664026,1,-1.9512,22.735741
2024-07-18,17100,17300,16800,17200,6119164,1,-1.8867,20.849041
2024-07-19,15500,17500,15500,17300,13787005,1,-1.9825,18.866541
2024-07-22,17400,17900,17300,17800,19933975,1,-0.2,18.666541
2024-07-23,17800,17800,17100,17100,7129678,1,-3.1645,15.502041
2024-07-24,16900,17100,16600,17000,11586513,1,-0.3845,15.117541
2024-07-25,15900,16900,15900,16600,8149365,1,-1.2059,13.911641
2024-07-26,16600,16900,16600,16800,4691200,1,0.0263,13.937941
