t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,20850,20900,20500,20850,2657078,1,-0.2978,-0.2978
2024-07-09,20600,20900,20550,20900,2912460,1,-0.0983,-0.3961
2024-07-10,20700,20950,20700,20900,2778748,1,0.5718,0.1757
2024-07-11,20850,20950,20800,20900,2678743,1,0.5058,0.6815
2024-07-12,20850,20950,20750,20800,2682765,1,0.2382,0.9197
2024-07-15,20800,20800,20600,20800,2565237,1,1.2913,2.211
2024-07-16,20750,20900,20600,20800,2565673,1,1.4747,3.6857
2024-07-17,20850,20900,20650,20800,2664312,1,0.5719,4.2576
2024-07-18,20800,21000,20600,21000,2942097,1,0.5058,4.7634
2024-07-19,20950,21100,20800,21050,2690976,1,0.7003,5.4637
2024-07-22,21100,21200,20850,21150,2891493,1,0.3061,5.7698
2024-07-23,21200,21500,21050,21450,2704096,1,0.2371,6.0069
2024-07-24,21500,22000,21400,21950,2671502,1,0.5432,6.5501
2024-07-25,21150,21900,21150,21900,2474348,1,0.4585,7.0086
2024-07-26,22000,22000,21600,21950,2276500,1,0.6646,7.6732
2024-07-29,21950,21950,21650,21950,2376500,1,0.4474,8.1206
2024-07-30,21700,21950,21700,21900,2209700,1,0.1923,8.3129
2024-07-31,21900,21900,21600,21800,2533400,1,0.5769,8.8898
2024-08-01,21800,22300,21600,21950,2893400,1,0.8562,9.746
2024-08-02,21950,22600,21400,22600,2979300,1,1.5691,11.3151
2024-08-05,22300,22300,21050,21900,2951100,1,0.0171,11.3322
2024-08-06,22100,22100,21550,22000,3062200,1,0.5858,11.918
2024-08-07,21650,22000,21600,21600,2693400,1,0.2798,12.1978
2024-08-08,21200,21650,21200,21600,2521800,1,0.1853,12.3831
2024-08-09,21650,21700,21400,21700,2280100,1,0.3038,12.6869
2024-08-12,21600,21850,21550,21750,2237000,1,0.3375,13.0244
