t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,35200,35500,35000,35100,14894504,1,-3.4,-3.4
2024-02-16,35350,35400,34900,35000,18040913,1,-2.0694,-5.4694
2024-02-19,35000,35200,34400,35200,32840902,1,-4.3856,-9.855
2024-02-20,35650,35800,35250,35300,18108398,1,3.6343,-6.2207
2024-02-21,35300,35300,34700,34950,18558880,1,-4.318,-10.5387
2024-02-22,34850,34950,34550,34650,14416824,1,-4.6421,-15.1808
2024-02-23,34600,34900,34050,34150,24151042,1,-7.092,-22.2728
2024-02-26,34100,35350,34050,35100,26881680,1,6.8881,-15.3847
2024-02-27,35250,36450,35100,35900,47053280,1,12.6571,-2.7276
2024-02-28,36100,36250,35650,36100,26072310,1,1.6656,-1.062
2024-02-29,36400,37700,36300,37000,43202733,1,9.0427,7.9807
2024-03-01,37400,37700,37000,37350,21499365,1,2.18,10.1607
2024-03-04,37800,37850,37000,37150,25354754,1,-5.4945,4.6662
2024-03-05,37150,37450,36650,37400,31396834,1,-3.9883,0.6779
2024-03-06,37400,37800,36700,37100,27687766,1,-4.6164,-3.9385
2024-03-07,37000,37950,36850,37700,34069906,1,7.1085,3.17
2024-03-08,37900,38100,36800,36800,35890489,1,-12.2579,-9.0879
2024-03-11,36800,37150,36200,36350,24854489,1,-4.1226,-13.2105
2024-03-12,36350,36600,36050,36300,21933665,1,-1.9717,-15.1822
2024-03-13,36400,38100,36300,37950,35795637,1,12.7666,-2.4156
2024-03-14,38050,39000,37800,37850,39376627,1,4.2554,1.8398
2024-03-15,37800,37900,37100,37800,27984321,1,-2.0855,-0.2457
2024-03-18,37850,38000,35600,36650,48630337,1,-13.4073,-13.653
2024-03-19,36700,37000,36150,36150,14633252,1,-4.4897,-18.1427
2024-03-20,36400,37200,36250,37200,16369591,1,1.4594,-16.6833
2024-03-21,37950,38000,37500,37650,27181801,1,0.7306,-15.9527
2024-03-22,37800,38450,37600,37800,29828270,1,1.2604,-14.6923
2024-03-25,37850,38300,37300,37500,24351652,1,-4.5762,-19.2685
