t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,31200,31700,31000,31250,17191502,1,-0.1004,-0.1004
2024-02-16,31300,31400,30750,30800,20797470,1,-8.1711,-8.2715
2024-02-19,30950,30950,30450,30700,15783572,1,-4.6291,-12.9006
2024-02-20,30700,31050,30550,30700,16161281,1,0.0072,-12.8934
2024-02-21,31000,32000,30850,31500,44469935,1,8.7208,-4.1726
2024-02-22,31400,31500,31000,31050,15528581,1,-4.5401,-8.7127
2024-02-23,31150,31550,30650,30650,33555215,1,-1.5905,-10.3032
2024-02-26,30650,30750,30150,30500,24766318,1,-6.0098,-16.313
2024-02-27,30600,30850,30350,30750,15453918,1,1.9352,-14.3778
2024-02-28,30850,31500,30750,31400,28488223,1,3.5967,-10.7811
2024-02-29,31600,31800,31100,31550,23717370,1,0.2041,-10.577
2024-03-01,31750,32200,31700,31950,27194729,1,2.0111,-8.5659
2024-03-04,32100,32200,31650,31750,17160970,1,-3.3241,-11.89
2024-03-05,31750,31950,31550,31900,12354778,1,-0.7667,-12.6567
2024-03-06,31800,32150,31350,31550,18420990,1,-4.5271,-17.1838
2024-03-07,31550,31600,31150,31300,17425324,1,-5.1554,-22.3392
2024-03-08,31350,31500,30600,30650,34889636,1,-10.3468,-32.686
2024-03-11,30600,30700,30100,30200,20140766,1,-8.1797,-40.8657
2024-03-12,30100,30550,30100,30250,13197597,1,-0.0328,-40.8985
2024-03-13,30300,30850,30150,30850,16467696,1,2.1026,-38.7959
2024-03-14,30900,30950,30400,30450,15815024,1,-4.1821,-42.978
2024-03-15,30450,30750,30200,30500,17496203,1,-0.1866,-43.1646
2024-03-18,30500,30700,29700,30250,26188462,1,-5.2555,-48.4201
2024-03-19,30300,30550,29900,30400,13161522,1,-0.2995,-48.7196
2024-03-20,30400,31250,30150,31150,28149376,1,10.3327,-38.3869
2024-03-21,31250,31500,31100,31500,15679993,1,2.7917,-35.5952
2024-03-22,31650,32400,31550,31650,32810815,1,6.0457,-29.5495
2024-03-25,31600,31700,30800,30850,25050727,1,-8.5392,-38.0887
2024-03-26,30800,31000,30750,31000,19271784,1,-4.0542,-42.1429
2024-03-27,31000,31200,30650,30900,15099637,1,-6.1344,-48.2773
2024-03-28,31200,32000,30800,32000,32001386,1,9.736,-38.5413
2024-03-29,32250,32600,31600,31600,34580461,1,-7.2142,-45.7555
2024-04-01,31500,31700,31050,31400,24134887,1,-6.0083,-51.7638
2024-04-02,30500,30950,29600,30200,105105504,1,-14.3958,-66.1596
2024-04-03,30500,30800,30100,30100,26966528,1,-4.8303,-70.9899
2024-04-04,30100,30200,29650,29700,30279141,1,-10.0241,-81.014
2024-04-05,29500,29850,29150,29600,25462352,1,-2.9841,-83.9981
2024-04-08,29300,29450,28950,29000,26858560,1,-2.9975,-86.9956
2024-04-09,29000,29250,28700,29150,17954743,1,-3.2099,-90.2055
2024-04-10,29300,29450,29100,29100,14934420,1,-3.3045,-93.51
2024-04-11,28900,29100,28750,28850,10465198,1,-1.0834,-94.5934
2024-04-12,29100,29400,28900,29100,15447924,1,-3.0818,-97.6752
2024-04-15,29000,29400,27500,27500,24343377,1,-5.8917,-103.5669
2024-04-16,27650,27800,27200,27300,22656873,1,-2.4658,-106.0327
2024-04-17,27600,27600,26800,26800,12965614,1,-3.7871,-109.8198
2024-04-19,26400,28000,26150,26800,23056912,1,3.0209,-106.7989
2024-04-22,27400,28150,27100,27650,13425620,1,2.24,-104.5589
2024-04-23,27550,28150,27550,27800,18402711,1,-0.6876,-105.2465
2024-04-25,28600,28650,28200,28450,9381505,1,-2.2217,-107.4682
2024-04-26,28250,28950,28100,28200,11934454,1,0.4559,-107.0123
2024-05-02,28350,28350,27500,27600,10056448,1,-1.8765,-108.8888
2024-05-03,27800,28050,27500,27550,8853601,1,-1.9703,-110.8591
2024-05-06,27950,28150,27650,28100,8812082,1,0.6258,-110.2333
2024-05-07,28150,28350,28100,28300,8562772,1,-0.2664,-110.4997
2024-05-08,28300,28350,27850,27950,9181334,1,-3.2173,-113.717
2024-05-09,28000,28150,27800,27800,7553720,1,-1.694,-115.411
2024-05-10,27900,28000,27600,27600,6904745,1,-2.6536,-118.0646
2024-05-13,27700,27700,27200,27250,7864955,1,-2.2313,-120.2959
2024-05-14,27300,27550,27200,27250,7430271,1,-1.3978,-121.6937
2024-05-15,27350,27900,27300,27800,9802818,1,1.8242,-119.8695
2024-05-16,28100,28650,28100,28400,16794136,1,2.9136,-116.9559
2024-05-17,28500,28550,28300,28500,7140434,1,-0.2798,-117.2357
2024-05-20,28750,28750,28200,28300,10166307,1,-3.8647,-121.1004
2024-05-21,28300,28450,27850,28300,9964133,1,-2.8339,-123.9343
2024-05-22,28300,28400,27950,28000,7855561,1,-2.626,-126.5603
2024-05-23,27900,28550,27700,28550,10712583,1,-2.8138,-129.3741
2024-05-24,28450,29250,28300,28700,28348342,1,0.8754,-128.4987
2024-05-27,28800,28950,28350,28700,6565399,1,-0.47,-128.9687
2024-05-28,28800,29000,28600,28850,9014443,1,0.0438,-128.9249
2024-05-29,28900,28900,28250,28250,10811613,1,-3.9994,-132.9243
2024-05-30,28000,28250,27600,27850,16004079,1,-4.7687,-137.693
2024-05-31,28050,28200,27800,27850,5568948,1,-1.6354,-139.3284
2024-06-03,28100,29750,28100,29750,28588385,1,0.615,-138.7134
2024-06-04,30500,30600,29850,29950,20236239,1,2.9274,-135.786
2024-06-05,30000,30400,29600,29600,15298255,1,0.0924,-135.6936
2024-06-06,29950,31100,29650,30700,31386562,1,10.1019,-125.5917
2024-06-07,30700,31100,30700,30750,12986624,1,-0.0351,-125.6268
2024-06-10,31200,31700,31050,31100,14946060,1,-1.8623,-127.4891
2024-06-11,31200,31350,30700,31200,14067901,1,-0.9199,-128.409
2024-06-12,31250,31350,30900,31350,10810785,1,-0.688,-129.097
2024-06-13,31500,31900,31250,31650,19847039,1,6.6858,-122.4112
2024-06-14,31650,31900,30550,30550,15868667,1,-3.6132,-126.0244
2024-06-17,30400,30800,30250,30500,14509403,1,-2.8583,-128.8827
2024-06-18,30550,31150,30550,30550,11581601,1,-0.5456,-129.4283
2024-06-19,30600,31200,30450,30900,13607252,1,0.0855,-129.3428
2024-06-20,31100,31100,30000,30750,21301089,1,-4.2899,-133.6327
2024-06-21,30700,31350,30450,30650,11455782,1,2.1259,-131.5068
2024-06-24,30650,30750,29400,29500,20298206,1,-7.3891,-138.8959
2024-06-25,29700,29800,29250,29600,11200911,1,-3.0062,-141.9021
2024-06-26,29400,29650,28950,29500,14573632,1,-3.9201,-145.8222
2024-06-27,29300,29500,29100,29200,6436928,1,-1.9981,-147.8203
2024-06-28,29050,29400,28800,28800,9183808,1,-1.9679,-149.7882
2024-07-01,29000,29350,28800,29300,5213378,1,0.8733,-148.9149
2024-07-02,29350,29750,29250,29600,5432463,1,1.0349,-147.88
2024-07-03,29550,30100,29550,29900,6485869,1,0.4094,-147.4706
2024-07-04,29900,29950,29600,29900,4387042,1,-0.6805,-148.1511
2024-07-05,29900,30150,29600,30100,6501714,1,0.3015,-147.8496
2024-07-08,30000,30300,29750,30150,11713425,1,0.7062,-147.1434
2024-07-09,30150,30400,29950,30350,11045860,1,1.2804,-145.863
2024-07-10,30350,30450,29850,29850,7897898,1,-1.6791,-147.5421
2024-07-11,30000,30150,29850,29850,5413840,1,-0.2001,-147.7422
2024-07-12,30000,30150,29700,29750,8717865,1,0.4456,-147.2966
2024-07-15,29800,29950,29600,29750,3660326,1,-1.1917,-148.4883
2024-07-16,29750,30200,29750,29900,7817908,1,0.5069,-147.9814
2024-07-17,30100,31200,29950,30400,25062780,1,6.1054,-141.876
2024-07-18,30400,30600,29950,30600,10720413,1,-2.2101,-144.0861
2024-07-19,30550,30850,30150,30300,8141744,1,-1.2578,-145.3439
2024-07-22,30300,30600,29900,30000,10810770,1,-0.8785,-146.2224
2024-07-23,30100,30300,29000,29000,11986346,1,-4.2831,-150.5055
2024-07-24,29000,29450,28600,29200,12414350,1,-1.1205,-151.626
2024-07-25,29150,29150,28600,28800,8571850,1,-3.0753,-154.7013
2024-07-26,28800,29100,28750,29100,5366200,1,0.1566,-154.5447
2024-07-29,29200,29400,28800,29100,5947800,1,-2.8364,-157.3811
2024-07-30,29050,29150,28800,28900,4458200,1,-0.7508,-158.1319
2024-07-31,29000,29250,28850,29000,6032600,1,-0.512,-158.6439
2024-08-01,29000,29250,28050,28050,11998200,1,-3.9587,-162.6026
2024-08-02,28000,28550,27950,28400,10783600,1,0.0629,-162.5397
2024-08-05,28200,28400,27000,27200,21028700,1,-8.1238,-170.6635
2024-08-06,27550,28450,27300,28400,8945400,1,2.7626,-167.9009
2024-08-07,28400,28500,27900,28400,7957500,1,-1.5033,-169.4042
2024-08-08,28050,28600,28000,28250,5944200,1,-0.5661,-169.9703
2024-08-09,28650,28950,28200,28850,9925300,1,3.003,-166.9673
2024-08-12,28850,29350,28600,29200,9701500,1,4.5752,-162.3921
