t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,39500,40900,39500,40900,1621635,1,0.3681,0.3681
2024-07-09,40850,41250,40600,40900,876081,1,-0.1573,0.2108
2024-07-10,40900,41000,40350,40350,1040005,1,-0.5146,-0.3038
2024-07-11,40700,40900,40350,40350,781361,1,-0.1218,-0.4256
2024-07-12,40550,40650,39800,40050,583002,1,-0.27,-0.6956
2024-07-15,40050,40400,39600,39750,713450,1,-0.2482,-0.9438
2024-07-16,39950,40700,39750,39750,843627,1,-0.1389,-1.0827
2024-07-17,40200,40200,37500,38650,1305703,1,-0.5376,-1.6203
2024-07-18,38800,39200,38450,39200,933507,1,-0.1734,-1.7937
2024-07-19,39200,39450,38300,38650,749381,1,-0.2495,-2.0432
2024-07-22,38650,38800,37200,37400,1331475,1,-0.2039,-2.2471
2024-07-23,38000,38000,36600,36600,1119905,1,-0.4443,-2.6914
2024-07-24,36600,38200,35950,37700,1478317,1,0.2698,-2.4216
2024-07-25,37500,37650,37150,37650,757321,1,0.1895,-2.2321
2024-07-26,38000,38500,37950,38500,1004500,1,0.2973,-1.9348
2024-07-29,39000,39000,38600,38800,622900,1,0.1458,-1.789
2024-07-30,38800,39200,38100,38300,762300,1,-0.1352,-1.9242
2024-07-31,38200,38500,37950,38450,563400,1,-0.2154,-2.1396
2024-08-01,38450,38450,36500,36600,1509500,1,-0.6563,-2.7959
2024-08-02,35100,36750,34550,36750,2281000,1,0.0183,-2.7776
2024-08-05,35700,36000,34200,34200,1587900,1,-0.6609,-3.4385
2024-08-06,35000,35650,34050,34950,1080800,1,0.2581,-3.1804
2024-08-07,34900,35450,34550,35300,680300,1,-0.2117,-3.3921
2024-08-08,34700,35350,34650,35200,1302900,1,-0.3441,-3.7362
2024-08-09,35300,35750,35300,35650,941600,1,0.1395,-3.5967
2024-08-12,35400,36000,35400,35950,803400,1,-0.1908,-3.7875
