t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,18180,18890,18160,18620,13075633,1,2.8353,2.8353
2024-02-16,18670,18770,18380,18670,7221365,1,-1.3814,1.4539
2024-02-19,18690,18940,18640,18860,9737540,1,-0.6983,0.7556
2024-02-20,18810,18910,18670,18860,5415889,1,-0.4886,0.267
2024-02-21,18790,19080,18720,18910,7676668,1,0.8618,1.1288
2024-02-22,18910,19570,18890,19540,9648022,1,3.3463,4.4751
2024-02-23,19760,20540,19400,19440,16448608,1,0.8403,5.3154
2024-02-26,19490,20120,19490,19980,9618134,1,1.2213,6.5367
2024-02-27,20070,20340,19880,20340,8415616,1,0.2511,6.7878
2024-02-28,20390,20540,20150,20460,7526807,1,-1.7418,5.046
2024-02-29,20580,20580,20050,20460,9029623,1,-1.5434,3.5026
2024-03-01,20220,20290,20000,20290,9293155,1,-2.6031,0.8995
2024-03-04,20240,20460,20050,20290,8437205,1,0.1818,1.0813
2024-03-05,20270,20460,20070,20460,6318727,1,0.3322,1.4135
2024-03-06,20390,21090,20270,20730,11171492,1,0.3357,1.7492
2024-03-07,20780,21000,20560,20660,7216167,1,-1.1744,0.5748
2024-03-08,20580,20660,19880,19880,20131010,1,-8.9383,-8.3635
2024-03-11,19830,19980,19350,19590,11185905,1,-3.6559,-12.0194
2024-03-12,19570,20030,19440,19980,8499431,1,0.4439,-11.5755
2024-03-13,19980,20370,19860,20370,7894788,1,1.3827,-10.1928
2024-03-14,20410,20410,20000,20070,6639948,1,-1.4261,-11.6189
2024-03-15,20000,20200,19590,20070,7543048,1,-0.9093,-12.5282
2024-03-18,19980,19980,19110,19440,11299700,1,-3.1241,-15.6523
2024-03-19,19490,19590,19200,19540,5332006,1,-0.7261,-16.3784
2024-03-20,19590,20580,19420,20510,16884851,1,5.5651,-10.8133
2024-03-21,20660,21870,20660,21870,16928673,1,8.4797,-2.3336
2024-03-22,22060,22060,21360,21770,10796262,1,-1.0712,-3.4048
2024-03-25,22110,22500,21410,21720,10740465,1,-0.5196,-3.9244
2024-03-26,21720,22400,21580,22280,7757903,1,2.2126,-1.7118
2024-03-27,22400,22400,21870,22090,4641838,1,-1.2972,-3.009
2024-03-28,23610,23610,23130,23280,30028687,1,4.6334,1.6244
2024-03-29,23250,23350,23060,23060,6406374,1,-0.9984,0.626
2024-04-01,23060,23130,22720,23010,8564819,1,-0.8513,-0.2253
2024-04-02,23080,23280,22790,23110,13562041,1,3.7792,3.5539
2024-04-03,22980,23250,22690,22690,8778957,1,-2.1244,1.4295
2024-04-04,22550,22670,22280,22310,10760090,1,-1.732,-0.3025
2024-04-05,22060,22260,21890,21920,12131797,1,-0.1794,-0.4819
2024-04-08,21820,22230,21770,22060,9966966,1,1.4151,0.9332
2024-04-09,22060,22210,21920,22210,5385947,1,0.9196,1.8528
2024-04-10,22310,22690,22110,22140,7756913,1,-0.8737,0.9791
