t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,20000,20600,19950,20300,11867950,1,1.1981,1.1981
2024-07-10,20400,21050,19950,20450,13682497,1,0.3346,1.5327
2024-07-11,20750,21200,20300,20300,11810848,1,-0.6333,0.8994
2024-07-12,20500,20550,20100,20500,6623525,1,-0.7003,0.1991
2024-07-15,20550,20850,20400,20600,5386790,1,-0.0166,0.1825
2024-07-16,20850,21000,20350,20400,8368287,1,-0.891,-0.7085
2024-07-17,20500,20500,19000,19000,23226524,1,-6.0332,-6.7417
2024-07-18,19000,19450,18550,19450,12226967,1,-3.0073,-9.749
2024-07-19,19450,19450,18600,18700,8523194,1,-3.3608,-13.1098
2024-07-22,18500,18700,17450,18000,15575979,1,-2.4573,-15.5671
2024-07-23,18100,18400,17200,17200,12645191,1,-3.9335,-19.5006
2024-07-24,17000,18000,17000,17800,11382154,1,-0.3145,-19.8151
2024-07-25,17700,17750,17350,17750,5510232,1,0.0264,-19.7887
2024-07-26,17800,17950,17500,17900,5322300,1,-0.4803,-20.269
2024-07-29,18200,18700,17900,18600,10116100,1,1.5858,-18.6832
2024-07-30,18700,18700,18000,18400,7138600,1,-1.2172,-19.9004
2024-07-31,18450,18750,17850,18100,6238200,1,-2.4856,-22.386
2024-08-01,18100,18150,16850,16850,22155800,1,-7.8329,-30.2189
2024-08-02,16500,17700,16450,17450,10483000,1,1.36,-28.8589
2024-08-05,17100,17300,16250,16300,13796200,1,-3.9537,-32.8126
2024-08-06,16900,17400,16350,17400,12976400,1,1.9336,-30.879
2024-08-07,17650,17800,17050,17800,9061800,1,-0.3345,-31.2135
2024-08-08,17500,17900,16600,16600,21107900,1,-4.2594,-35.4729
2024-08-09,16800,17700,15800,16600,33652500,1,-6.623,-42.0959
2024-08-12,16500,16700,15900,16050,12703100,1,-3.9573,-46.0532
