t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-03-27,35810,36190,35810,36090,7311,1,0.0007,0.0266
2024-04-16,35340,36000,35150,35900,67564,1,-0.0095,-0.0095
2024-05-16,34540,34780,34540,34640,19400,1,0.0104,0.0009
2024-05-24,34780,34780,34680,34780,56530,1,-0.0135,-0.0112
2024-05-31,35060,35390,35060,35060,31512,1,-0.0135,0.0303
2024-06-17,37550,37550,36560,36660,171138,1,0.055,0.0438
2024-06-25,35650,35950,35600,35650,40845,1,0.0014,0.0023
2024-07-02,35950,35950,35500,35600,14154,1,-0.0044,0.0259
2024-07-09,35550,35700,35500,35500,21913,1,-0.014,0.0126
2024-07-10,35500,35500,35200,35250,67980,1,-0.0018,0.0108
2024-07-11,35100,35250,34800,34850,98753,1,-0.0444,-0.0336
2024-07-12,34800,35300,34800,35250,13690,1,-0.0025,-0.0361
2024-07-15,35250,35350,34750,34800,46773,1,-0.0189,-0.055
2024-07-16,34950,35200,34950,35000,20350,1,0.0079,-0.0471
2024-07-17,34800,34950,34650,34700,40362,1,-0.0234,-0.0705
2024-07-18,34600,34700,34300,34350,36966,1,0.0006,-0.0699
2024-07-19,34400,35200,34300,35200,83849,1,0.0506,-0.0193
2024-07-22,35650,35650,34900,34900,103840,1,-0.0299,-0.0492
2024-07-23,34900,34900,34450,34500,32464,1,-0.0104,-0.0596
2024-07-24,34250,34500,34100,34500,84710,1,0.0275,-0.0321
2024-07-25,35300,35300,34450,34500,22134,1,0.0092,-0.0229
2024-07-26,34850,34900,34600,34850,85400,1,0.064,0.0411
2024-07-29,34950,34950,34700,34950,84100,1,0.0443,0.0854
2024-07-30,35100,35100,34800,34950,75900,1,0.0088,0.0942
2024-07-31,34950,34950,34800,34900,77300,1,0.0436,0.1378
2024-08-01,35000,35000,34500,34900,24900,1,-0.0012,0.1366
2024-08-02,34850,34850,34100,34750,27800,1,-0.0131,0.1235
2024-08-05,34650,34900,34300,34600,82700,1,0.038,0.1615
2024-08-06,34800,34800,34300,34400,34800,1,-0.0175,0.144
2024-08-07,34700,35000,34650,34900,26900,1,0.0055,0.1495
2024-08-08,34900,34900,34700,34800,9100,1,0.0002,0.1497
2024-08-09,34800,34950,34800,34850,17800,1,-0.005,0.1447
2024-08-12,34500,35000,34500,34900,65200,1,-0.0008,0.1439
