t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,38140,38500,37500,38360,599018,1,0.3123,0.3123
2024-02-16,38450,38450,37910,38140,543766,1,0.1811,0.4934
2024-02-19,38140,38140,37730,37910,462775,1,0.3102,0.8036
2024-02-20,37910,38360,37640,38320,826121,1,0.5165,1.3201
2024-02-21,38320,38360,37910,38320,338470,1,0.0431,1.3632
2024-02-22,38320,38680,38180,38640,1075513,1,0.8223,2.1855
2024-02-23,38640,39360,38640,39090,1711676,1,1.0063,3.1918
2024-02-26,39090,39230,38640,39230,1024971,1,0.5951,3.7869
2024-02-27,39230,39590,38730,39410,1370672,1,0.6045,4.3914
2024-02-28,39640,39640,38910,39410,969899,1,0.4553,4.8467
2024-02-29,39450,39450,38820,39230,684021,1,0.1265,4.9732
2024-03-01,39090,39500,38680,39500,1023157,1,0.1082,5.0814
2024-03-04,39950,39950,39450,39820,1021081,1,0.4081,5.4895
2024-03-05,39770,39910,39360,39860,1170797,1,0.4862,5.9757
2024-03-06,39550,39770,39230,39730,453184,1,0.1467,6.1224
2024-03-07,39360,40910,39360,40910,1760111,1,0.7205,6.8429
2024-03-08,40860,41050,40450,40910,892665,1,0.2159,7.0588
2024-03-11,40910,41050,40360,40910,881472,1,0.1351,7.1939
2024-03-12,40910,40950,40180,40820,846847,1,0.3449,7.5388
2024-03-13,40500,41050,40230,40820,1112452,1,0.4187,7.9575
2024-03-14,40910,42550,40730,42180,1909913,1,0.656,8.6135
2024-03-15,42320,42550,41590,42270,1096752,1,0.3731,8.9866
2024-03-18,41820,42820,40180,42090,1393786,1,0.3211,9.3077
2024-03-19,42000,42000,40680,41550,806777,1,0.1362,9.4439
2024-03-20,41550,42000,40950,41770,2196256,1,1.1355,10.5794
2024-03-21,41770,42230,41320,41950,1528289,1,0.548,11.1274
2024-03-22,41950,42050,41320,41820,1309956,1,0.1515,11.2789
2024-03-25,41730,41730,40770,41230,1039354,1,0.0835,11.3624
2024-03-26,41270,41910,40770,41640,1076469,1,0.7314,12.0938
2024-03-27,41140,41770,41000,41640,1162426,1,0.3679,12.4617
2024-03-28,41640,41770,41050,41550,756224,1,0.0916,12.5533
2024-03-29,41550,41550,40860,41230,626837,1,0.0383,12.5916
2024-04-01,41230,41230,40550,40640,500315,1,0.0493,12.6409
2024-04-02,40410,41180,39680,41090,1280836,1,0.6229,13.2638
2024-04-03,41090,41180,40450,40860,654911,1,0.3096,13.5734
2024-04-04,40820,40860,40000,40640,1113792,1,0.4898,14.0632
2024-04-05,40000,40550,39680,40000,629536,1,0.2295,14.2927
2024-04-08,40000,40180,39320,40000,903745,1,0.6197,14.9124
2024-04-09,39950,40140,39360,40000,1259482,1,0.2768,15.1892
2024-04-10,40000,40000,39450,39910,1119488,1,0.1919,15.3811
2024-04-11,39450,39820,39410,39500,975308,1,0.4915,15.8726
2024-04-12,39590,39770,39090,39550,1062039,1,0.5137,16.3863
2024-04-15,39140,39450,36910,38270,758975,1,0.2489,16.6352
2024-04-16,37320,37910,36680,37820,1142069,1,0.7686,17.4038
2024-04-17,37820,37820,37000,37590,479597,1,0.1865,17.5903
2024-04-19,37270,40180,36320,40180,1027213,1,0.5245,18.1148
